,RABGGTA (5875)
ACH-000004,-1.4473309119
ACH-000007,-1.63961389414
ACH-000009,-1.18346885494
ACH-000011,-1.22157343611
ACH-000012,-1.40308051197
ACH-000013,-1.5789657654299998
ACH-000014,-1.73224386102
ACH-000015,-1.5265040489
ACH-000017,-1.08985751477
ACH-000018,-1.2217965456
ACH-000019,-1.3735576165399999
ACH-000021,-1.41056177451
ACH-000022,-1.45886432794
ACH-000025,-1.4202636082
ACH-000028,-1.24680748811
ACH-000030,-1.52897783105
ACH-000035,-1.54509933146
ACH-000036,-1.37384018689
ACH-000037,-1.48706699274
ACH-000039,-1.66669639179
ACH-000040,-1.3870733330899998
ACH-000041,-1.45496826135
ACH-000042,-1.3537024761399998
ACH-000045,-1.3939419707299998
ACH-000047,-1.4120357528299998
ACH-000052,-1.45294823924
ACH-000053,-1.45317883825
ACH-000054,-1.3261192749500001
ACH-000055,-1.50594201332
ACH-000060,-1.60505412586
ACH-000067,-1.40801325787
ACH-000070,-1.37373795234
ACH-000075,-1.05889527051
ACH-000078,-1.43235972277
ACH-000082,-1.7916328433000002
ACH-000085,-1.50144358894
ACH-000086,-1.44987786491
ACH-000087,-1.17333179362
ACH-000092,-1.55153937509
ACH-000095,-1.49348998268
ACH-000097,-1.3521802364500002
ACH-000098,-1.49405403218
ACH-000099,-1.42841125288
ACH-000108,-1.41968074645
ACH-000113,-1.36504534978
ACH-000115,-2.28418432707
ACH-000116,-1.04083280026
ACH-000118,-1.21946305425
ACH-000120,-1.5651393809
ACH-000123,-1.39251774749
ACH-000127,-1.3811560424399998
ACH-000128,-1.46987240451
ACH-000132,-1.56168874708
ACH-000133,-1.3929114271599998
ACH-000137,-1.3625814267200003
ACH-000138,-1.05353808713
ACH-000142,-1.4248319636700002
ACH-000143,-1.18528979938
ACH-000146,-1.5161820201499998
ACH-000148,-1.5046767858599999
ACH-000150,-1.3722780314899998
ACH-000152,-1.36689544739
ACH-000153,-1.10680445247
ACH-000159,-1.5301713397299999
ACH-000160,-1.6389744213799997
ACH-000163,-1.40424940748
ACH-000167,-1.76311817588
ACH-000168,-1.36850081826
ACH-000169,-1.4124630494400001
ACH-000178,-1.4344312942299997
ACH-000182,-1.3367805864
ACH-000183,-1.5398440892200003
ACH-000188,-1.5255548389700002
ACH-000189,-1.32570512676
ACH-000190,-1.5265517152799999
ACH-000198,-1.3922676681600001
ACH-000204,-1.3027851372700001
ACH-000206,-1.19095409391
ACH-000207,-1.4186796809
ACH-000211,-1.2611212431299998
ACH-000215,-1.53776493587
ACH-000221,-1.37531373676
ACH-000222,-1.5027041154299998
ACH-000223,-1.35913037062
ACH-000226,-1.35111663675
ACH-000227,-1.0412824325
ACH-000228,-1.5040849614899998
ACH-000231,-1.36916313912
ACH-000232,-1.56527813401
ACH-000233,-1.43219128047
ACH-000234,-1.8768956519799997
ACH-000235,-1.4260930087
ACH-000237,-1.27158766797
ACH-000238,-1.0851165751
ACH-000243,-1.25457888323
ACH-000244,-1.455706481
ACH-000246,-1.4492857274899997
ACH-000248,-1.43774247439
ACH-000250,-1.5208486724399999
ACH-000251,-0.9324994483329999
ACH-000253,-1.4801292491999998
ACH-000255,-1.2999037324
ACH-000256,-1.44128303666
ACH-000257,-1.43976386319
ACH-000258,-1.9694028053200001
ACH-000259,-1.3647847297600002
ACH-000260,-1.3081619720200002
ACH-000261,-1.5892749144100002
ACH-000262,-1.54584291273
ACH-000263,-2.00802082997
ACH-000264,-1.62034924836
ACH-000265,-1.3443365264700002
ACH-000266,-1.2682397032
ACH-000272,-1.4765685527899999
ACH-000273,-1.4057796912
ACH-000274,-1.65229070102
ACH-000277,-1.89581305866
ACH-000278,-1.23209961575
ACH-000279,-1.55376403361
ACH-000280,-1.3704105138799998
ACH-000281,-1.1889492606799998
ACH-000288,-1.5278237348800001
ACH-000291,-1.60787350131
ACH-000293,-1.19457827615
ACH-000294,-1.73740251026
ACH-000295,-1.33587803348
ACH-000296,-1.2074504063
ACH-000302,-1.40022134899
ACH-000304,-1.5295142743799999
ACH-000307,-1.39359069178
ACH-000308,-1.68024728391
ACH-000310,-1.3913873978100002
ACH-000311,-1.20317793675
ACH-000312,-1.32281808729
ACH-000315,-1.15605455123
ACH-000316,-1.4447251592500001
ACH-000317,-1.9585200390400002
ACH-000318,-1.3165914083499999
ACH-000319,-1.24679898076
ACH-000320,-1.4703020431600002
ACH-000322,-1.0605443026
ACH-000323,-1.23525427969
ACH-000324,-1.41619711776
ACH-000329,-1.3797920108000001
ACH-000330,-1.32078287062
ACH-000331,-1.3926523099
ACH-000332,-1.25876664297
ACH-000334,-1.23472168451
ACH-000335,-1.53600187994
ACH-000336,-1.8240348332700003
ACH-000337,-1.30925380521
ACH-000339,-1.3379301721999999
ACH-000341,-1.95914147784
ACH-000348,-1.30691772941
ACH-000350,-1.7200190217400002
ACH-000352,-1.15863695203
ACH-000356,-1.4668759149000001
ACH-000361,-1.54833324787
ACH-000362,-1.52001226097
ACH-000363,-1.60568522382
ACH-000364,-1.3515315566
ACH-000365,-1.4780677458700002
ACH-000366,-1.62179285061
ACH-000368,-1.5026001493599999
ACH-000374,-1.4212133822
ACH-000375,-1.54409894257
ACH-000376,-1.3342533226100002
ACH-000381,-1.6072026040799998
ACH-000383,-1.5931958961000001
ACH-000387,-1.3001941748499999
ACH-000389,-1.5227856099200001
ACH-000390,-1.60393661205
ACH-000393,-1.5650500424899998
ACH-000395,-1.33613942964
ACH-000397,-1.3362289913299998
ACH-000401,-1.43168920221
ACH-000402,-1.3703909603600002
ACH-000403,-1.9095927987099999
ACH-000404,-1.42785869421
ACH-000406,-1.3813374994799998
ACH-000407,-1.34880637347
ACH-000408,-1.33577357273
ACH-000410,-1.3516258673500001
ACH-000411,-1.31135077067
ACH-000414,-1.2979498695899998
ACH-000415,-1.3889595863100002
ACH-000416,-1.55116367033
ACH-000420,-1.8337214419999999
ACH-000421,-1.2926634785200002
ACH-000424,-1.57788032866
ACH-000425,-1.28531402249
ACH-000426,-1.2752643282
ACH-000427,-1.8459887160900004
ACH-000433,-1.24145818238
ACH-000436,-1.46293406752
