,IGSF3 (3321)
ACH-000004,-0.488080165044
ACH-000007,-0.779309646931
ACH-000009,-0.338207162042
ACH-000011,-0.32461040019000004
ACH-000012,-0.578311582283
ACH-000013,-0.360754461416
ACH-000014,-0.529405083626
ACH-000015,-0.640978984953
ACH-000017,-0.248547669689
ACH-000018,-0.45299051043399996
ACH-000019,-0.540997211125
ACH-000021,-0.3088817136
ACH-000022,-0.5607864843829999
ACH-000025,-0.57859346196
ACH-000028,-0.292746899787
ACH-000030,-0.499968236916
ACH-000035,-0.596232006634
ACH-000036,-0.46164459176100003
ACH-000037,-0.209640355616
ACH-000039,-0.514087502614
ACH-000040,-0.358986010048
ACH-000041,-0.410407816906
ACH-000042,-0.333318672088
ACH-000045,-0.46329891673900003
ACH-000047,-0.489359529814
ACH-000052,-0.664223734377
ACH-000053,-0.46541044436499995
ACH-000054,-0.530856509646
ACH-000055,-0.456704067371
ACH-000060,-0.426546017247
ACH-000067,-0.5345535360270001
ACH-000070,-0.455018694653
ACH-000075,-0.468611137887
ACH-000078,-0.445080974185
ACH-000082,-0.49309366776299995
ACH-000085,-0.38423255816699997
ACH-000086,-0.484567809961
ACH-000087,-0.5948606596980001
ACH-000092,-0.605090274009
ACH-000095,-0.36060646640699995
ACH-000097,-0.613895690326
ACH-000098,-0.5249524157240001
ACH-000099,-0.321887476014
ACH-000108,-0.351493563437
ACH-000113,-0.40774622483499995
ACH-000115,-0.7921080711249999
ACH-000116,-0.47427638684600004
ACH-000118,-0.364234551956
ACH-000120,-0.167278468644
ACH-000123,-0.45163999418399997
ACH-000127,-0.399085289387
ACH-000128,-0.38260436388999997
ACH-000132,-0.551638224116
ACH-000133,-0.358809652959
ACH-000137,-0.43718557421099996
ACH-000138,-0.394073621301
ACH-000142,-0.487002299931
ACH-000143,-0.493820542059
ACH-000146,-0.30161359585299996
ACH-000148,-0.30066399023699997
ACH-000150,-0.43962594864200005
ACH-000152,-0.5917847902269999
ACH-000153,-0.6598351417230001
ACH-000159,-0.512733509684
ACH-000160,-0.409779651637
ACH-000163,-0.288368204376
ACH-000167,-0.42394599236100006
ACH-000168,-0.35786569308
ACH-000169,-0.31231809577799996
ACH-000178,-0.43223525909599997
ACH-000182,-0.434172436246
ACH-000183,-0.673285993368
ACH-000188,-0.473176960147
ACH-000189,-0.548492168597
ACH-000190,-0.346742203872
ACH-000198,-0.296073161355
ACH-000204,-0.13577494224300002
ACH-000206,-0.39071859636399997
ACH-000207,-0.355045105245
ACH-000211,-0.320472220855
ACH-000215,-0.503824233414
ACH-000221,-0.525476389445
ACH-000222,-0.5675382967939999
ACH-000223,-0.452665263605
ACH-000226,-0.42716685575499996
ACH-000227,-0.501968088054
ACH-000228,-0.357093554022
ACH-000231,-0.38725733154200004
ACH-000232,-0.412037128145
ACH-000233,-0.38673787145099997
ACH-000234,0.15572605640599999
ACH-000235,-0.34681957860299995
ACH-000237,-0.328418143914
