,ABCB10 (23456)
ACH-000004,-0.35479465475199995
ACH-000007,-0.474481749044
ACH-000009,-0.723457949814
ACH-000011,-0.5300919306399999
ACH-000012,-0.590854061493
ACH-000013,-0.253513174837
ACH-000014,-0.699723735034
ACH-000015,-0.286311601325
ACH-000017,-0.321220197501
ACH-000018,-0.48971402571999995
ACH-000019,0.0183436408281
ACH-000021,-0.6184982678600001
ACH-000022,-0.44163887015500003
ACH-000025,-0.48219895419799996
ACH-000028,-0.25686117253
ACH-000030,-0.4655864085
ACH-000035,-0.26364644194200004
ACH-000036,-0.523336786245
ACH-000037,-0.054090600636800004
ACH-000039,-0.147007791927
ACH-000040,-0.322393565833
ACH-000041,-0.499976538288
ACH-000042,-0.495015318389
ACH-000045,-0.16708785965700002
ACH-000047,-0.565630836067
ACH-000052,-0.48255804722400003
ACH-000053,-0.4488631879
ACH-000054,-0.46965866482600005
ACH-000055,-0.522994884559
ACH-000060,-0.313357395089
ACH-000067,-0.536913088784
ACH-000070,-0.43725392793000006
ACH-000075,-0.357029553528
ACH-000078,-0.369575532167
ACH-000082,-0.33969479783100004
ACH-000085,-0.411653555994
ACH-000086,-0.293900155429
ACH-000087,-0.735710855528
ACH-000092,-0.311229284878
ACH-000095,-0.49161847285300003
ACH-000097,-0.398547278424
ACH-000098,-0.584192129974
ACH-000099,-0.554163977062
ACH-000108,-0.547369722925
ACH-000113,-0.495027477068
ACH-000115,-0.528072886534
ACH-000116,-0.34309411946699997
ACH-000118,-0.293953038838
ACH-000120,-0.34981543013000005
ACH-000123,-0.509781444479
ACH-000127,-0.44082039585500005
ACH-000128,-0.570341701658
ACH-000132,-0.507341821502
ACH-000133,-0.296930973546
ACH-000137,-0.36135010283
ACH-000138,-0.373114244256
ACH-000142,-0.283149711728
ACH-000143,-0.594689135516
ACH-000146,-0.6386308182479999
ACH-000148,-0.577314636382
ACH-000150,-0.277903445335
ACH-000152,-0.294756906701
ACH-000153,-0.417350797113
ACH-000159,-0.573830987117
ACH-000160,-0.546867405572
ACH-000163,0.0314319930187
ACH-000167,-0.660793266563
ACH-000168,-0.505480931739
ACH-000169,-0.550671106961
ACH-000178,-0.5953459601309999
