,MIB2 (142678)
ACH-000004,-0.21465520833500001
ACH-000007,-0.132976091512
ACH-000009,-0.168763226733
ACH-000011,0.0265095097505
ACH-000012,-0.140734982005
ACH-000013,-0.165033687072
ACH-000014,0.0700318462794
ACH-000015,-0.0516505003262
ACH-000017,-0.23752406801800002
ACH-000018,-0.191427599047
ACH-000019,-0.303211490757
ACH-000021,-0.10987021010600001
ACH-000022,-0.149515463184
ACH-000025,-0.152039619392
ACH-000028,0.05946371113749999
ACH-000030,-0.013710557397200002
ACH-000035,-0.134587704274
ACH-000036,-0.140706025908
ACH-000037,-0.460265335615
ACH-000039,0.0337706560672
ACH-000040,-0.31762393143199996
ACH-000041,-0.161037662651
ACH-000042,-0.204934792762
ACH-000045,-0.235572785125
ACH-000047,-0.269988459181
ACH-000052,-0.21425511736699998
ACH-000053,-0.179598296871
ACH-000054,-0.147550462269
ACH-000055,-0.257127382001
ACH-000060,-0.182668832028
ACH-000067,-0.382452316687
ACH-000070,-0.323467566002
ACH-000075,-0.284046983679
ACH-000078,-0.175542875579
ACH-000082,-0.172951843754
ACH-000085,-0.43868425952
ACH-000086,-0.349107711952
ACH-000087,0.0366347444704
ACH-000092,-0.234434157681
ACH-000095,-0.161442685801
ACH-000097,-0.101541511464
ACH-000098,-0.04606767836080001
ACH-000099,-0.060505255209
ACH-000108,-0.39176095971
ACH-000113,-0.157034566019
ACH-000115,-0.262896201807
ACH-000116,0.11822762023700001
ACH-000118,-0.012886536647900002
ACH-000120,-0.22575612675099999
ACH-000123,-0.24300315173300002
ACH-000127,-0.09070993475410001
ACH-000128,-0.114135496474
ACH-000132,-0.0706348418317
ACH-000133,-0.053872808858699994
ACH-000137,-0.10322701580299999
ACH-000138,-0.232596308548
ACH-000142,-0.20968379193300002
ACH-000143,-0.16433990395300002
ACH-000146,-0.180989878891
ACH-000148,-0.101617360293
ACH-000150,-0.7974893342180001
ACH-000152,-0.209844076892
ACH-000153,-0.21371468030699997
ACH-000159,-0.14109108885299998
ACH-000160,0.0913763106078
ACH-000163,-0.32644423466600003
ACH-000167,-0.17971566946400003
ACH-000168,-0.18307513241599999
ACH-000169,0.0409760056946
ACH-000178,-0.184264441355
ACH-000182,0.141103806099
ACH-000183,0.07259860664039999
ACH-000188,-0.161814986568
ACH-000189,-0.464654071745
ACH-000190,-0.107323878468
ACH-000198,-0.24689243305300002
ACH-000204,-0.234505587823
ACH-000206,-0.268689451814
ACH-000207,0.13068731688100002
ACH-000211,-0.185009893737
ACH-000215,-0.243902028364
ACH-000221,-0.21398383186099998
ACH-000222,-0.0698780539677
ACH-000223,-0.0575649534805
ACH-000226,-0.016128813513
ACH-000227,-0.07435433468560002
ACH-000228,-0.253431511622
ACH-000231,-0.137975545935
ACH-000232,-0.09442347955589998
