,DHTKD1 (55526)
ACH-000246,0.20093340121599998
ACH-000248,0.15270967012
ACH-000250,0.158478155224
ACH-000251,0.621417027856
ACH-000253,0.146209155115
ACH-000255,0.249302750934
ACH-000256,0.322180818624
ACH-000257,-0.309477156118
ACH-000258,0.309210080396
ACH-000259,0.11843313164000001
ACH-000260,0.144998530413
ACH-000261,0.180019629072
ACH-000262,-0.20547766616500002
ACH-000263,0.114192332847
ACH-000264,0.316770318198
ACH-000265,0.15227009801
ACH-000266,0.10147682711000001
ACH-000272,0.198415551229
ACH-000273,0.22145247117
ACH-000274,0.153965010397
ACH-000277,0.20466739242100002
ACH-000278,0.356005317941
ACH-000279,0.308269893378
ACH-000280,0.170190179648
ACH-000281,-0.052516798360099995
ACH-000288,0.160217200541
ACH-000291,0.127812143158
ACH-000293,0.127693302567
ACH-000294,0.31705135522
ACH-000295,0.101488913387
ACH-000296,0.0107526770001
ACH-000302,0.24250292575100002
ACH-000304,0.207087443077
ACH-000307,0.11747818186799999
ACH-000308,0.137057690787
ACH-000310,0.120930917914
ACH-000311,0.0415507082393
ACH-000312,0.155632670621
ACH-000315,0.0050265692112200005
ACH-000316,0.281798594137
ACH-000317,0.234997407628
ACH-000318,0.266666084739
ACH-000319,0.0544336974763
ACH-000320,0.228263626065
ACH-000322,0.260448078983
ACH-000323,0.147760175404
ACH-000324,0.112405275081
ACH-000329,0.291943095406
ACH-000330,-0.00919904833634
ACH-000331,0.06183884460109999
ACH-000332,0.0936573608665
ACH-000334,0.0467549161006
ACH-000335,0.341069007448
ACH-000336,-0.18188427506700003
ACH-000337,-0.134195729081
ACH-000339,0.291616628248
ACH-000341,0.111306172345
ACH-000348,0.238347658219
ACH-000350,0.08545202465780001
ACH-000352,0.11321148705499999
ACH-000356,0.131870890362
ACH-000361,0.150503854085
ACH-000362,0.18751860202
ACH-000363,0.0230326687626
ACH-000364,0.16805082866
ACH-000365,0.07707682859289999
ACH-000366,0.11257761745400001
ACH-000368,0.102758889693
ACH-000374,0.215999063039
ACH-000375,0.08617920528060001
ACH-000376,0.23114239710099999
