,CAD (790)
ACH-000004,-1.05860991869
ACH-000007,-0.369927718171
ACH-000009,-0.390145187572
ACH-000011,-0.517721562302
ACH-000012,-0.217193972795
ACH-000013,0.0471200233861
ACH-000014,-0.423801751431
ACH-000015,0.0228736315539
ACH-000017,-1.24959372504
ACH-000018,-0.38853570426600004
ACH-000019,-0.042161928894100004
ACH-000021,-0.127076324876
ACH-000022,-0.389761211162
ACH-000025,-0.305694384915
ACH-000028,-0.413609611769
ACH-000030,-1.03860447548
ACH-000035,-0.17324093856400002
ACH-000036,-0.126968343475
ACH-000037,-0.307413325862
ACH-000039,-0.14926025206399998
ACH-000040,-0.237832213455
ACH-000041,-0.120135461328
ACH-000042,-0.442166609748
ACH-000045,-0.607775870842
ACH-000047,-0.6000425123550001
ACH-000052,-0.214848597612
ACH-000053,-0.843058362222
ACH-000054,-0.08455030001769999
ACH-000055,-0.365060286272
ACH-000060,-0.153732672517
ACH-000067,-0.260446690138
ACH-000070,-0.546583235558
ACH-000075,-0.185713329874
ACH-000078,-0.15986303517699998
ACH-000082,-0.177756468986
ACH-000085,-0.295625383255
ACH-000086,0.12030391636299999
ACH-000087,0.021681452319900003
ACH-000092,-0.412815982037
ACH-000095,-0.46226630712399996
ACH-000097,-0.812520006944
ACH-000098,-0.121764089266
ACH-000099,-0.46477258225100004
ACH-000108,-0.6659982908869999
ACH-000113,0.167785545575
ACH-000115,-0.37671180393299997
ACH-000116,-0.149548813582
ACH-000118,0.114399451823
ACH-000120,-0.046854189460500004
ACH-000123,-0.147327192698
ACH-000127,-0.280230013419
ACH-000128,-0.256688361153
ACH-000132,-0.318054090285
ACH-000133,-0.0141382464038
ACH-000137,-0.37176665364399997
ACH-000138,-0.508411296607
ACH-000142,-0.04445491623719999
ACH-000143,-0.200758419482
ACH-000146,-0.937811569282
ACH-000148,-0.025104850159999997
ACH-000150,-0.11244112074000001
ACH-000152,-0.225453227771
ACH-000153,-0.46153324952299996
ACH-000159,-0.3999953035
ACH-000160,-0.350880892402
ACH-000163,-0.20797031004500002
ACH-000167,-0.49805075328299997
ACH-000168,-0.854717423597
ACH-000169,-0.25953937783799996
ACH-000178,-0.326314349529
ACH-000182,-0.514298483424
ACH-000183,-0.9848783089569999
ACH-000188,-0.412025835195
ACH-000189,-0.450184062467
ACH-000190,-0.109457890472
ACH-000198,-0.8136991126540001
ACH-000204,-0.533746151426
ACH-000206,-0.7566467143179999
ACH-000207,-1.03651771239
ACH-000211,-0.0902566112128
ACH-000215,-0.011528772151799998
ACH-000221,0.0641609141742
ACH-000222,-0.307837425098
ACH-000223,-0.616705569795
ACH-000226,-0.997041600317
ACH-000227,-0.26275376698
ACH-000228,-0.312630923876
ACH-000231,-0.17677620282200002
ACH-000232,0.112791891042
ACH-000233,-0.972349007272
ACH-000234,-0.181282841003
ACH-000235,-1.15431865666
ACH-000237,-0.26514012476
ACH-000238,-0.40720871015500004
ACH-000243,-0.17358071899500002
ACH-000244,-0.12301863960699999
ACH-000246,-0.0811904168045
ACH-000248,-0.999624191266
ACH-000250,-0.414334520128
ACH-000251,-0.00730957001121
ACH-000253,-0.8467199410549999
ACH-000255,-0.10764863127299999
ACH-000256,-0.0906823166769
ACH-000257,-0.423700081941
ACH-000258,-0.8816899379009999
ACH-000259,-0.044280013191
ACH-000260,-0.0151713778526
ACH-000261,-0.045462126905
ACH-000262,-0.323785158892
ACH-000263,-0.230301024391
ACH-000264,-0.120631016349
ACH-000265,-0.161486204857
ACH-000266,-0.312555270314
ACH-000272,-0.6311339624669999
ACH-000273,-0.7165568186310001
ACH-000274,-0.14455331162
ACH-000277,-0.31745436148
ACH-000278,-0.371980162509
ACH-000279,-0.616844630865
ACH-000280,-0.031705902434000004
