,ELP5 (23587)
ACH-000004,-1.4180287969499998
ACH-000007,-1.3773780259600001
ACH-000009,-1.5237778427700002
ACH-000011,-1.69403829313
ACH-000012,-1.3897491205599999
ACH-000013,-1.60947968409
ACH-000014,-1.78793987307
ACH-000015,-1.4001544134000001
ACH-000017,-1.70883474086
ACH-000018,-1.3565303340900001
ACH-000019,-1.04433995833
ACH-000021,-1.2578878764
ACH-000022,-1.4578061356
ACH-000025,-1.7805931735599998
ACH-000028,-1.5025286773
ACH-000030,-1.31697133389
ACH-000035,-1.08501598705
ACH-000036,-1.23425392676
ACH-000037,-1.7483749077200001
ACH-000039,-0.9128741868670001
ACH-000040,-1.25727308358
ACH-000041,-1.9333092019099998
ACH-000042,-1.33381742504
ACH-000045,-1.5694389902599999
ACH-000047,-1.2862891869
ACH-000052,-1.04584732969
ACH-000053,-1.23066997879
ACH-000054,-1.44085626446
ACH-000055,-1.52156337764
ACH-000060,-1.4117894688600001
ACH-000067,-1.3727601221799999
ACH-000070,-1.2924699652399998
ACH-000075,-1.18695293845
ACH-000078,-1.50035967265
ACH-000082,-1.0320954152
ACH-000085,-1.62518389824
ACH-000086,-1.45629444271
ACH-000087,-1.0711394753399999
ACH-000092,-1.1980543897
ACH-000095,-1.29203665248
ACH-000097,-0.938267050519
ACH-000098,-1.59291954854
ACH-000099,-1.3962205358500002
ACH-000108,-1.3160047684799998
ACH-000113,-1.25372223015
ACH-000115,-1.24251895245
ACH-000116,-1.52181393588
ACH-000118,-1.1843325419
ACH-000120,-1.5264764708399998
ACH-000123,-1.2123825881799999
ACH-000127,-1.45223562708
ACH-000128,-1.3149027816
ACH-000132,-1.4175248510299998
ACH-000133,-1.25591391791
ACH-000137,-1.53711438911
ACH-000138,-1.6288123313999998
ACH-000142,-1.4235189273500002
ACH-000143,-1.5416992368900002
ACH-000146,-0.43063733983499997
ACH-000148,-1.64889726098
ACH-000150,-1.29182900113
ACH-000152,-0.9585363748100001
ACH-000153,-1.944016062
ACH-000159,-1.28122138213
ACH-000160,-0.912729909726
ACH-000163,-1.2482923111
ACH-000167,-1.6005009967
ACH-000168,-1.5309117951
ACH-000169,-1.18563452296
ACH-000178,-1.56185167488
ACH-000182,-0.955167662544
ACH-000183,-1.5959373476899998
ACH-000188,-1.51353185537
ACH-000189,-1.5666485931099998
ACH-000190,-1.58763541685
ACH-000198,-1.14850154658
ACH-000204,-0.730326755659
ACH-000206,-1.1001743742899999
ACH-000207,-0.984124967728
ACH-000211,-1.57208331876
ACH-000215,-1.49228894938
ACH-000221,-1.66502449851
ACH-000222,-1.8650584952900002
ACH-000223,-0.804454508808
ACH-000226,-1.0
ACH-000227,-1.29007012511
ACH-000228,-1.29837467169
ACH-000231,-1.42940220933
ACH-000232,-1.26605266828
ACH-000233,-1.5039584698
ACH-000234,-1.6685029212600002
