,CRYBB3 (1417)
ACH-000004,-0.149165988556
ACH-000007,-0.302334569871
ACH-000009,-0.369278953003
ACH-000011,0.0436435357681
ACH-000012,-0.34760953381
ACH-000013,-0.35458323557099997
ACH-000014,-0.27599668405
ACH-000015,-0.191409994914
ACH-000017,-0.47503258037199997
ACH-000018,0.026202186673099998
ACH-000019,0.0440965139006
ACH-000021,-0.356869543707
ACH-000022,-0.18731401479600002
ACH-000025,-0.45014118448999996
ACH-000028,-0.222299614423
ACH-000030,-0.285219148531
ACH-000035,-0.299334272072
ACH-000036,-0.217589749546
ACH-000037,-0.285453608874
ACH-000039,-0.220306392381
ACH-000040,-0.126856008376
ACH-000041,-0.314141633804
ACH-000042,-0.295308952223
ACH-000045,-0.275235877168
ACH-000047,-0.46727393753799995
ACH-000052,-0.45802447404799995
ACH-000053,-0.261486109561
ACH-000054,-0.162699637353
ACH-000055,-0.36488060116899995
ACH-000060,-0.297970383707
ACH-000067,-0.392420299378
ACH-000070,-0.29715257037500004
ACH-000075,-0.295674769738
ACH-000078,-0.24217889057300002
ACH-000082,-0.10856181275999999
ACH-000085,-0.15632133106499999
ACH-000086,0.139744419605
ACH-000087,-0.325958244602
ACH-000092,-0.369607644638
ACH-000095,-0.241906169245
ACH-000097,-0.198440979618
ACH-000098,-0.323851080609
ACH-000099,-0.357194947084
ACH-000108,-0.268247196119
ACH-000113,-0.197571141664
ACH-000115,-0.123986783439
ACH-000116,-0.15786830388599998
ACH-000118,-0.304334980977
ACH-000120,-0.252432871227
ACH-000123,-0.342442700067
ACH-000127,-0.189893533779
ACH-000128,-0.206554316732
ACH-000132,-0.277451221987
ACH-000133,-0.17941755983
ACH-000137,-0.454548683309
ACH-000138,-0.153014257056
ACH-000142,-0.265603655046
ACH-000143,-0.16885897390000001
ACH-000146,-0.142257547779
ACH-000148,-0.07844835747710001
ACH-000150,-0.421567855645
ACH-000152,-0.275786965697
ACH-000153,-0.227697877905
ACH-000159,0.0698903917333
ACH-000160,-0.277168075095
ACH-000163,-0.17751161517099998
ACH-000167,0.128861103185
ACH-000168,-0.142124673801
ACH-000169,-0.198070812425
ACH-000178,-0.255334646331
ACH-000182,-0.112929577477
ACH-000183,-0.611022770822
ACH-000188,-0.14539547359000002
ACH-000189,-0.266591215399
ACH-000190,-0.281449397805
ACH-000198,-0.39496690689900005
ACH-000204,-0.172063233844
ACH-000206,-0.09566604495139999
ACH-000207,0.00183237592912
ACH-000211,-0.24258584563700003
ACH-000215,-0.21467450030000002
ACH-000221,-0.28806994274000003
ACH-000222,-0.12314674144200001
ACH-000223,-0.427729876495
ACH-000226,-0.18752103042399998
ACH-000227,-0.714606427593
ACH-000228,-0.259226422543
ACH-000231,-0.362250522108
ACH-000232,-0.334047798722
ACH-000233,-0.33484971987
ACH-000234,-0.0463729359393
ACH-000235,-0.20496055075599998
ACH-000237,-0.18570307677099998
ACH-000238,-0.28525664704500003
ACH-000243,-0.251827010279
ACH-000244,-0.18627012624000003
ACH-000246,-0.238316780491
ACH-000248,-0.07359767033860001
ACH-000250,-0.13974039479
ACH-000251,-0.0756478830703
ACH-000253,-0.114747345316
ACH-000255,-0.42915203346
ACH-000256,-0.26589719105500004
ACH-000257,-0.0152013382145
ACH-000258,-0.524385615413
ACH-000259,-0.190436994122
ACH-000260,-0.385265307204
ACH-000261,-0.255396795142
ACH-000262,-0.012425221644299999
ACH-000263,-0.0207175926879
ACH-000264,-0.254071835673
ACH-000265,-0.360999817703
ACH-000266,-0.21112872493299997
ACH-000272,-0.279070892513
ACH-000273,-0.245302549426
ACH-000274,-0.363371988946
ACH-000277,-0.374144074893
ACH-000278,-0.5159419680039999
ACH-000279,-0.218493567032
ACH-000280,-0.47886969502300003
ACH-000281,-0.136509925538
ACH-000288,-0.131410175831
ACH-000291,-0.407380555726
ACH-000293,-0.302206519896
ACH-000294,-0.09282237638699999
ACH-000295,-0.24950855782499998
ACH-000296,-0.527135122679
ACH-000302,-0.278050454231
ACH-000304,-0.109384217361
ACH-000307,-0.158112330558
ACH-000308,-0.386658250471
ACH-000310,-0.313346818161
ACH-000311,-0.277220694113
ACH-000312,-0.176104160639
ACH-000315,-0.761588314082
ACH-000316,-0.36184202815800004
ACH-000317,0.162835643126
ACH-000318,-0.257482115036
ACH-000319,-0.365874877084
ACH-000320,-0.17075376272999998
ACH-000322,-0.37077711599299995
ACH-000323,-0.562327796615
ACH-000324,-0.385987255706
ACH-000329,0.0170232001049
ACH-000330,-0.34757420922300003
ACH-000331,-0.22343766468600001
ACH-000332,-0.2831015337
ACH-000334,-0.188380005535
ACH-000335,-0.386416413586
ACH-000336,-0.057028449889699996
ACH-000337,-0.055649539815300006
ACH-000339,-0.159915313873
ACH-000341,-0.271957964984
ACH-000348,-0.18986721547899998
ACH-000350,-0.29887369223
ACH-000352,-0.25712348561299997
ACH-000356,-0.447096329392
ACH-000361,-0.25245040033599997
ACH-000362,-0.37924666705300003
ACH-000363,-0.26307350908000005
ACH-000364,-0.49658271818800004
