,AHCTF1 (25909)
ACH-000004,-1.1916841854200002
ACH-000007,-1.0326437933200001
ACH-000009,-1.15457558063
ACH-000011,-0.723648923892
ACH-000012,-1.22943638659
ACH-000013,-0.984477233751
ACH-000014,-1.1839377574299998
ACH-000015,-1.12279779886
ACH-000017,-1.15548245615
ACH-000018,-0.953222931502
ACH-000019,-1.13134044713
ACH-000021,-1.0869935993100002
ACH-000022,-1.0926718545999998
ACH-000025,-1.20429770497
ACH-000028,-0.9356562530079999
ACH-000030,-1.10636712463
ACH-000035,-1.05073068465
ACH-000036,-0.8512228635870001
ACH-000037,-0.8240969485169999
ACH-000039,-0.871409317272
ACH-000040,-1.15178744717
ACH-000041,-0.919066892659
ACH-000042,-0.8677509425579999
ACH-000045,-0.958212804045
ACH-000047,-1.21449720226
ACH-000052,-1.1562095705500002
ACH-000053,-1.00516523754
ACH-000054,-1.1687406902200002
ACH-000055,-1.2702450245
ACH-000060,-0.916628413875
ACH-000067,-0.9192385117569999
ACH-000070,-1.08227840894
ACH-000075,-0.9837704248360001
ACH-000078,-1.01166620171
ACH-000082,-1.38646213591
ACH-000085,-0.9218780315799999
ACH-000086,-1.37156268466
ACH-000087,-0.959480496323
ACH-000092,-1.4085923933000002
ACH-000095,-1.13994613881
ACH-000097,-1.11753012161
ACH-000098,-1.1529467486
ACH-000099,-1.0802717520899998
ACH-000108,-1.2032460858
ACH-000113,-0.9958317460639999
ACH-000115,-1.2717968739899999
ACH-000116,-0.911170325165
ACH-000118,-0.936251868662
ACH-000120,-0.8256346578429999
ACH-000123,-1.00227159441
ACH-000127,-1.0726740758
ACH-000128,-0.810224900353
ACH-000132,-1.29488709663
ACH-000133,-1.161328291
ACH-000137,-1.3376224887100001
ACH-000138,-0.9751452096500001
ACH-000142,-1.22237601127
ACH-000143,-1.07868928297
ACH-000146,-1.03410286412
ACH-000148,-0.914339938033
ACH-000150,-1.17657621695
ACH-000152,-1.17551805968
ACH-000153,-1.6583003710600002
ACH-000159,-0.986169821195
ACH-000160,-1.0543497925399998
ACH-000163,-1.046765706
ACH-000167,-1.5418668310699999
ACH-000168,-1.07408882188
ACH-000169,-0.744683180643
ACH-000178,-1.03544593204
ACH-000182,-0.936512894911
ACH-000183,-0.860242590302
ACH-000188,-0.9095093977750001
ACH-000189,-0.819549238929
ACH-000190,-1.13590776473
ACH-000198,-1.20280920701
ACH-000204,-1.2437628444700002
ACH-000206,-0.9509330014480001
ACH-000207,-1.0564146339799998
ACH-000211,-1.2746266889
ACH-000215,-1.08852317059
ACH-000221,-0.9785218583509999
ACH-000222,-1.16389843996
ACH-000223,-1.2946904925700002
ACH-000226,-1.05801252761
ACH-000227,-1.2164668446100002
ACH-000228,-1.0634408526
ACH-000231,-1.12739055069
ACH-000232,-1.12441059522
ACH-000233,-0.707723653663
ACH-000234,-1.0825867541
ACH-000235,-1.1052914909
ACH-000237,-1.3025722897399998
ACH-000238,-1.0504934196100002
ACH-000243,-0.953005310365
ACH-000244,-0.615272045692
ACH-000246,-0.9384180800380001
