,NR1I2 (8856)
ACH-000004,0.34227825048199995
ACH-000007,0.17987688033399998
ACH-000009,0.15759484172399998
ACH-000011,0.0500896860869
ACH-000012,0.12230480797700001
ACH-000013,0.132397296329
ACH-000014,0.11317247694900001
ACH-000015,0.25170140622299997
ACH-000017,0.20363235107500002
ACH-000018,0.0350100115224
ACH-000019,-0.20141901467599999
ACH-000021,0.145791838857
ACH-000022,0.06769150877859999
ACH-000025,0.057075411906199996
ACH-000028,0.09033913378360002
ACH-000030,0.09583747943399999
ACH-000035,-0.0204579648412
ACH-000036,0.175267175007
ACH-000037,0.193266553549
ACH-000039,0.35959758266
ACH-000040,-0.113890119901
ACH-000041,0.407567888263
ACH-000042,0.245680950738
ACH-000045,0.192127290988
ACH-000047,0.166182547748
ACH-000052,0.154247085138
ACH-000053,0.162262275307
ACH-000054,0.014540681186200001
ACH-000055,-0.04608267723230001
ACH-000060,0.00141389606103
ACH-000067,0.223135078879
ACH-000070,0.0862021664955
ACH-000075,-0.13625176720499999
ACH-000078,0.36518248751599997
ACH-000082,0.185286684794
ACH-000085,-0.262839968321
ACH-000086,0.08562867250140001
ACH-000087,0.026873448665400004
ACH-000092,-0.0055833735386099995
ACH-000095,0.217452342403
ACH-000097,0.12781577246099998
ACH-000098,0.204150853061
ACH-000099,0.342327349599
ACH-000108,0.0013377962187199998
ACH-000113,0.0298580479108
ACH-000115,0.28609835014699997
ACH-000116,0.140014047333
ACH-000118,0.16960199953400001
ACH-000120,0.238749216593
ACH-000123,0.293178762854
ACH-000127,0.0369284683523
ACH-000128,-0.207226890255
ACH-000132,0.0384340916303
ACH-000133,0.121098204638
ACH-000137,0.018187477945999998
ACH-000138,0.19072157267200002
ACH-000142,0.078224469321
ACH-000143,0.233623995433
ACH-000146,0.211072447333
ACH-000148,0.163750547483
ACH-000150,0.144307152632
ACH-000152,0.04292102172830001
ACH-000153,0.24343913580600002
ACH-000159,0.134308499031
ACH-000160,0.245694193514
ACH-000163,0.0293494754164
ACH-000167,0.0631525036968
ACH-000168,0.17551735354200002
ACH-000169,0.10298945820000001
ACH-000178,0.143109070238
ACH-000182,0.184838773283
ACH-000183,0.140127574792
ACH-000188,-0.053881587582099995
ACH-000189,0.32178693793900004
ACH-000190,0.133559119691
ACH-000198,0.06771070704979999
ACH-000204,0.14044211214500002
ACH-000206,0.065409052526
ACH-000207,0.268265637354
ACH-000211,0.14349968722
ACH-000215,0.136154714038
ACH-000221,0.15336971474400002
ACH-000222,0.20303102720400001
ACH-000223,0.059910206610500005
ACH-000226,0.021537407571400005
ACH-000227,0.07808254161139999
ACH-000228,0.188105742884
ACH-000231,-0.0142483298267
ACH-000232,0.06636813748630001
ACH-000233,0.0064649724591000005
ACH-000234,0.034077625066400004
ACH-000235,0.042324003334499996
