,PARD6G (84552)
ACH-000004,-0.119032435797
ACH-000007,0.0781090538504
ACH-000009,-0.155083047141
ACH-000011,-0.261193607597
ACH-000012,-0.160962110355
ACH-000013,-0.153474638474
ACH-000014,-0.08741491241910002
ACH-000015,-0.131120725617
ACH-000017,-0.123172410685
ACH-000018,-0.223808321943
ACH-000019,-0.16583637346799998
ACH-000021,-0.0842656424901
ACH-000022,-0.0657264621803
ACH-000025,0.07774775820600001
ACH-000028,-0.25144098371999996
ACH-000030,-0.155693540209
ACH-000035,0.152386424737
ACH-000036,-0.219508292256
ACH-000037,-0.155945469349
ACH-000039,-0.219521132339
ACH-000040,-0.264264848342
ACH-000041,-0.024759187897
ACH-000042,-0.177215898286
ACH-000045,-0.0306771918709
ACH-000047,-0.145135787619
ACH-000052,-0.150117877538
ACH-000053,-0.09179342428369999
ACH-000054,-0.0506683673477
ACH-000055,-0.211033318439
ACH-000060,-0.125938036457
ACH-000067,-0.138257428949
ACH-000070,-0.301493789832
ACH-000075,-0.18366834884
ACH-000078,-0.082229873324
ACH-000082,-0.242948758605
ACH-000085,-0.255555120322
ACH-000086,0.131266010662
ACH-000087,-0.169771066001
ACH-000092,-0.08671400787979999
ACH-000095,0.00692780225155
ACH-000097,-0.223010692125
ACH-000098,-0.206007178412
ACH-000099,-0.453504015047
ACH-000108,-0.287620082176
ACH-000113,-0.19203710976900001
ACH-000115,0.0221159927873
ACH-000116,-0.22225514396600002
ACH-000118,-0.105856453728
ACH-000120,-0.233172503247
ACH-000123,-0.11731537642
ACH-000127,-0.123511366336
ACH-000128,-0.153747609566
ACH-000132,-0.118606225051
ACH-000133,0.119398474633
ACH-000137,-0.126026169307
ACH-000138,-0.21520036411
ACH-000142,-0.119267125901
ACH-000143,-0.43204302274800005
ACH-000146,-0.193477278234
ACH-000148,-0.257068002883
ACH-000150,-0.0514133756827
ACH-000152,-0.190353689135
ACH-000153,0.18236567630699999
ACH-000159,-0.260779696538
ACH-000160,-0.0701309355607
ACH-000163,-0.1686610523
ACH-000167,-0.585339828157
ACH-000168,-0.561910285794
ACH-000169,-0.232844056611
ACH-000178,-0.050553327202900004
ACH-000182,-0.135223030983
ACH-000183,-0.0600504663029
ACH-000188,-0.419013752192
ACH-000189,-0.404697999837
ACH-000190,-0.0564645107515
