,CAMP (820)
ACH-000004,-0.126562416845
ACH-000007,-0.058712463348900006
ACH-000009,-0.131121332303
ACH-000011,-0.11633777754499999
ACH-000012,-0.189654827331
ACH-000013,-0.0262646433875
ACH-000014,-0.0556827719409
ACH-000015,-0.292259698683
ACH-000017,-0.0021834933336599997
ACH-000018,-0.0595954660335
ACH-000019,0.00226287185677
ACH-000021,-0.025144651453999998
ACH-000022,-0.305245793013
ACH-000025,0.0649822261058
ACH-000028,-0.0580883346285
ACH-000030,-0.110211787065
ACH-000035,-0.134744725478
ACH-000036,-0.18253697569699998
ACH-000037,0.256902932731
ACH-000039,0.0090051327926
ACH-000040,-0.16792929207899998
ACH-000041,-0.0794734848954
ACH-000042,-0.170875043422
ACH-000045,-0.17102907163
ACH-000047,-0.077026346283
ACH-000052,-0.023520360236999997
ACH-000053,-0.08893701586139999
ACH-000054,-0.118686439298
ACH-000055,-0.109788957087
ACH-000060,-0.14817270118200002
ACH-000067,-0.053565816503
ACH-000070,-0.00619366952022
ACH-000075,-0.27356350986
ACH-000078,-0.0696585245646
ACH-000082,-0.0284156004041
ACH-000085,-0.191280227879
ACH-000086,-0.0659704327964
ACH-000087,0.180822390064
ACH-000092,-0.137919352751
ACH-000095,-0.11007941312200001
ACH-000097,-0.045831963060300004
ACH-000098,-0.0831538316264
ACH-000099,-0.0457977058884
ACH-000108,0.0270171481034
ACH-000113,-0.0848604198085
ACH-000115,-0.13549120592
ACH-000116,-0.159290953631
ACH-000118,-0.164622130722
ACH-000120,-0.214579592825
ACH-000123,-0.068809204536
ACH-000127,-0.0908713034503
ACH-000128,-0.225482108997
ACH-000132,-0.0228441238742
ACH-000133,-0.177476312194
ACH-000137,-0.07569579841289999
ACH-000138,-0.04754814823800001
ACH-000142,-0.031203872073300002
ACH-000143,-0.137036758716
ACH-000146,-0.0367325541503
ACH-000148,-0.00717380444527
ACH-000150,-0.180704210588
ACH-000152,-0.004598114242149999
ACH-000153,0.0819975067914
ACH-000159,-0.105312045616
ACH-000160,-0.12007946606799999
ACH-000163,-0.37793914459600003
ACH-000167,0.0186345254182
ACH-000168,-0.118430826814
ACH-000169,-0.09329675494789999
ACH-000178,-0.108405891182
ACH-000182,-0.020828788095099998
ACH-000183,-0.037266189289199995
ACH-000188,-0.192524306675
ACH-000189,-0.17403984526900002
ACH-000190,-0.041689746200599995
ACH-000198,-0.126413850808
ACH-000204,-0.323648927615
ACH-000206,-0.14237437397
ACH-000207,-0.231761131398
ACH-000211,-0.309267802748
ACH-000215,-0.06371991476819999
ACH-000221,-0.167483609899
ACH-000222,-0.00587419762565
ACH-000223,0.0102054953811
ACH-000226,0.0347643394972
ACH-000227,-0.141451166528
ACH-000228,-0.28733271946999994
ACH-000231,-0.13411049668
ACH-000232,-0.08847098502110001
ACH-000233,-0.157337581587
ACH-000234,-0.220947694351
ACH-000235,-0.12373464693399999
ACH-000237,-0.029148084278000003
ACH-000238,-0.1544104275
ACH-000243,-0.0453438801539
ACH-000244,0.0563013777996
ACH-000246,-0.27804047088000006
ACH-000248,-0.011577522605000001
ACH-000250,-0.012697173994299999
ACH-000251,0.011002122651500001
ACH-000253,0.0810844416166
ACH-000255,-0.14287668287900002
ACH-000256,-0.0111425301049
ACH-000257,-0.143386444381
ACH-000258,0.17653853390299998
ACH-000259,-0.052910254065199995
ACH-000260,-0.05659438908009999
ACH-000261,-0.012937550858100002
ACH-000262,-0.173039761682
ACH-000263,-0.12347208758099999
ACH-000264,-0.0057927380182200006
ACH-000265,-0.203286872207
ACH-000266,-0.0696683536557
ACH-000272,-0.0178389216095
ACH-000273,-0.240437077266
ACH-000274,-0.264234939617
ACH-000277,0.0018789902653
ACH-000278,0.011235599380299999
ACH-000279,0.0626843217232
ACH-000280,-0.0587163958819
ACH-000281,-0.20196093788400002
ACH-000288,-0.056176658085400004
ACH-000291,-0.183067936386
ACH-000293,-0.076499884551
ACH-000294,-0.266674057026
ACH-000295,-0.296170010848
ACH-000296,-0.20516325052099998
ACH-000302,-0.0117254971144
ACH-000304,-0.450695393889
ACH-000307,-0.200908152665
ACH-000308,-0.0482632900476
