,KXD1 (79036)
ACH-000004,-0.395837685756
ACH-000007,-0.595588214092
ACH-000009,-0.256027298615
ACH-000011,-0.307208432453
ACH-000012,-0.252886951904
ACH-000013,-0.395293167777
ACH-000014,-0.49514584498899994
ACH-000015,-0.558778161622
ACH-000017,-0.7385282064409999
ACH-000018,-0.12480794282199999
ACH-000019,-0.313352123651
ACH-000021,-0.570382292188
ACH-000022,-0.50253878015
ACH-000025,-0.326717337909
ACH-000028,-0.414316654889
ACH-000030,-0.42311028060500006
ACH-000035,-0.40274954118699996
ACH-000036,-0.45878935544
ACH-000037,-0.387599122591
ACH-000039,-0.40875449685099996
ACH-000040,-0.531484558475
ACH-000041,-0.360435528562
ACH-000042,-0.459107261803
ACH-000045,-0.552779521955
ACH-000047,-0.33369280772300003
ACH-000052,-0.42282381234300004
ACH-000053,-0.530426977775
ACH-000054,-0.435913633538
ACH-000055,-0.31484982608
ACH-000060,-0.370545685751
ACH-000067,-0.24394452099800001
ACH-000070,-0.470357292505
ACH-000075,-0.345304473006
ACH-000078,-0.28838482805300003
ACH-000082,-0.407137334687
ACH-000085,-0.8574742589669999
ACH-000086,-0.299636079487
ACH-000087,-0.264995695604
ACH-000092,-0.5056033159800001
ACH-000095,-0.372717477651
ACH-000097,-0.46565510969499996
ACH-000098,-0.214188190425
ACH-000099,-0.505467869599
ACH-000108,-0.499825977114
ACH-000113,-0.6642042134939999
ACH-000115,-0.703685855072
ACH-000116,-0.23974627659000003
ACH-000118,-0.405482157491
ACH-000120,-0.408368709094
ACH-000123,-0.457939714764
ACH-000127,-0.450688712853
ACH-000128,-0.247448561641
ACH-000132,-0.43341827078999995
ACH-000133,-0.19842040226500002
ACH-000137,-0.399336514567
ACH-000138,-0.533637118974
ACH-000142,-0.42981802401299996
ACH-000143,-0.484804531875
ACH-000146,-0.47819648484
ACH-000148,-0.44046908090899994
ACH-000150,-0.505698824823
ACH-000152,-0.51074643476
ACH-000153,-0.453490600888
ACH-000159,-0.463697248065
ACH-000160,-0.495656949704
ACH-000163,-0.5752752413750001
ACH-000167,-0.17742552238099998
ACH-000168,-0.629317553815
ACH-000169,-0.509734430891
ACH-000178,-0.5684436121809999
ACH-000182,-0.5387831851730001
ACH-000183,-0.568514695139
ACH-000188,-0.43279627215300004
ACH-000189,-0.545204907892
ACH-000190,-0.18956516763599998
ACH-000198,-0.5064082911259999
ACH-000204,-0.593793827161
ACH-000206,-0.238496359771
ACH-000207,-0.475867073407
ACH-000211,-0.415498360716
ACH-000215,-0.331841600904
ACH-000221,-0.5821033809
ACH-000222,-0.464282415866
ACH-000223,-0.461894890873
ACH-000226,-0.33981028132700003
ACH-000227,-0.36086067330300003
ACH-000228,-0.40396709458999996
ACH-000231,-0.243409877718
ACH-000232,-0.568644375617
ACH-000233,-0.5711113909860001
ACH-000234,-0.5477894268519999
ACH-000235,-0.433110500076
ACH-000237,-0.423611523983
ACH-000238,-0.31257639249200003
ACH-000243,-0.594235798953
ACH-000244,-0.16421154266
ACH-000246,-0.24057558219500003
ACH-000248,-0.746202205442
ACH-000250,-0.526862662581
ACH-000251,-0.511558839685
ACH-000253,-0.354977516047
ACH-000255,-0.44951055963200004
ACH-000256,-0.364720530866
ACH-000257,-0.6413792502260001
ACH-000258,-0.18109158167999997
ACH-000259,-0.232938577975
ACH-000260,-0.43019723862099996
ACH-000261,-0.402036209257
ACH-000262,-0.333450015349
ACH-000263,-0.456063334133
ACH-000264,-0.39448982569799995
ACH-000265,-0.3955349668
ACH-000266,-0.385774994983
ACH-000272,-0.655627189831
ACH-000273,-0.514518403063
ACH-000274,-0.155272792289
ACH-000277,-0.40419789255800004
ACH-000278,-0.424449490153
ACH-000279,-0.223578500238
ACH-000280,-0.42504187481600003
ACH-000281,-0.49064722430299995
ACH-000288,-0.260732170737
ACH-000291,-0.366951599706
ACH-000293,-0.135368526127
