,POU5F1B (5462)
ACH-000004,-0.810071386144
ACH-000007,-0.434311532834
ACH-000009,-0.8573084075220001
ACH-000011,-0.6876927955600001
ACH-000012,-0.8200909145199999
ACH-000013,-0.651795889256
ACH-000014,-0.654771161693
ACH-000015,-0.6968930675630001
ACH-000017,-0.476551665295
ACH-000018,-0.635247778765
ACH-000019,-0.374594976205
ACH-000021,-0.8351359532610001
ACH-000022,-0.702129603123
ACH-000025,-0.634979368772
ACH-000028,-0.5432827460540001
ACH-000030,-0.720672928725
ACH-000035,-0.963288674516
ACH-000036,-0.5062389161899999
ACH-000037,-0.505862478908
ACH-000039,-0.7108882336750001
ACH-000040,-0.775146565172
ACH-000041,-0.863024229976
ACH-000042,-0.7463260700480001
ACH-000045,-0.605624954066
ACH-000047,-0.510967712813
ACH-000052,-0.653159135245
ACH-000053,-0.654855534911
ACH-000054,-0.8524942049609999
ACH-000055,-1.07424615433
ACH-000060,-0.6860200845209999
ACH-000067,-0.6056977291960001
ACH-000070,-0.7192061907420001
ACH-000075,-0.8547774077789999
ACH-000078,-0.49079583606399996
ACH-000082,-0.597433128926
ACH-000085,-0.945632405078
ACH-000086,-0.7675088702249999
ACH-000087,-0.48386439541599996
ACH-000092,-0.669393024485
ACH-000095,-0.7321181657520001
ACH-000097,-0.876666034979
ACH-000098,-0.529449684985
ACH-000099,-0.7401528276199999
ACH-000108,-0.777675140982
ACH-000113,-0.576677084588
ACH-000115,-1.14806808826
ACH-000116,-0.6430289319770001
ACH-000118,-0.6195231778
ACH-000120,-0.992675020105
ACH-000123,-0.7081302951540001
ACH-000127,-0.808714448478
ACH-000128,-0.846096601914
ACH-000132,-0.622629675547
ACH-000133,-0.7598126534819999
ACH-000137,-0.846668379552
ACH-000138,-0.678471651835
ACH-000142,-0.7012867613320001
ACH-000143,-0.803373643203
ACH-000146,-0.623647084887
ACH-000148,-0.614731853455
ACH-000150,-0.7694124696279999
ACH-000152,-0.5561019415699999
ACH-000153,-0.631344198908
ACH-000159,-0.708624222421
ACH-000160,-1.5555711056400001
ACH-000163,-0.573266866157
ACH-000167,-1.21248696212
ACH-000168,-0.6048010829079999
ACH-000169,-0.757553398809
ACH-000178,-0.848028814861
ACH-000182,-0.689438623533
ACH-000183,-0.8958372241
ACH-000188,-0.491363961793
ACH-000189,-0.824309444928
ACH-000190,-0.71167983087
ACH-000198,-0.7872999414090001
ACH-000204,-0.7693160520450001
ACH-000206,-0.594721957699
ACH-000207,-1.1111571028
ACH-000211,-0.7191124648389999
ACH-000215,-0.709494648585
ACH-000221,-0.8652735570960001
ACH-000222,-0.9697414988609999
ACH-000223,-0.742035639351
ACH-000226,-0.601277138442
ACH-000227,-1.08153625661
ACH-000228,-0.749522768801
ACH-000231,-0.564131893677
ACH-000232,-0.832148041574
ACH-000233,-0.7164281512369999
ACH-000234,-0.697537224668
ACH-000235,-0.8628647252670001
ACH-000237,-0.6761944330249999
ACH-000238,-0.649150911581
ACH-000243,-0.777159361997
ACH-000244,-0.511038912853
ACH-000246,-0.711825425167
