,PTPRG (5793)
ACH-000004,-0.266159115909
ACH-000007,-0.168261720482
ACH-000009,-0.30766215586
ACH-000011,-0.234021922863
ACH-000012,-0.148303062353
ACH-000013,-0.20441696268100001
ACH-000014,-0.146848976854
ACH-000015,-0.398120838122
ACH-000017,-0.26919315390099996
ACH-000018,-0.33718500398100004
ACH-000019,-0.62907769891
ACH-000021,-0.145643519725
ACH-000022,-0.06490509144569999
ACH-000025,-0.34206152632200004
ACH-000028,-0.8838151464399999
ACH-000030,-0.383563683974
ACH-000035,-0.0747798798227
ACH-000036,-0.296574900424
ACH-000037,-0.513528105244
ACH-000039,-0.130033966207
ACH-000040,-0.245143054611
ACH-000041,0.27895976289700003
ACH-000042,-0.22648214160500002
ACH-000045,-0.243769843879
ACH-000047,-0.436597323809
ACH-000052,-0.217106469455
ACH-000053,-0.28251327642499996
ACH-000054,-0.306054476782
ACH-000055,-0.19938223243
ACH-000060,-0.424607499726
ACH-000067,-0.402724634121
ACH-000070,-0.441864022219
ACH-000075,-0.275675099026
ACH-000078,-0.240751305987
ACH-000082,-0.181077406141
ACH-000085,-0.0515638630737
ACH-000086,-0.244568188427
ACH-000087,-0.158263645358
ACH-000092,-0.20630139109200002
ACH-000095,-0.182751715154
ACH-000097,-0.261148634411
ACH-000098,-0.168942565269
ACH-000099,-0.224827709276
ACH-000108,-0.33775776321400003
ACH-000113,-0.28430636809
ACH-000115,-0.155261182141
ACH-000116,-0.273968193205
ACH-000118,-0.47844470271399997
ACH-000120,-0.15673499595999998
ACH-000123,-0.36491771038099996
ACH-000127,-0.178281746507
ACH-000128,-0.198905200783
ACH-000132,-0.137000644871
ACH-000133,-0.06429411995569999
ACH-000137,-0.102933083129
ACH-000138,-0.224756402575
ACH-000142,-0.21274466976300002
ACH-000143,-0.248299099338
ACH-000146,-0.291735201567
ACH-000148,-0.0429922456736
ACH-000150,-0.508139691578
ACH-000152,-0.47579890387400003
ACH-000153,-0.25283344562800003
ACH-000159,-0.3295387739
ACH-000160,-0.2441726062
ACH-000163,-0.0432892395279
ACH-000167,-0.27991700868299996
ACH-000168,-0.152476906967
ACH-000169,-0.320554653684
ACH-000178,-0.212871390874
ACH-000182,-0.311860602095
ACH-000183,-0.23643769838599998
ACH-000188,-0.38419763844899996
ACH-000189,-0.252138455403
ACH-000190,-0.32763667452
ACH-000198,-0.237465849751
ACH-000204,-0.046142616511599996
ACH-000206,-0.23471292523899998
ACH-000207,-0.08653047287239998
ACH-000211,-0.328343117337
ACH-000215,-0.15469727907400002
ACH-000221,-0.18272737836
ACH-000222,0.16216533488399998
ACH-000223,-0.334631295209
ACH-000226,-0.0566892793207
ACH-000227,-0.41581945748300003
ACH-000228,-0.119029077102
ACH-000231,-0.2553459971
ACH-000232,-0.379696974841
ACH-000233,-0.310330185636
ACH-000234,-0.11171426424799999
ACH-000235,-0.205073914367
ACH-000237,-0.251006573644
ACH-000238,-0.413699413147
ACH-000243,-0.219115032488
ACH-000244,-0.042087718760000004
ACH-000246,-0.292791993573
ACH-000248,-0.249565062148
ACH-000250,-0.0959308652857
ACH-000251,-0.577393983271
ACH-000253,-0.263506202561
ACH-000255,-0.22846550149999997
ACH-000256,0.034733986603099995
ACH-000257,-0.524120315968
ACH-000258,-0.442996421509
ACH-000259,-0.310702153678
ACH-000260,-0.208003686595
ACH-000261,-0.155317980659
ACH-000262,-0.306599450028
ACH-000263,-0.13033996244899998
ACH-000264,-0.235527989283
ACH-000265,-0.406335043503
ACH-000266,-0.23613154453899998
ACH-000272,-0.0737074735707
ACH-000273,-0.0992574870355
ACH-000274,-0.243953409637
ACH-000277,-0.22257929012699998
ACH-000278,-0.219059776461
ACH-000279,-0.181247578018
ACH-000280,-0.09770826045320001
ACH-000281,-0.138707241339
ACH-000288,-0.26815092747499997
ACH-000291,-0.35170556678099996
ACH-000293,-0.238357823336
ACH-000294,-0.09117058496899999
ACH-000295,-0.262049952809
ACH-000296,-0.376454903161
ACH-000302,0.00332576310796
ACH-000304,0.102662230741
ACH-000307,-0.234998371593
ACH-000308,-0.206001471221
ACH-000310,-0.584370261868
ACH-000311,-0.336732603519
ACH-000312,-0.145617554509
ACH-000315,-0.173407889296
ACH-000316,-0.0774025503317
ACH-000317,-0.274608677601
ACH-000318,-0.216589681292
ACH-000319,-0.248110323375
ACH-000320,-0.633932073728
ACH-000322,-0.21191868513
ACH-000323,0.122227864965
ACH-000324,-0.22267568824499998
ACH-000329,-0.25682966591699996
ACH-000330,-0.231094492956
ACH-000331,-0.27892351559399997
ACH-000332,-0.331865533748
ACH-000334,0.10896302729599999
ACH-000335,-0.138827370832
ACH-000336,-0.313992530922
ACH-000337,-0.262532765755
ACH-000339,-0.35076668743100003
ACH-000341,-0.243914640588
ACH-000348,-0.11642401713199999
ACH-000350,-0.115620047614
ACH-000352,-0.174930444711
ACH-000356,-0.240068975941
ACH-000361,-0.448953709693
ACH-000362,-0.0374032279597
ACH-000363,-0.0401290373217
ACH-000364,0.157058635097
ACH-000365,-0.23799805538899999
ACH-000366,-0.0796672670113
ACH-000368,0.00129561449243
ACH-000374,-0.279332772307
ACH-000375,-0.167020387022
ACH-000376,-0.212463308348
ACH-000381,-0.23186803591999997
ACH-000383,-0.283306446197
ACH-000387,-0.173405729643
ACH-000389,-0.0626025403337
ACH-000390,-0.233502139263
ACH-000393,-0.362245043732
ACH-000395,-0.21994749568100003
ACH-000397,-0.226915361358
ACH-000401,-0.275660253701
ACH-000402,-0.120709774745
ACH-000403,-0.158563050733
ACH-000404,-0.600017392516
ACH-000406,-0.23830011793900002
ACH-000407,-0.372263801605
ACH-000408,-0.280889941057
ACH-000410,-0.0360335842419
ACH-000411,-0.1624512605
ACH-000414,-0.152453753481
