,TANGO6 (79613)
ACH-000365,-1.2013796742899998
ACH-000366,-1.63326073731
ACH-000368,-1.1526746803399999
ACH-000374,-1.3948724895
ACH-000375,-1.10091111814
ACH-000376,-1.25999414891
ACH-000381,-1.48604647648
ACH-000383,-1.6620939125999998
ACH-000387,-1.30959427517
ACH-000389,-1.29837846756
ACH-000390,-1.4463625981200001
ACH-000393,-1.38300511055
ACH-000395,-1.23377923036
ACH-000397,-1.2054784622399999
ACH-000401,-1.06516615224
ACH-000402,-1.71702275435
ACH-000403,-1.58587020692
ACH-000404,-1.33029348582
ACH-000406,-1.3623350713
ACH-000407,-1.3143262411299999
ACH-000408,-1.1743137695799999
ACH-000410,-1.1464547620899999
ACH-000411,-1.26359056464
ACH-000414,-1.0998757709
ACH-000415,-1.3624148835299998
ACH-000416,-1.30123134864
ACH-000420,-1.2275444084
ACH-000421,-1.19850443863
ACH-000424,-1.18720851203
ACH-000425,-1.3627022530200001
ACH-000426,-1.66269239199
ACH-000427,-1.23435805405
ACH-000433,-1.04448571733
ACH-000436,-1.75428632351
ACH-000444,-1.3199741295899998
ACH-000445,-1.21208581638
ACH-000448,-1.4503664344999998
ACH-000450,-1.44965700287
ACH-000452,-1.29528960499
ACH-000454,-1.4691035135400001
ACH-000458,-1.10162633073
ACH-000459,-0.673574765182
ACH-000460,-1.31229438985
ACH-000461,-0.9430187856929999
ACH-000463,-1.13361454697
ACH-000464,-1.15995020001
ACH-000466,-1.22217175571
ACH-000467,-1.23823308712
ACH-000468,-1.16199880435
ACH-000469,-1.08584029905
ACH-000470,-1.5375570752
ACH-000471,-1.38633990979
ACH-000472,-1.55286768275
ACH-000473,-1.3287805844299998
ACH-000475,-1.36779957492
ACH-000476,-1.47269669622
ACH-000477,-1.10262358343
ACH-000480,-1.1605695973399999
ACH-000481,-1.20335397104
ACH-000483,-1.26289625588
ACH-000484,-1.13640741217
ACH-000485,-1.56284126554
ACH-000486,-1.06431926575
ACH-000487,-1.40676113875
ACH-000488,-1.32834670814
ACH-000490,-1.15318401314
ACH-000491,-1.50991648351
ACH-000495,-1.3503855790200001
ACH-000496,-1.26386259768
ACH-000499,-1.20816266934
ACH-000500,-1.22912327829
ACH-000502,-1.20733059721
ACH-000503,-1.21691552802
ACH-000505,-1.44916217681
ACH-000507,-1.3166038623
ACH-000510,-1.4136512592800001
ACH-000511,-1.4540459263799999
ACH-000512,-1.13174961604
ACH-000516,-1.4124146661399999
ACH-000517,-1.4582056961899998
ACH-000518,-1.3537641957299997
ACH-000520,-1.40134364137
ACH-000521,-1.2019683755700001
ACH-000522,-1.35265106804
ACH-000524,-1.40388149594
ACH-000527,-1.5596374927899999
ACH-000528,-1.40026983355
ACH-000537,-1.23220691834
ACH-000541,-0.9581839193
ACH-000542,-1.2155296914
ACH-000544,-1.06719105835
ACH-000545,-1.1551668050900001
ACH-000547,-1.4393858517299998
ACH-000548,-1.58104854264
ACH-000549,-1.17793148532
ACH-000550,-1.41516966074
ACH-000552,-1.25320171093
ACH-000556,-0.982621660331
ACH-000557,-1.63995605353
ACH-000570,-1.14075431328
ACH-000571,-1.33678883065
ACH-000573,-1.4736021467700002
ACH-000576,-1.3952813146599998
ACH-000580,-1.6765466481600002
ACH-000584,-1.59057318107
ACH-000585,-1.2392515312899999
ACH-000588,-1.05585197108
ACH-000589,-1.03633209434
ACH-000591,-1.1631657136799998
ACH-000593,-1.31950898436
ACH-000600,-1.6248668694400001
ACH-000601,-1.25465004239
ACH-000604,-1.4549142548700003
ACH-000605,-1.4282644750100002
ACH-000606,-1.35235265826
ACH-000608,-1.27706300279
ACH-000614,-1.12338753535
ACH-000616,-1.15711905771
ACH-000618,-1.19161403897
ACH-000619,-1.31279958015
ACH-000620,-1.39206713012
ACH-000621,-1.3218639679000002
ACH-000622,-1.58263047337
ACH-000623,-0.992935010251
