,SRD5A3 (79644)
ACH-000004,-0.533329861565
ACH-000007,-0.307627096754
ACH-000009,-0.490972270118
ACH-000011,-0.27575318766
ACH-000012,-0.16918453413100001
ACH-000013,-0.08960515843360001
ACH-000014,-0.318757891169
ACH-000015,-0.426059750912
ACH-000017,-0.636781424632
ACH-000018,-0.23874132681899998
ACH-000019,-0.639128619999
ACH-000021,-0.532563013471
ACH-000022,-0.173399466911
ACH-000025,-0.464077945188
ACH-000028,-0.533712895251
ACH-000030,-0.325785796555
ACH-000035,-0.41169155308100003
ACH-000036,-0.32213660251299997
ACH-000037,-0.420107727892
ACH-000039,-0.35185330575999996
ACH-000040,-0.403801218046
ACH-000041,-0.658360794816
ACH-000042,-0.597926009379
ACH-000045,-0.280642493579
ACH-000047,-0.289509652406
ACH-000052,-0.33951335894900003
ACH-000053,-0.337499855341
ACH-000054,-0.310533075532
ACH-000055,-1.00350142364
ACH-000060,-0.520370509226
ACH-000067,-0.360728757505
ACH-000070,-0.733604741675
ACH-000075,-0.40910249320000003
ACH-000078,-0.584511933532
ACH-000082,-0.5350738150450001
ACH-000085,0.0193033489051
ACH-000086,-0.339864576971
ACH-000087,-0.531324990299
ACH-000092,-0.6054031338270001
ACH-000095,-0.601737130236
ACH-000097,-0.537534909541
ACH-000098,-0.554006048688
ACH-000099,-0.36348969966899997
ACH-000108,-0.737395326801
ACH-000113,-0.46507846675399994
ACH-000115,-0.34301126789999997
ACH-000116,-0.49678807989600005
ACH-000118,-0.5464643904559999
ACH-000120,-0.799300926398
ACH-000123,-0.7705198503020001
ACH-000127,-0.37663573148699997
ACH-000128,-0.48261315860699994
ACH-000132,-0.49640414143
ACH-000133,-0.461817455906
ACH-000137,-0.393322621028
ACH-000138,-0.365859156228
ACH-000142,-0.277666299918
ACH-000143,-0.163001620355
ACH-000146,-0.30410044419300003
ACH-000148,-0.613888236756
ACH-000150,-0.491652512148
ACH-000152,-0.341436038117
ACH-000153,-0.6337651621589999
ACH-000159,-0.566241422982
ACH-000160,-0.521202516827
ACH-000163,-0.691017304138
ACH-000167,-0.25454767168299997
ACH-000168,-0.307491775556
ACH-000169,-0.715031261108
ACH-000178,-0.38112478839
ACH-000182,-0.253640637303
ACH-000183,-0.159752777032
ACH-000188,-0.488890517588
ACH-000189,-0.42899513305
ACH-000190,-0.44381215435099997
ACH-000198,-0.176943202613
ACH-000204,-0.222345265936
ACH-000206,-0.977630533615
ACH-000207,-0.284934987431
