,GBF1 (8729)
ACH-000004,-1.0
ACH-000007,-0.9015921035050001
ACH-000009,-0.8971333305239999
ACH-000011,-0.709134317685
ACH-000012,-1.1029136793
ACH-000013,-0.90019617719
ACH-000014,-1.12036208218
ACH-000015,-1.05781415837
ACH-000017,-1.1606383976299999
ACH-000018,-0.796592047455
ACH-000019,-1.1278203130600002
ACH-000021,-0.998314473432
ACH-000022,-1.0038672581499999
ACH-000025,-0.6783112813259999
ACH-000028,-0.994883187028
ACH-000030,-0.967016626029
ACH-000035,-0.9695405424179999
ACH-000036,-0.80598725845
ACH-000037,-1.06410847467
ACH-000039,-1.13456646302
ACH-000040,-0.858019118501
ACH-000041,-0.9370626593260001
ACH-000042,-0.8800822412999999
ACH-000045,-0.9865994131579999
ACH-000047,-1.0880435354
ACH-000052,-0.736970913395
ACH-000053,-1.34749066623
ACH-000054,-1.0926633949299998
ACH-000055,-1.0351545368100001
ACH-000060,-0.67437046135
ACH-000067,-1.09257148583
ACH-000070,-0.8664007059219999
ACH-000075,-1.20424149813
ACH-000078,-1.05556472545
ACH-000082,-1.17085996515
ACH-000085,-1.0107260225299999
ACH-000086,-1.0607612974299998
ACH-000087,-0.819320465589
ACH-000092,-0.8661246457009999
ACH-000095,-1.07797062631
ACH-000097,-0.980790159639
ACH-000098,-0.7691942378300001
ACH-000099,-0.951465176856
ACH-000108,-1.04639576881
ACH-000113,-1.08468939338
ACH-000115,-1.70266681428
ACH-000116,-1.10825717554
ACH-000118,-1.23847820379
ACH-000120,-1.08066950077
ACH-000123,-1.07622533882
ACH-000127,-0.933659949496
ACH-000128,-0.991701141953
ACH-000132,-0.989707148709
ACH-000133,-0.9732393574379999
ACH-000137,-1.08506462006
ACH-000138,-0.7404609195370001
ACH-000142,-0.7938638177930001
ACH-000143,-1.0166692441
ACH-000146,-1.07101284656
ACH-000148,-1.00443879841
ACH-000150,-1.11162789135
ACH-000152,-1.0376702983200001
ACH-000153,-0.8743370551240001
ACH-000159,-0.8987483918279999
ACH-000160,-1.0327056702500002
ACH-000163,-1.07016873206
ACH-000167,-1.02195972288
ACH-000168,-0.9703983015090001
ACH-000169,-0.8666810631849999
ACH-000178,-1.01497493436
ACH-000182,-1.0441962897600001
ACH-000183,-1.09784249579
ACH-000188,-0.634140330657
ACH-000189,-0.927685715596
ACH-000190,-1.1621542402299998
ACH-000198,-1.0066842797799997
ACH-000204,-0.972373001854
ACH-000206,-0.770591443319
ACH-000207,-1.1687658345999998
ACH-000211,-0.7571969225249999
ACH-000215,-0.8824604867170001
ACH-000221,-0.904986925449
ACH-000222,-0.804942166555
ACH-000223,-1.3219663764
ACH-000226,-0.716562000016
ACH-000227,-1.53997518293
ACH-000228,-1.16053402988
ACH-000231,-0.882243873925
ACH-000232,-0.8384252889980001
ACH-000233,-0.95990186613
ACH-000234,-0.763963266807
ACH-000235,-0.853731722242
ACH-000237,-0.772962889683
ACH-000238,-0.8309167101389999
ACH-000243,-1.00113826189
ACH-000244,-1.1607459064499999
ACH-000246,-0.82708352123
ACH-000248,-1.1287771980299999
ACH-000250,-0.8221777578849999
ACH-000251,-0.600087994203
ACH-000253,-0.856943651249
ACH-000255,-0.782871818567
ACH-000256,-0.783973096946
ACH-000257,-0.901544109658
ACH-000258,-1.0108972972499999
ACH-000259,-1.01541767737
ACH-000260,-1.0728183136700002
ACH-000261,-0.96739196144
ACH-000262,-0.873332654558
ACH-000263,-0.942934172519
ACH-000264,-1.02885235936
ACH-000265,-0.9263742731290001
ACH-000266,-1.0067344735
ACH-000272,-0.8284798524699999
ACH-000273,-0.8517424237800001
ACH-000274,-0.875869804321
ACH-000277,-0.9340287273000001
ACH-000278,-0.586171273411
ACH-000279,-0.951425635106
ACH-000280,-0.7993474837000001
ACH-000281,-0.7431589069750001
ACH-000288,-0.701520298282
ACH-000291,-1.07082332819
ACH-000293,-1.16574546074
ACH-000294,-0.945721502291
ACH-000295,-1.15997897458
ACH-000296,-1.06805995361
ACH-000302,-1.10842503118
ACH-000304,-0.8715179862319999
ACH-000307,-0.764191161064
ACH-000308,-1.00279455651
ACH-000310,-1.1826235755299999
ACH-000311,-0.771193723767
ACH-000312,-1.01205174255
ACH-000315,-1.18556971029
ACH-000316,-1.02343359991
ACH-000317,-0.971838986796
ACH-000318,-0.771758647328
ACH-000319,-1.04536793825
ACH-000320,-0.830914525884
ACH-000322,-1.02139662835
ACH-000323,-1.16685094993
ACH-000324,-1.04108747999
ACH-000329,-0.961197578059
ACH-000330,-0.8854995720829999
ACH-000331,-0.9472074533879999
ACH-000332,-0.737307500029
ACH-000334,-1.26686768344
ACH-000335,-0.55549620096
