,SF1 (7536)
ACH-000004,-1.4005547150400002
ACH-000007,-1.5956988947100001
ACH-000009,-1.55834177584
ACH-000011,-1.68326264655
ACH-000012,-1.55625119095
ACH-000013,-1.42416252794
ACH-000014,-1.5090594958899999
ACH-000015,-1.5310432520800001
ACH-000017,-1.30878756176
ACH-000018,-1.5643237498700002
ACH-000019,-1.8566536460099998
ACH-000021,-1.63221669417
ACH-000022,-1.6558869724599998
ACH-000025,-1.6825946830200003
ACH-000028,-1.5439677870200001
ACH-000030,-1.58857422363
ACH-000035,-1.37999399507
ACH-000036,-1.6869851115799999
ACH-000037,-2.37285435537
ACH-000039,-1.52855533861
ACH-000040,-1.55211651576
ACH-000041,-1.51913830158
ACH-000042,-1.46739892661
ACH-000045,-1.72628222945
ACH-000047,-1.46674524016
ACH-000052,-1.6220976244499998
ACH-000053,-1.60742203007
ACH-000054,-1.49106668123
ACH-000055,-1.58170457227
ACH-000060,-1.6854283089200002
ACH-000067,-1.33806677359
ACH-000070,-1.5657901162999999
ACH-000075,-1.69771309855
ACH-000078,-1.67692379843
ACH-000082,-1.56382323227
ACH-000085,-1.49999681815
ACH-000086,-1.6012246700200001
ACH-000087,-1.4861628382799998
ACH-000092,-1.45001303551
ACH-000095,-1.8575545036400003
ACH-000097,-1.78238573322
ACH-000098,-1.4925822595200002
ACH-000099,-1.8818784886400002
ACH-000108,-1.56214133718
ACH-000113,-1.75979612098
ACH-000115,-1.69087025599
ACH-000116,-1.60020610444
ACH-000118,-1.4520145188799998
ACH-000120,-1.71430868995
ACH-000123,-1.73975458755
ACH-000127,-1.76762237676
ACH-000128,-1.5271875598
ACH-000132,-1.63981539984
ACH-000133,-1.65098175339
ACH-000137,-1.4564130565399998
ACH-000138,-1.63884902738
ACH-000142,-1.7176201922
ACH-000143,-1.7219011579499999
ACH-000146,-1.6271273249399998
ACH-000148,-1.6034662243200002
ACH-000150,-1.6045089751100001
ACH-000152,-1.49673847932
ACH-000153,-1.42658296455
ACH-000159,-1.5679441202700002
