,BCCIP (56647)
ACH-000004,-0.359055717074
ACH-000007,-0.401345500647
ACH-000009,-0.14653778437
ACH-000011,-0.257075994342
ACH-000012,-0.25197849082199997
ACH-000013,-0.210220737219
ACH-000014,-0.46755396012199996
ACH-000015,-0.301152803616
ACH-000017,-0.270635069495
ACH-000018,-0.389048021755
ACH-000019,-0.7976191288310001
ACH-000021,-0.296605826924
ACH-000022,-0.162264005384
ACH-000025,-0.48284081583300004
ACH-000028,-0.503631010064
ACH-000030,-0.455624564919
ACH-000035,-0.413467841051
ACH-000036,-0.515113021808
ACH-000037,-0.536649890713
ACH-000039,-0.25228540852
ACH-000040,-0.502212487913
ACH-000041,-0.558588041554
ACH-000042,-0.4694844766
ACH-000045,-0.315250280613
ACH-000047,-0.418077092272
ACH-000052,-0.6693548340309999
ACH-000053,-0.638957232393
ACH-000054,-0.222253510456
ACH-000055,-0.5324859301789999
ACH-000060,-0.288944492333
ACH-000067,-0.642116651109
ACH-000070,-0.525843908063
ACH-000075,-0.8344993878110001
ACH-000078,-0.6094065269919999
ACH-000082,-0.6390936027040001
ACH-000085,-0.42465568806599996
ACH-000086,-0.298748601715
ACH-000087,-0.544225492919
ACH-000092,-0.299448608415
ACH-000095,-0.335510106782
ACH-000097,-0.460547483695
ACH-000098,-0.36306892502
ACH-000099,-0.277120201165
ACH-000108,-0.46882661913199997
ACH-000113,-0.365685682804
ACH-000115,-0.577109708886
ACH-000116,-0.411928632495
ACH-000118,-0.5779923083030001
ACH-000120,-0.663812096453
ACH-000123,-0.290498659149
ACH-000127,-0.39459810801
ACH-000128,-0.30397068979
ACH-000132,-0.209401420454
ACH-000133,-0.511072650021
ACH-000137,-0.35488215011600005
ACH-000138,-0.276708060064
ACH-000142,-0.49365493062
ACH-000143,-0.541400824245
ACH-000146,-0.64891485794
ACH-000148,-0.481744388839
ACH-000150,-0.39840259485299995
ACH-000152,-0.351678499367
ACH-000153,-0.224421972707
ACH-000159,-0.397867460325
ACH-000160,-0.288528316226
ACH-000163,-0.423941018929
ACH-000167,-0.475176481434
ACH-000168,-0.318826388004
ACH-000169,-0.383823166009
ACH-000178,-0.402367171449
ACH-000182,-0.305216398284
ACH-000183,-0.41072330669699997
ACH-000188,-0.440635791447
ACH-000189,-0.09292440678120001
ACH-000190,-0.286044395645
ACH-000198,-0.328419920152
ACH-000204,-0.525114519693
ACH-000206,-0.47013671262699996
ACH-000207,-0.312652890728
ACH-000211,-0.24935959370299998
ACH-000215,-0.416153036323
ACH-000221,-0.151533173317
ACH-000222,-0.270315475779
ACH-000223,-0.473812554315
ACH-000226,-0.448827169968
ACH-000227,-0.511361238773
ACH-000228,-0.535022309772
ACH-000231,-0.5272921720629999
ACH-000232,-0.385293692197
ACH-000233,-0.362410842896
ACH-000234,-0.283803608298
ACH-000235,-0.35817762969899997
ACH-000237,-0.238509220108
ACH-000238,-0.46825258651100005
ACH-000243,-0.452955413372
ACH-000244,-0.62837559135
ACH-000246,-0.401446823305
ACH-000248,-0.34134113210699996
ACH-000250,-0.355755571584
ACH-000251,-0.260927043865
ACH-000253,-0.617753553713
ACH-000255,-0.539621974244
ACH-000256,-0.28558145847800004
ACH-000257,-0.36335554992200003
ACH-000258,-0.365007062028
ACH-000259,-0.414411886738
ACH-000260,-0.38030484741899995
ACH-000261,-0.5003787757670001
ACH-000262,-0.21509697339699999
ACH-000263,-0.37445559376000004
ACH-000264,-0.380059471365
ACH-000265,-0.253760058801
ACH-000266,-0.378624667392
ACH-000272,-0.519904203134
ACH-000273,-0.603080867637
ACH-000274,-0.449551209208
ACH-000277,-0.585147271866
ACH-000278,-0.31744092108000005
ACH-000279,-0.465380055729
ACH-000280,-0.504038229063
ACH-000281,-0.31269232466999997
ACH-000288,-0.681087726104
ACH-000291,-0.299927938972
ACH-000293,-0.378402987006
ACH-000294,-0.0699363982885
ACH-000295,-0.277534364004
ACH-000296,-0.315333750021
ACH-000302,-0.361422884256
ACH-000304,-0.68508978758
ACH-000307,-0.418735431471
ACH-000308,-0.378642178473
ACH-000310,-0.675888006441
ACH-000311,-0.577727762467
ACH-000312,-0.559142449319
ACH-000315,-0.571761362575
ACH-000316,-0.449172455074
ACH-000317,-0.381730490581
ACH-000318,-0.343843108024
ACH-000319,-0.40009153742200004
ACH-000320,-0.5698204602570001
ACH-000322,-0.47182239983499996
