,GALE (2582)
ACH-000004,-0.37660571649400004
ACH-000007,-0.345377251369
ACH-000009,-0.219697348736
ACH-000011,-0.200939785116
ACH-000012,0.00240872511866
ACH-000013,-0.0354278331811
ACH-000014,-0.157598461175
ACH-000015,-0.16059317160199998
ACH-000017,-0.0774333154402
ACH-000018,-0.149786686909
ACH-000019,0.16593315723
ACH-000021,-0.26601154138
ACH-000022,-0.08713529425460001
ACH-000025,-0.420109993217
ACH-000028,-0.324841418597
ACH-000030,-0.237862460179
ACH-000035,-0.247438159717
ACH-000036,-0.104263496609
ACH-000037,-0.316128588171
ACH-000039,-0.337563514666
ACH-000040,-0.199169092616
ACH-000041,-0.21732301271899998
ACH-000042,-0.0648641985304
ACH-000045,-0.7278468111049999
ACH-000047,-0.182313577717
ACH-000052,-0.0634089684848
ACH-000053,-0.085867769056
ACH-000054,-0.174687228509
ACH-000055,0.0118230980416
ACH-000060,-0.027778069459599996
ACH-000067,0.0379953459017
ACH-000070,-0.622637242318
ACH-000075,-0.273352391819
ACH-000078,-0.09198360731460001
ACH-000082,-0.14783677492900002
ACH-000085,-0.357574171408
ACH-000086,-0.09432884517319999
ACH-000087,-0.334492645204
ACH-000092,-0.42072043004799997
ACH-000095,-0.0348518628463
ACH-000097,-0.12273792202099999
ACH-000098,-0.126583104108
ACH-000099,0.106199061515
ACH-000108,-0.41399178534500003
ACH-000113,-0.40198486272100004
ACH-000115,-0.327042835592
ACH-000116,-0.0414717921562
ACH-000118,-0.08980452045230002
ACH-000120,-0.0691555906078
ACH-000123,-0.194224888246
ACH-000127,0.0023367573106
ACH-000128,-0.340933212255
ACH-000132,-0.264592612388
ACH-000133,-0.164339560096
ACH-000137,-0.279148055482
ACH-000138,-0.33046954501
ACH-000142,-0.371629381076
ACH-000143,0.112733781785
ACH-000146,-0.25076122594300004
ACH-000148,-0.174935581544
ACH-000150,-0.250725881365
ACH-000152,-0.33627779226099996
ACH-000153,-0.35638556142300004
ACH-000159,-0.28404580362599996
ACH-000160,-0.243438691187
ACH-000163,-0.21411325389400002
ACH-000167,-0.0974076618
ACH-000168,-0.102315552575
ACH-000169,-0.050326342791400004
ACH-000178,-0.127861580484
ACH-000182,-0.025472460441600002
ACH-000183,-0.271586288831
ACH-000188,-0.267743907488
ACH-000189,-0.687577602229
ACH-000190,0.19421144325599998
ACH-000198,-0.34647604958899997
ACH-000204,-0.0187286336254
ACH-000206,-0.466326082561
ACH-000207,-0.0677702596711
ACH-000211,-0.0445711857757
ACH-000215,-0.0540735525265
ACH-000221,-0.14241223878599998
ACH-000222,-0.389332175404
ACH-000223,-0.13003446114800002
ACH-000226,-0.227773429329
ACH-000227,-0.189487139866
ACH-000228,0.0328949325025
ACH-000231,-0.14068186900000001
ACH-000232,-0.0173298581262
ACH-000233,-0.119996693622
ACH-000234,-0.324785622718
ACH-000235,-0.414290821036
ACH-000237,-0.156247518172
ACH-000238,-0.230749886254
ACH-000243,-0.503570532636
ACH-000244,0.406752847801
ACH-000246,-0.213448178562
ACH-000248,-0.030148471579400003
ACH-000250,-0.149218783503
ACH-000251,-0.284553770441
ACH-000253,-0.132770886044
ACH-000255,-0.0520923413067
ACH-000256,-0.444976120105
ACH-000257,-0.228457539494
ACH-000258,-0.162919677939
ACH-000259,-0.06432838387670001
ACH-000260,-0.0643483698823
ACH-000261,-0.201153051463
ACH-000262,-0.0526846374444
ACH-000263,-0.19096066323
ACH-000264,-0.270691329674
ACH-000265,-0.199106035249
ACH-000266,-0.115466553168
ACH-000272,-0.5646006456830001
ACH-000273,0.0656432677002
ACH-000274,-0.29071642625
ACH-000277,-0.20409148384
ACH-000278,-0.249763795277
ACH-000279,-0.156863561864
ACH-000280,0.0174420880799
ACH-000281,-0.41825925510300005
ACH-000288,-0.373703467971
ACH-000291,-0.14346174788799998
ACH-000293,-0.188691139134
ACH-000294,0.12250484634299999
ACH-000295,-0.7302982474070001
ACH-000296,-0.10284409332800001
ACH-000302,-0.112352098512
ACH-000304,-0.0257679293891
ACH-000307,-0.33166680553000005
ACH-000308,-0.0597953515496
ACH-000310,-0.148559197172
ACH-000311,-0.0385993525904
ACH-000312,-0.403942907946
ACH-000315,-0.385582180716
ACH-000316,-0.33234189482500004
ACH-000317,-0.698231897871
ACH-000318,-0.0199178413386
ACH-000319,-0.318491912839
ACH-000320,-0.20337322960999998
ACH-000322,0.0856994785176
ACH-000323,-0.47935159309500003
ACH-000324,-0.296184949049
ACH-000329,-0.193385936657
ACH-000330,-0.242216217002
ACH-000331,-0.141167208913
ACH-000332,-0.209406681847
ACH-000334,-0.261965557558
ACH-000335,0.071196043879
ACH-000336,-0.415741956307
ACH-000337,-0.0560927617041
ACH-000339,-0.117821605342
ACH-000341,-0.117831033075
ACH-000348,-0.19595006677299998
ACH-000350,0.0255437677043
ACH-000352,-0.23043982641999997
ACH-000356,-0.229152346466
ACH-000361,-0.26061742938
ACH-000362,-0.582511758587
ACH-000363,-0.202543171893
ACH-000364,-0.2108225215
ACH-000365,-0.778770753959
ACH-000366,-0.165617498771
ACH-000368,-0.18928493289
ACH-000374,-0.274932079217
ACH-000375,-0.0202257887535
ACH-000376,-0.27624305155400003
ACH-000381,-0.16855223407000003
ACH-000383,-0.287813737003
ACH-000387,-0.333421203692
ACH-000389,0.0159152658536
ACH-000390,-0.313804896073
ACH-000393,-0.114151627094
ACH-000395,-0.514441370267
ACH-000397,-0.181504954267
ACH-000401,-0.322879108428
ACH-000402,-0.5882262264729999
ACH-000403,-0.10030807137700001
ACH-000404,-0.319057903548
ACH-000406,-0.438925435885
ACH-000407,-0.247913719524
ACH-000408,-0.17277374896899997
ACH-000410,-0.067364692685
ACH-000411,-0.47014874162299997
ACH-000414,-0.132888621021
ACH-000415,-0.065314133657
ACH-000416,-0.130804507558
ACH-000420,-0.145603472323
ACH-000421,-0.0454339539237
ACH-000424,-0.0331002897812
ACH-000425,-0.260242774297
ACH-000426,0.036830221042599996
ACH-000427,-0.12181088904000001
ACH-000433,-0.123993398797
ACH-000436,0.135652556461
ACH-000444,-0.047304815174
ACH-000445,-0.33270495694
ACH-000448,-0.144327237734
ACH-000450,-0.5234864328559999
ACH-000452,-0.0582094354221
ACH-000454,-0.384849655064
ACH-000458,-0.222185326509
ACH-000459,-0.0826638322133
ACH-000460,-0.48233520209200004
ACH-000461,-0.126000794085
ACH-000463,-0.12356801705399999
ACH-000464,-0.214414729645
ACH-000466,-0.252250302712
ACH-000467,-0.0810669156741
ACH-000468,-0.321464463413
ACH-000469,-0.177451635876
ACH-000470,-0.1528833633
ACH-000471,-0.10122523433399999
ACH-000472,-0.102358801841
ACH-000473,-0.0794423530876
ACH-000475,-0.106146961905
ACH-000476,-0.107664256907
ACH-000477,-0.413831244662
ACH-000480,0.0401779581226
ACH-000481,-0.566271936249
ACH-000483,-0.27188754805599996
ACH-000484,-0.312441611399
ACH-000485,-0.318082391066
ACH-000486,-0.031211004540900002
ACH-000487,-0.12876100810799998
ACH-000488,-0.0018469106104
ACH-000490,-0.0137226653747
ACH-000491,-0.329515338088
ACH-000495,-0.188301137662
ACH-000496,-0.508895371473
ACH-000499,-0.326096571989
ACH-000500,-0.771831410177
ACH-000502,-0.286880223774
ACH-000503,-0.414358660079
ACH-000505,-0.312523459281
ACH-000507,-0.311821000148
ACH-000510,-0.156844662025
ACH-000511,-0.279226470738
ACH-000512,-0.523753783665
ACH-000516,-0.201051205627
ACH-000517,-0.27553390719099996
ACH-000518,-0.069964172719
ACH-000520,-0.39880105681500005
ACH-000521,-0.38100837910400004
ACH-000522,-0.360557612285
ACH-000524,-0.24923025246199998
ACH-000527,-0.144772512433
ACH-000528,-0.107991345189
ACH-000537,-0.0662927956375
ACH-000541,-0.7707323274850001
ACH-000542,-0.16188464433900002
ACH-000544,-0.152611631313
ACH-000545,-0.0307249164835
ACH-000547,0.111305039772
ACH-000548,-0.420519123894
ACH-000549,-0.205582332066
ACH-000550,-0.6047910228760001
ACH-000552,-0.023000439972599995
ACH-000556,-0.262319685215
ACH-000557,0.04772120025690001
ACH-000570,-0.125191223966
ACH-000571,-0.16107979048
ACH-000573,-0.054429487511800004
ACH-000576,-0.10218725116499999
ACH-000580,0.098613799598
ACH-000584,-0.35283391689000004
ACH-000585,-0.35668546175800003
ACH-000588,-0.586358334792
ACH-000589,-0.233875002972
ACH-000591,-0.29997089581999997
ACH-000593,-0.35145519373899997
ACH-000600,-0.271129229396
ACH-000601,-0.238466735316
ACH-000604,-0.237759326228
ACH-000605,0.0441581210531
ACH-000606,-0.13403318920600002
ACH-000608,-0.10573380003699999
ACH-000614,-0.8671995866680001
ACH-000616,-0.0682218511726
ACH-000618,-0.07064740857210002
ACH-000619,-0.27372004930599997
ACH-000620,-0.34473699613200004
ACH-000621,-0.053789318094600004
ACH-000622,-0.20905278038400002
ACH-000623,-0.23778389804800001
ACH-000624,-0.13745585187599998
ACH-000627,-0.208057317094
ACH-000630,-0.111967711069
ACH-000632,-0.180764053987
ACH-000633,-0.200083111778
ACH-000637,-0.131180397356
ACH-000638,-0.33822479099200004
ACH-000646,-0.277229673814
ACH-000647,-0.0787554056767
ACH-000648,-0.317852647963
ACH-000649,-0.309167412899
ACH-000651,-0.34304651861599994
ACH-000652,-0.14479398597999998
ACH-000653,-0.020651317659999998
ACH-000657,-0.11687934003900001
ACH-000658,-0.529995844775
ACH-000661,-0.0727077156448
ACH-000662,-0.47254916474299996
ACH-000663,-0.122687465087
ACH-000665,-0.0852347608512
ACH-000671,-0.0741839735707
ACH-000673,-0.145984520635
ACH-000676,-0.253690627587
ACH-000677,-0.0481312115424
ACH-000681,-0.259820855861
ACH-000682,-0.20703260386300001
ACH-000683,-0.253323248427
ACH-000684,-0.607036588092
ACH-000688,-0.338051482502
ACH-000693,-0.16321918227
ACH-000694,-0.187946072397
ACH-000695,-0.0472986663184
ACH-000696,-0.254155590736
