,GTF2I (2969)
ACH-000004,-0.612815395757
ACH-000007,0.15306358053
ACH-000009,-0.469388747095
ACH-000011,-0.305411865918
ACH-000012,-0.33846453372699997
ACH-000013,-0.325234420239
ACH-000014,-0.176676739276
ACH-000015,-0.250084896988
ACH-000017,-0.167949693578
ACH-000018,-0.24448679358800002
ACH-000019,-0.234519678872
ACH-000021,-0.492795701194
ACH-000022,-0.530524783997
ACH-000025,-0.5160208351560001
ACH-000028,-0.366151030567
ACH-000030,-0.46377623632
ACH-000035,-0.460586156268
ACH-000036,-0.338983693062
ACH-000037,-0.663908129249
ACH-000039,-0.439444922013
ACH-000040,-0.24455239016600003
ACH-000041,-0.41332339277099994
ACH-000042,-0.323920690978
ACH-000045,-0.268518422797
ACH-000047,-0.31493978034200004
ACH-000052,-0.589358797012
ACH-000053,-0.35847611892399994
ACH-000054,-0.41602420454899997
ACH-000055,-0.7377776492620001
ACH-000060,-0.574585081301
ACH-000067,-0.768866437371
ACH-000070,-0.510856276529
ACH-000075,-0.116056330602
ACH-000078,-0.586606087524
ACH-000082,-0.44964549926200004
ACH-000085,-0.532855961206
ACH-000086,-0.22405665905400002
ACH-000087,-0.33735140744099995
ACH-000092,-0.237919021943
ACH-000095,-0.443048935618
ACH-000097,-0.624894537635
ACH-000098,-0.489952422098
ACH-000099,-0.450989583329
ACH-000108,-0.12301268212300001
ACH-000113,-0.475038209556
ACH-000115,-0.639216720065
ACH-000116,-0.5544407494100001
ACH-000118,-0.266188027865
ACH-000120,-0.254966096944
ACH-000123,-0.17599140803100002
ACH-000127,-0.35721246611199997
ACH-000128,-0.467732178779
ACH-000132,-0.6087833688009999
ACH-000133,-0.284422279827
ACH-000137,-0.42270138048699996
ACH-000138,-0.173518018917
ACH-000142,-0.283464891194
ACH-000143,-0.4644919439
ACH-000146,-0.283807704374
ACH-000148,-0.38666836725599996
ACH-000150,-0.318183513979
ACH-000152,-0.437207402657
ACH-000153,-0.476937232967
ACH-000159,-0.450246707131
ACH-000160,-0.291824315795
ACH-000163,-0.38391270245700004
ACH-000167,-0.628181335624
ACH-000168,-0.329084906787
ACH-000169,-0.616677864012
ACH-000178,-0.346078010476
ACH-000182,-0.47199420255099994
ACH-000183,-0.440904527738
ACH-000188,-0.502595616995
ACH-000189,-0.324808794382
ACH-000190,-0.33703420587099997
ACH-000198,-0.37616097946099997
ACH-000204,-0.384780354569
ACH-000206,-0.38899413596199994
ACH-000207,-0.153755291841
ACH-000211,-0.431676387284
ACH-000215,-0.601508695128
ACH-000221,-0.454737713878
ACH-000222,-0.348793243239
ACH-000223,-0.47094101800099997
ACH-000226,-0.572820069648
ACH-000227,-0.7839151346359999
ACH-000228,-0.235312778448
ACH-000231,-0.35737383888999996
ACH-000232,-0.590114145158
ACH-000233,-0.187274006531
ACH-000234,-0.388520790281
ACH-000235,-0.344882783679
ACH-000237,-0.5535057013660001
ACH-000238,-0.16743508747000002
ACH-000243,-0.22148641253899998
ACH-000244,-0.329077249345
ACH-000246,-0.21745209485999997
ACH-000248,-0.29044079121
ACH-000250,-0.326398353567
ACH-000251,-0.224440540206
ACH-000253,-0.17870598970100002
ACH-000255,-0.47008408045100003
ACH-000256,-0.325162598408
ACH-000257,0.09069310458280001
ACH-000258,-0.515999293625
ACH-000259,-0.323385574091
ACH-000260,-0.370418762108
ACH-000261,-0.44620243406000004
ACH-000262,-0.599286626235
ACH-000263,-0.6397600288499999
ACH-000264,-0.525044253979
ACH-000265,-0.420248856866
ACH-000266,-0.46117661118500003
ACH-000272,-0.50159535022
ACH-000273,-0.303746901888
ACH-000274,-0.479444417394
ACH-000277,-0.280839511951
ACH-000278,-0.5144015230479999
ACH-000279,-0.435089550519
ACH-000280,-0.30062980430799996
ACH-000281,-0.334878301465
ACH-000288,-0.454286909314
ACH-000291,-0.521439974572
ACH-000293,-0.47460057421499996
ACH-000294,-0.54747536903
ACH-000295,-0.323603167384
ACH-000296,-0.45499551597099996
ACH-000302,-0.47932872101
ACH-000304,-0.730790745734
ACH-000307,-0.20469481847100002
ACH-000308,-0.28425396363600003
ACH-000310,-0.54483277567
ACH-000311,-0.198189699653
ACH-000312,-0.407213886622
ACH-000315,-0.0240304525538
ACH-000316,-0.461126697738
ACH-000317,-0.257752835489
ACH-000318,-0.514079100397
ACH-000319,-0.456214964403
ACH-000320,-0.334156996494
ACH-000322,-0.635705561845
ACH-000323,-0.39181167112899995
ACH-000324,-0.35217750248
ACH-000329,-0.420755517243
ACH-000330,-0.41615271543300003
ACH-000331,-0.36864410949299997
ACH-000332,-0.40646155249899996
ACH-000334,-0.140244171835
ACH-000335,-0.42828916769299996
ACH-000336,-0.431722393552
ACH-000337,-0.685617708483
ACH-000339,-0.5107444915630001
ACH-000341,-0.714322753734
ACH-000348,-0.39221459800999997
ACH-000350,-0.395780997251
ACH-000352,-0.290755561098
ACH-000356,-0.409150948099
ACH-000361,-0.478293886797
ACH-000362,-0.452856912499
ACH-000363,-0.582351333047
ACH-000364,-0.327094269401
ACH-000365,-0.336004160309
ACH-000366,-0.423503485498
ACH-000368,-0.340218073578
ACH-000374,-0.563190831277
ACH-000375,-0.247803275814
ACH-000376,-0.28017634066999997
ACH-000381,-0.526772920623
ACH-000383,-0.21464068024099997
ACH-000387,-0.307590593939
ACH-000389,-0.32603259196
ACH-000390,-0.37834318090999997
ACH-000393,-0.511171393363
ACH-000395,-0.42324456563600005
ACH-000397,-0.397396541903
ACH-000401,-0.238605530579
ACH-000402,-0.0754809682723
ACH-000403,-0.412489319318
ACH-000404,-0.45776580217600005
ACH-000406,-0.31875896107900004
ACH-000407,-0.618387349344
ACH-000408,-0.254827349366
ACH-000410,-0.250849079043
ACH-000411,-0.352146490872
ACH-000414,-0.30477516793299997
ACH-000415,-0.654626768068
ACH-000416,-0.429041518432
ACH-000420,-0.518301532345
ACH-000421,-0.468127588157
ACH-000424,-0.5803725032
ACH-000425,-0.26909766656399997
ACH-000426,-0.550380624811
ACH-000427,-0.510134266347
ACH-000433,-0.40965084833899995
ACH-000436,-0.622220794462
ACH-000444,-0.176064320127
ACH-000445,-0.0400087559682
ACH-000448,-0.417984567579
ACH-000450,-0.54362636423
ACH-000452,-0.26381587487
ACH-000454,-0.11128158880899999
ACH-000458,-0.310605043639
ACH-000459,-0.318083272325
ACH-000460,-0.106440730613
ACH-000461,-0.5064357265680001
ACH-000463,-0.44583781249
ACH-000464,-0.114939566909
ACH-000466,-0.44248066413099996
ACH-000467,-0.133730560894
ACH-000468,-0.26955048903900003
ACH-000469,-0.376077910349
ACH-000470,-0.198809353799
ACH-000471,-0.402701880851
ACH-000472,-0.387189719016
ACH-000473,-0.307290840787
ACH-000475,-0.282322049188
ACH-000476,-0.242675003442
ACH-000477,-0.6286300358320001
ACH-000480,-0.33322963213199996
ACH-000481,-0.5500353850990001
ACH-000483,-0.524543707291
ACH-000484,-0.4538244952800001
ACH-000485,-0.117079724651
ACH-000486,-0.319639757818
ACH-000487,-0.35125219374899996
ACH-000488,-0.321011470722
ACH-000490,-0.496157448367
ACH-000491,-0.502973578566
ACH-000495,-0.602518513613
ACH-000496,-0.335029140665
ACH-000499,-0.333744892049
ACH-000500,-0.08534712641619999
ACH-000502,-0.36063208093099997
ACH-000503,-0.06294924482440001
ACH-000505,-0.220804696626
ACH-000507,-0.35070616092699997
ACH-000510,-0.194573595136
ACH-000511,-0.494183113356
ACH-000512,-0.107712829884
ACH-000516,-0.645768168801
ACH-000517,-0.356920611698
ACH-000518,-0.552830300675
ACH-000520,-0.42879916405599994
ACH-000521,-0.32936868961800003
ACH-000522,-0.494966345782
ACH-000524,-0.502446764241
ACH-000527,-0.5790742578220001
ACH-000528,-0.36188217886299995
ACH-000537,-0.5444201865739999
ACH-000541,-0.917231958091
ACH-000542,-0.326794120601
ACH-000544,-0.216035119406
ACH-000545,-0.457472754935
