,NOTO (344022)
ACH-000004,-0.198240843279
ACH-000007,0.09032273398870001
ACH-000009,0.0836576580643
ACH-000011,-0.130596402973
ACH-000012,-0.22048123223000002
ACH-000013,-0.21270809830899998
ACH-000014,-0.222838971686
ACH-000015,-0.286872240344
ACH-000017,-0.33589341554200003
ACH-000018,-0.29670864006299996
ACH-000019,-0.129502018915
ACH-000021,-0.278646695551
ACH-000022,-0.23631150641100002
ACH-000025,-0.233972647663
ACH-000028,-0.284042951031
ACH-000030,-0.28588697340999997
ACH-000035,-0.238009969976
ACH-000036,-0.224093139466
ACH-000037,-0.472845642361
ACH-000039,-0.300944122518
ACH-000040,-0.12117128900999999
ACH-000041,-0.154290645738
ACH-000042,-0.232948473602
ACH-000045,-0.0889379475219
ACH-000047,-0.239725753022
ACH-000052,-0.393198678451
ACH-000053,-0.174490020941
ACH-000054,-0.355074453159
ACH-000055,-0.191247374169
ACH-000060,-0.33711676654600004
ACH-000067,-0.20406544221500003
ACH-000070,-0.188683434702
ACH-000075,-0.427205931488
ACH-000078,-0.0734353674218
ACH-000082,-0.284661417236
ACH-000085,-0.411497612135
ACH-000086,-0.306162236714
ACH-000087,-0.260828115463
ACH-000092,-0.37276306402599996
ACH-000095,-0.08515063319760001
ACH-000097,-0.221473801045
ACH-000098,-0.0682190028462
ACH-000099,-0.22596134156800002
ACH-000108,-0.207888924947
ACH-000113,-0.24171239350999998
ACH-000115,-0.09096089228280001
ACH-000116,-0.281945834437
ACH-000118,-0.36448353649899995
ACH-000120,-0.127513317269
ACH-000123,-0.11535233326
ACH-000127,-0.260489544344
ACH-000128,-0.183618442637
ACH-000132,-0.049927956058
ACH-000133,-0.418114337124
ACH-000137,-0.238904242774
ACH-000138,-0.0735720167195
ACH-000142,-0.20337515967999997
ACH-000143,-0.663555268387
ACH-000146,-0.231186590261
ACH-000148,-0.17615730243799999
ACH-000150,-0.134778064792
ACH-000152,-0.491083692033
ACH-000153,-0.160230916482
ACH-000159,-0.194573694625
ACH-000160,-0.277633104857
ACH-000163,-0.329549923301
ACH-000167,-0.20602235323399998
ACH-000168,-0.16490252363
ACH-000169,-0.320824771163
ACH-000178,-0.17364638898899998
ACH-000182,-0.227244731318
ACH-000183,-0.276563690536
ACH-000188,-0.275109567031
ACH-000189,-0.5008310921119999
ACH-000190,-0.349010734107
ACH-000198,-0.297431256716
ACH-000204,-0.20751640905299998
ACH-000206,-0.333540342305
ACH-000207,0.0386961751225
ACH-000211,-0.189500062582
ACH-000215,-0.20207908175500003
ACH-000221,-0.23459490942400002
ACH-000222,0.0590919847244
ACH-000223,-0.121775647325
ACH-000226,-0.155477691608
ACH-000227,-0.127099342191
ACH-000228,-0.153099668505
ACH-000231,-0.282704971403
ACH-000232,-0.21367248228500002
ACH-000233,-0.204787193284
ACH-000234,-0.118383217543
ACH-000235,-0.126560600776
ACH-000237,-0.222756305928
ACH-000238,-0.38252907485699994
ACH-000243,-0.264960033292
ACH-000244,-0.31343701039599997
ACH-000246,-0.218509064666
ACH-000248,-0.384069054696
ACH-000250,-0.37312645705799996
ACH-000251,-0.721143414033
ACH-000253,-0.381905068727
ACH-000255,-0.358656983918
ACH-000256,-0.12806888112700002
ACH-000257,-0.366264719995
ACH-000258,0.075980615653
ACH-000259,-0.217996175896
ACH-000260,-0.241191109514
ACH-000261,-0.22079338719799999
ACH-000262,-0.290881862793
ACH-000263,-0.0655739437698
ACH-000264,-0.238696638924
ACH-000265,-0.128287707054
ACH-000266,-0.17201606066199998
ACH-000272,-0.239317135329
ACH-000273,-0.314899090895
ACH-000274,-0.34798463416000003
ACH-000277,-0.184747698684
ACH-000278,-0.08069225445860001
ACH-000279,-0.29638541428000004
ACH-000280,-0.337090228962
ACH-000281,-0.0587644723324
ACH-000288,-0.311416413124
ACH-000291,-0.304241969713
ACH-000293,-0.6929496251489999
ACH-000294,-0.126709284716
ACH-000295,-0.344107833622
