,SYF2 (25949)
ACH-000004,-0.919456713019
ACH-000007,-1.1192953122799998
ACH-000009,-1.2721917227600001
ACH-000011,-0.8955126150689999
ACH-000012,-1.1467585756899998
ACH-000013,-1.16165431088
ACH-000014,-1.19753697486
ACH-000015,-0.8826561805769999
ACH-000017,-1.3283764474200002
ACH-000018,-1.0354190244900001
ACH-000019,-1.36026218313
ACH-000021,-1.0422806568
ACH-000022,-1.17031535714
ACH-000025,-0.796264398593
ACH-000028,-1.35523323663
ACH-000030,-1.16331340527
ACH-000035,-1.3229011709
ACH-000036,-1.10817788078
ACH-000037,-1.48518353978
ACH-000039,-0.8176861742129999
ACH-000040,-1.31293046056
ACH-000041,-1.01572642824
ACH-000042,-0.90424763191
ACH-000045,-1.01096874031
ACH-000047,-1.21369903635
ACH-000052,-1.36951259722
ACH-000053,-0.933613740485
ACH-000054,-1.26811663166
ACH-000055,-0.7449678014650001
ACH-000060,-1.35136672005
ACH-000067,-0.9507124873989999
ACH-000070,-1.3107298031299999
ACH-000075,-1.28096653107
ACH-000078,-1.04523554416
ACH-000082,-1.07470549628
ACH-000085,-0.8027161440530001
ACH-000086,-1.08475595231
ACH-000087,-0.996228625149
ACH-000092,-1.27818519272
ACH-000095,-1.05483588524
ACH-000097,-1.1188697589799999
ACH-000098,-0.875393604955
ACH-000099,-1.36345335107
ACH-000108,-0.858688932922
ACH-000113,-1.15246168633
ACH-000115,-1.13026954362
ACH-000116,-1.23027441296
ACH-000118,-1.07523588779
ACH-000120,-1.24720362536
ACH-000123,-1.3193558880299998
ACH-000127,-1.29342440097
ACH-000128,-0.761937320462
ACH-000132,-1.25799036505
ACH-000133,-1.1794905800700002
ACH-000137,-1.28959156338
ACH-000138,-0.8397113192450001
ACH-000142,-0.973462547112
ACH-000143,-1.02163237515
ACH-000146,-1.0857295207200002
ACH-000148,-1.06840237327
ACH-000150,-1.15271812786
ACH-000152,-1.11081009324
ACH-000153,-1.25372723725
ACH-000159,-1.1487121464899999
ACH-000160,-1.3206447747
ACH-000163,-0.8654047154200001
ACH-000167,-1.5898575981799998
ACH-000168,-1.07362866513
ACH-000169,-1.0263517329
ACH-000178,-1.0283799496500001
ACH-000182,-0.7845291236390001
ACH-000183,-0.791462022589
ACH-000188,-1.10728861294
ACH-000189,-1.0885025668000001
ACH-000190,-1.28411520509
ACH-000198,-0.9210789664700001
ACH-000204,-1.06506703115
ACH-000206,-0.9104393099279999
ACH-000207,-1.08238726851
ACH-000211,-1.16098513987
ACH-000215,-1.0655727852799999
ACH-000221,-1.26130229152
ACH-000222,-1.18429615826
ACH-000223,-1.143773255
ACH-000226,-1.34979181288
ACH-000227,-1.34256369567
ACH-000228,-1.3866167813699999
ACH-000231,-1.0412190346899999
ACH-000232,-1.0493262857899999
ACH-000233,-1.15092374415
ACH-000234,-1.1172701715200002
ACH-000235,-1.23829094796
ACH-000237,-1.29472742935
ACH-000238,-1.16678982397
ACH-000243,-1.23477400814
ACH-000244,-1.26355992292
ACH-000246,-1.1537725099200002
ACH-000248,-1.22769722362
ACH-000250,-1.16673860238
ACH-000251,-1.5848090229700003
ACH-000253,-1.05617839376
ACH-000255,-0.9796039121269999
ACH-000256,-1.2506001498100001
ACH-000257,-1.12263854704
ACH-000258,-1.35613947711
ACH-000259,-1.0931338814
ACH-000260,-1.13262793389
ACH-000261,-1.0181249614399999
ACH-000262,-0.944177156607
ACH-000263,-1.15725585751
ACH-000264,-1.21961728208
ACH-000265,-0.957758222609
ACH-000266,-1.13929192204
ACH-000272,-1.0441912074
ACH-000273,-0.8798040693639999
ACH-000274,-0.941238266242
ACH-000277,-1.27281337106
ACH-000278,-1.80692960767
ACH-000279,-1.14857084565
ACH-000280,-1.1697039066
ACH-000281,-0.9310598926070001
ACH-000288,-0.964072659867
ACH-000291,-1.2784334072399999
ACH-000293,-1.21754307165
ACH-000294,-1.08704790669
ACH-000295,-0.91346609142
ACH-000296,-1.00669486968
ACH-000302,-1.22974696864
ACH-000304,-0.760323575326
ACH-000307,-1.0839843201700001
ACH-000308,-1.13338704907
ACH-000310,-1.4217905557799997
ACH-000311,-1.07710689617
ACH-000312,-1.16017719241
ACH-000315,-1.0589366248999998
ACH-000316,-1.14534045474
ACH-000317,-1.19733222222
ACH-000318,-1.1157699066
ACH-000319,-1.3472299171899997
ACH-000320,-1.0351227823
ACH-000322,-1.12259234641
ACH-000323,-1.2431370944600002
ACH-000324,-1.1907449700200001
ACH-000329,-0.867300727385
ACH-000330,-1.02113391906
ACH-000331,-1.1228058939299999
ACH-000332,-1.14451220898
ACH-000334,-1.19297712538
ACH-000335,-1.23390878872
ACH-000336,-1.2367288239899998
ACH-000337,-0.9607653229950001
ACH-000339,-1.17242061355
ACH-000341,-0.850485529931
ACH-000348,-1.41440837143
ACH-000350,-1.13170442467
ACH-000352,-1.05895165529
ACH-000356,-0.713408496981
ACH-000361,-0.82339729557
ACH-000362,-1.10859217285
ACH-000363,-1.3572028519400001
ACH-000364,-1.18554361787
ACH-000365,-1.07554732529
ACH-000366,-0.93773170456
ACH-000368,-1.0115889696
ACH-000374,-1.0053993300700002
ACH-000375,-1.25184329543
ACH-000376,-1.2214422897200001
ACH-000381,-1.19234044095
ACH-000383,-1.1450197542
ACH-000387,-1.26775551339
ACH-000389,-1.20575279223
ACH-000390,-1.3905169373500001
ACH-000393,-0.9918678299570001
ACH-000395,-1.2733790263
ACH-000397,-1.0719526064899998
ACH-000401,-0.93787817782
ACH-000402,-1.2441175813299998
ACH-000403,-1.21830249137
ACH-000404,-1.5744153911200003
ACH-000406,-0.8741215032200002
ACH-000407,-1.0332055334999999
ACH-000408,-1.0792784114
ACH-000410,-0.987035960993
ACH-000411,-1.55625084681
ACH-000414,-1.0778603551700001
ACH-000415,-1.0199544520700001
ACH-000416,-1.1174604369499999
ACH-000420,-0.967184044489
ACH-000421,-1.15928793437
ACH-000424,-1.16166781518
ACH-000425,-0.9301551896629999
ACH-000426,-1.70339060254
ACH-000427,-1.26784258373
ACH-000433,-1.07211327795
ACH-000436,-0.90288388766
ACH-000444,-1.0931939008
ACH-000445,-0.781597660881
ACH-000448,-1.23573488401
ACH-000450,-1.15787571797
ACH-000452,-0.9777357409990001
ACH-000454,-1.2586164346100002
ACH-000458,-1.1705823414299998
ACH-000459,-0.818474558477
ACH-000460,-1.22648407308
ACH-000461,-1.29513010763
ACH-000463,-0.9846306246100001
ACH-000464,-1.0611966942
ACH-000466,-1.15806600698
ACH-000467,-1.1777461416
ACH-000468,-0.9587449193790001
ACH-000469,-1.1765666505299999
ACH-000470,-1.29207188592
ACH-000471,-0.9139785262019999
ACH-000472,-1.1783027244600002
ACH-000473,-1.03191884675
ACH-000475,-1.19142247754
ACH-000476,-1.18325910092
ACH-000477,-0.549639291598
ACH-000480,-1.20980516073
ACH-000481,-1.1124395343100002
ACH-000483,-1.6316871816499998
ACH-000484,-1.28276315943
ACH-000485,-0.889948841099
ACH-000486,-1.06425118593
ACH-000487,-0.979892766875
ACH-000488,-1.22409444956
ACH-000490,-1.29110618141
ACH-000491,-0.923417248987
ACH-000495,-1.3862430147999998
ACH-000496,-1.1274167494
ACH-000499,-0.936675868347
ACH-000500,-1.20670793672
ACH-000502,-1.14261763281
ACH-000503,-0.9077137482700001
ACH-000505,-1.21227214245
ACH-000507,-1.17510008132
ACH-000510,-0.9920525747010001
