,DAD1 (1603)
ACH-000004,-1.74292213625
ACH-000007,-1.73772268007
ACH-000009,-1.3920924301700002
ACH-000011,-1.7355483981200002
ACH-000012,-1.26352436804
ACH-000013,-1.62563839768
ACH-000014,-1.6510637771099999
ACH-000015,-1.3716698906
ACH-000017,-1.40151234558
ACH-000018,-1.31573277309
ACH-000019,-1.0304918369
ACH-000021,-1.3487381728999999
ACH-000022,-1.62678985704
ACH-000025,-1.3493555
ACH-000028,-1.38073119211
ACH-000030,-1.57062896805
ACH-000035,-1.44715016731
ACH-000036,-1.3730290871700002
ACH-000037,-1.5370334615299999
ACH-000039,-1.6426780521000002
ACH-000040,-1.33513548582
ACH-000041,-1.6327127743799998
ACH-000042,-1.39155835288
ACH-000045,-1.51136331334
ACH-000047,-1.45649927773
ACH-000052,-1.40790293341
ACH-000053,-1.2969986721100002
ACH-000054,-1.5242341584399999
ACH-000055,-1.68150953342
ACH-000060,-1.61846459414
ACH-000067,-1.4991987283000001
ACH-000070,-1.58234693737
ACH-000075,-1.53066020497
ACH-000078,-1.40103753574
ACH-000082,-1.65577497581
ACH-000085,-1.51922652627
ACH-000086,-1.56413652164
ACH-000087,-1.6470833145500001
ACH-000092,-1.4142471486700001
ACH-000095,-1.4427498025999999
ACH-000097,-1.5045018615999999
ACH-000098,-1.55519204206
ACH-000099,-1.40637644935
ACH-000108,-1.5481607821899999
ACH-000113,-1.49179456109
ACH-000115,-2.03306107377
ACH-000116,-1.37300788959
ACH-000118,-1.3652449323700002
ACH-000120,-1.3988861070700003
ACH-000123,-1.6366107643799999
ACH-000127,-1.53369970635
ACH-000128,-1.3840528008000001
ACH-000132,-1.74946876373
ACH-000133,-1.19493391103
ACH-000137,-1.67828019262
ACH-000138,-1.25698150076
ACH-000142,-1.4900209312200001
ACH-000143,-1.55064270991
ACH-000146,-1.4765818235600001
ACH-000148,-1.70176774824
ACH-000150,-1.36093364921
ACH-000152,-1.6117900341299998
ACH-000153,-1.57665516458
ACH-000159,-1.44291613289
ACH-000160,-1.48274921348
ACH-000163,-1.62741635037
ACH-000167,-1.84387660055
ACH-000168,-1.7901185802500001
ACH-000169,-1.64032415591
ACH-000178,-1.51036189033
ACH-000182,-1.39743926103
ACH-000183,-1.26338604756
ACH-000188,-1.33269458894
ACH-000189,-1.37688527199
ACH-000190,-1.53296029736
ACH-000198,-1.4906960063499999
ACH-000204,-1.51621530654
ACH-000206,-1.53767304489
ACH-000207,-0.9921604370899999
ACH-000211,-1.38380698787
ACH-000215,-1.4210110454700002
ACH-000221,-1.3518555771599998
ACH-000222,-1.3060040981
ACH-000223,-1.23405834148
ACH-000226,-1.34662300537
ACH-000227,-0.962942207446
ACH-000228,-1.53868124027
ACH-000231,-1.26462698966
ACH-000232,-1.56298328756
ACH-000233,-1.31285136902
ACH-000234,-1.9989070775
ACH-000235,-1.35673128993
ACH-000237,-1.16438519278
ACH-000238,-1.2231748064799999
ACH-000243,-1.5699309832100001
ACH-000244,-1.1899294114299999
ACH-000246,-1.5676603186700002
ACH-000248,-1.33033029769
ACH-000250,-1.6920048463100001
ACH-000251,-1.53899490454
ACH-000253,-1.4175458159
ACH-000255,-1.52351231635
ACH-000256,-1.599681979
ACH-000257,-1.18336217831
ACH-000258,-1.56328259171
ACH-000259,-1.63885495847
ACH-000260,-1.45692786845
ACH-000261,-1.61924471982
ACH-000262,-1.37824843352
ACH-000263,-1.5106231814200002
ACH-000264,-1.35029963201
ACH-000265,-1.40356950825
ACH-000266,-1.36095323498
ACH-000272,-1.49418219343
ACH-000273,-1.32779212131
ACH-000274,-1.44044386367
ACH-000277,-1.71353419532
ACH-000278,-1.99592621003
ACH-000279,-1.39581035413
ACH-000280,-1.41667962503
ACH-000281,-1.407608112
ACH-000288,-1.2994494352600001
ACH-000291,-1.36719536692
ACH-000293,-1.32393495662
ACH-000294,-1.64285263349
ACH-000295,-1.4386978964100001
ACH-000296,-1.53097031374
ACH-000302,-1.8171443220599997
ACH-000304,-2.0135222317099997
ACH-000307,-1.37574647581
ACH-000308,-1.41884266113
ACH-000310,-0.803954000405
ACH-000311,-1.56474914845
ACH-000312,-1.4013319741699999
ACH-000315,-1.35449711197
ACH-000316,-1.26002815772
ACH-000317,-1.4291702510100002
ACH-000318,-1.40664742409
ACH-000319,-1.2742003672600002
ACH-000320,-1.2488324666
ACH-000322,-1.54382274209
ACH-000323,-1.3575924421099999
ACH-000324,-1.3499687740700002
ACH-000329,-1.60558773649
ACH-000330,-1.44192509745
ACH-000331,-1.46352192856
ACH-000332,-1.40714593799
ACH-000334,-1.4612714929700001
ACH-000335,-1.2284817049799999
ACH-000336,-1.5477518169100002
ACH-000337,-1.33377710633
ACH-000339,-1.3650350472
ACH-000341,-1.3130359516799999
ACH-000348,-1.35193620581
ACH-000350,-1.60582573934
ACH-000352,-1.46189572322
ACH-000356,-1.4416318301700002
ACH-000361,-1.51806682105
ACH-000362,-1.53993048218
ACH-000363,-1.42710773083
ACH-000364,-1.41683635651
ACH-000365,-1.57650595968
ACH-000366,-1.5567097751199999
ACH-000368,-1.8004112901099998
ACH-000374,-1.26410601331
ACH-000375,-1.19243568464
ACH-000376,-1.7302563645299998
ACH-000381,-1.4641914556400002
ACH-000383,-1.40478320681
