,HPD (3242)
ACH-000004,-0.079612539981
ACH-000007,0.135914938487
ACH-000009,-0.298402647237
ACH-000011,-0.120980597325
ACH-000012,0.0006383091611089999
ACH-000013,-0.0748405471947
ACH-000014,0.021408741737199997
ACH-000015,-0.0924779891179
ACH-000017,-0.09792897120619999
ACH-000018,-0.14585559440999998
ACH-000019,-0.181438841606
ACH-000021,-0.260933228377
ACH-000022,-0.14662028454
ACH-000025,-0.18517600054299999
ACH-000028,0.0806882080766
ACH-000030,-0.127347714745
ACH-000035,-0.184818422754
ACH-000036,-0.09713596170389999
ACH-000037,-0.31476848271499996
ACH-000039,-0.178396668376
ACH-000040,-0.102187860454
ACH-000041,-0.0778507347648
ACH-000042,-0.232537413564
ACH-000045,-0.17342892789900002
ACH-000047,-0.156831685381
ACH-000052,0.206804361974
ACH-000053,-0.175662780445
ACH-000054,-0.17479944394400002
ACH-000055,-0.0563750984815
ACH-000060,-0.043888402094900004
ACH-000067,-0.11491455843000001
ACH-000070,-0.140776213679
ACH-000075,0.00699198146338
ACH-000078,-0.27739562995
ACH-000082,-0.205035073888
ACH-000085,-0.37438802567199997
ACH-000086,-0.19074448505
ACH-000087,-0.195465195786
ACH-000092,-0.08715280529510001
ACH-000095,-0.141231182176
ACH-000097,-0.11139182745899999
ACH-000098,-0.0495085882091
ACH-000099,-0.133873198672
ACH-000108,-0.009411265756260001
ACH-000113,-0.127907489902
ACH-000115,-0.34632408949199994
ACH-000116,-0.11136237267799999
ACH-000118,-0.28312102192
ACH-000120,-0.015428815951200003
ACH-000123,-0.0645743104536
ACH-000127,-0.18416878596500003
ACH-000128,-0.129936793884
ACH-000132,-0.00878023280816
ACH-000133,-0.33137158889
ACH-000137,-0.171002865561
ACH-000138,-0.0272148517276
ACH-000142,-0.184729205856
ACH-000143,0.0218613303448
ACH-000146,-0.057904581074599996
ACH-000148,-0.15460035361
ACH-000150,-0.10818285090600001
ACH-000152,-0.24348888340799998
ACH-000153,-0.020099152194499998
ACH-000159,-0.051814751176800004
ACH-000160,0.20903234965300002
ACH-000163,-0.0767448583768
ACH-000167,0.25655601161499997
ACH-000168,-0.07617106464710001
ACH-000169,-0.19511046949799998
ACH-000178,-0.262619693642
ACH-000182,-0.291807470094
ACH-000183,-0.117962847237
ACH-000188,-0.183958355869
ACH-000189,0.235628360586
ACH-000190,0.19891017074
ACH-000198,0.014405869334799998
ACH-000204,-0.30312882286
ACH-000206,-0.241568102744
ACH-000207,-0.152644148303
ACH-000211,-0.149150661241
ACH-000215,-0.0950157141264
ACH-000221,0.04205348590480001
ACH-000222,-0.115003031875
ACH-000223,-0.0289118199685
ACH-000226,-0.165785405749
ACH-000227,-0.338243544708
ACH-000228,0.0119895580496
ACH-000231,0.051316579911099995
ACH-000232,-0.239672112242
ACH-000233,-0.146477019021
ACH-000234,-0.236848613248
ACH-000235,-0.154058735278
ACH-000237,-0.22748508298099998
ACH-000238,-0.0590269088559
ACH-000243,-0.17728470943500002
ACH-000244,-0.023880099808
ACH-000246,-0.0209680957162
ACH-000248,0.0871949655791
ACH-000250,-0.162716406357
ACH-000251,-0.22240069387800002
ACH-000253,-0.119524509298
ACH-000255,-0.0580825739605
ACH-000256,-0.105500094938
ACH-000257,-0.18446558399799998
ACH-000258,-0.257747669839
ACH-000259,-0.0889887243406
ACH-000260,-0.200533276065
ACH-000261,-0.07442098283139999
ACH-000262,-0.311831623463
ACH-000263,-0.429146829652
ACH-000264,-0.1293306207
ACH-000265,-0.153888310284
ACH-000266,-0.138612962139
ACH-000272,-0.178064456701
ACH-000273,-0.233373670324
ACH-000274,-0.131588310931
ACH-000277,-0.21698701554400002
ACH-000278,-0.134353156212
ACH-000279,-0.09959856838680001
ACH-000280,0.0042919832469000005
ACH-000281,-0.47096643181500003
ACH-000288,-0.217151125297
ACH-000291,-0.08071376012380001
ACH-000293,0.028733744398900002
ACH-000294,-0.236266783085
ACH-000295,-0.196250284403
ACH-000296,-0.152890067436
ACH-000302,-0.12387628537
ACH-000304,-0.253384082267
ACH-000307,-0.20383044939300002
ACH-000308,0.00573673202124
ACH-000310,-0.209295177684
ACH-000311,-0.17043883891699999
ACH-000312,-0.18864154261100002
ACH-000315,-0.427809748964
ACH-000316,-0.163776050032
ACH-000317,-0.0448272207799
ACH-000318,-0.098044175561
ACH-000319,-0.0346460376635
ACH-000320,-0.368393016963
ACH-000322,-0.171517409058
ACH-000323,-0.232914554837
ACH-000324,-0.20620668418
ACH-000329,-0.106550288494
ACH-000330,-0.114221075987
ACH-000331,-0.157858474704
ACH-000332,-0.179446232968
ACH-000334,0.0857877633976
ACH-000335,-0.09191433536869999
ACH-000336,-0.37536706847199997
ACH-000337,-0.0152674805882
ACH-000339,-0.130382962282
