,PIK3CD (5293)
ACH-000004,-0.195639729098
ACH-000007,-0.0038285393668000003
ACH-000009,0.00830748434118
ACH-000011,0.083320867213
ACH-000012,-0.217073519819
ACH-000013,-0.49158821978100004
ACH-000014,-0.456185470731
ACH-000015,-0.174245020959
ACH-000017,-0.272434327656
ACH-000018,-0.18715917218800002
ACH-000019,-0.226226202484
ACH-000021,-0.091260901303
ACH-000022,-0.023750113402599998
ACH-000025,-0.520233593404
ACH-000028,-0.0021164870970499998
ACH-000030,-0.06131267173
ACH-000035,-0.390466652438
ACH-000036,-0.218254071899
ACH-000037,-0.482647931507
ACH-000039,-0.24006865798500002
ACH-000040,-0.129012405684
ACH-000041,-0.431888171166
ACH-000042,-0.157644253606
ACH-000045,-0.298736033967
ACH-000047,-0.0865792697314
ACH-000052,-0.191372461651
ACH-000053,-0.105255073234
ACH-000054,-0.205105067606
ACH-000055,0.0033365585360700003
ACH-000060,-0.17301216740699998
ACH-000067,-0.5510213372739999
ACH-000070,-0.341428468146
ACH-000075,-0.45386214718400003
ACH-000078,-0.0990006931342
ACH-000082,-0.191088703794
ACH-000085,-0.135300052413
ACH-000086,-0.25583470475000003
ACH-000087,-0.0749913143079
ACH-000092,-0.238061915129
ACH-000095,0.04310974472080001
ACH-000097,-0.136249541467
ACH-000098,-0.183423398519
ACH-000099,-0.193788788189
ACH-000108,-0.169860104894
ACH-000113,-0.12089874236300001
ACH-000115,-0.286748254753
ACH-000116,-0.06783145062469999
ACH-000118,-0.11115119687000001
ACH-000120,-0.109931148276
ACH-000123,-0.116453608934
ACH-000127,-0.0506431104879
ACH-000128,-0.621760932408
ACH-000132,-0.202969699492
ACH-000133,0.010151341744600001
ACH-000137,-0.0362077818231
ACH-000138,-0.0750880668915
ACH-000142,-0.0687736029792
ACH-000143,-0.254205492754
ACH-000146,-0.595928124572
ACH-000148,-0.0764586417112
ACH-000150,-0.414492252491
ACH-000152,-0.287778266412
ACH-000153,-0.338646127768
ACH-000159,-0.311679753928
ACH-000160,-0.220831802366
ACH-000163,-0.172081278846
ACH-000167,-0.433686667007
ACH-000168,-0.255556831403
ACH-000169,-0.0684805215855
ACH-000178,-0.180319073268
ACH-000182,-0.02366242775
ACH-000183,-0.0788021817044
ACH-000188,-0.19362223667800002
ACH-000189,-0.08210096527369999
ACH-000190,-0.25786188784499997
ACH-000198,0.428630746767
ACH-000204,-0.265119148474
ACH-000206,-0.625822724974
ACH-000207,-0.228434603021
ACH-000211,-0.0392700562084
ACH-000215,-0.266071136572
ACH-000221,-0.195004312226
ACH-000222,-0.191771694772
ACH-000223,-0.108887086154
ACH-000226,0.0922178065193
ACH-000227,0.0438644005226
ACH-000228,-0.0824488794063
ACH-000231,-0.24319762484000002
ACH-000232,-0.0821537366916
ACH-000233,-0.0297359518189
ACH-000234,-0.10894803515999998
ACH-000235,-0.199048538058
ACH-000237,-0.207443165005
ACH-000238,-0.216519028163
ACH-000243,-0.127193170024
ACH-000244,-0.075715884431
ACH-000246,-0.06608511796569999
ACH-000248,-0.0591664244855
ACH-000250,-0.200847551136
ACH-000251,0.107699270328
ACH-000253,-0.168770761314
ACH-000255,-0.12075511229699999
ACH-000256,-0.183194059927
ACH-000257,-0.23710077835299997
ACH-000258,0.0252351182963
ACH-000259,-0.190951222622
ACH-000260,0.027079429589900002
ACH-000261,-0.125590136377
ACH-000262,-0.0780454857015
ACH-000263,-0.935287748244
ACH-000264,-0.108886588882
ACH-000265,-0.13100956156
ACH-000266,-0.191889392277
ACH-000272,-0.10681324960300001
ACH-000273,-0.146743297253
ACH-000274,-0.20876501798500002
ACH-000277,-0.14402866619899998
ACH-000278,0.0608613814339
ACH-000279,-0.220836547409
ACH-000280,-0.0943541391377
ACH-000281,-0.326397397861
ACH-000288,-0.363075839509
ACH-000291,-0.0910331674792
ACH-000293,0.103149271362
ACH-000294,-0.041205978386099996
ACH-000295,-0.771553488703
ACH-000296,-0.280046453428
ACH-000302,-0.202996530517
ACH-000304,-0.09221135475600001
ACH-000307,-0.250511443073
ACH-000308,-0.087825082253
ACH-000310,0.0555694247167
ACH-000311,-0.12567505952400002
ACH-000312,-0.288780810488
ACH-000315,-0.6476736973489999
ACH-000316,-0.27526524956799997
