,FBLIM1 (54751)
ACH-000004,-0.504956307208
ACH-000007,-0.435704594591
ACH-000009,-0.6124926640680001
ACH-000011,-0.488494773603
ACH-000012,-0.573923397234
ACH-000013,-0.6787717158580001
ACH-000014,-0.559809809107
ACH-000015,-0.538479714172
ACH-000017,-0.603531426434
ACH-000018,-0.41811502794699995
ACH-000019,-0.487013180378
ACH-000021,-0.467820623475
ACH-000022,-0.476174374257
ACH-000025,-0.683036368793
ACH-000028,-0.24828850436099997
ACH-000030,-0.403421546365
ACH-000035,-0.8220156315899999
ACH-000036,-0.53488642955
ACH-000037,-0.910698216132
ACH-000039,-0.510907888423
ACH-000040,-0.615766680775
ACH-000041,-0.540008070718
ACH-000042,-0.6936603275579999
ACH-000045,-0.6164150011199999
ACH-000047,-0.671160743392
ACH-000052,-0.675215391808
ACH-000053,-0.420627230472
ACH-000054,-0.6877514531669999
ACH-000055,-0.772948468275
ACH-000060,-0.606072947677
ACH-000067,-0.5731398479640001
ACH-000070,-0.46570753814300003
ACH-000075,-0.48322612199299997
ACH-000078,-0.342706743988
ACH-000082,-0.476264581235
ACH-000085,-0.7164279077060001
ACH-000086,-0.50088257235
ACH-000087,-0.896018665546
ACH-000092,-0.764673055596
ACH-000095,-0.355552616932
ACH-000097,-0.47397289059799996
ACH-000098,-0.5074786648340001
ACH-000099,-0.5154794008320001
ACH-000108,-0.888055534144
ACH-000113,-0.298978531477
ACH-000115,-0.7962456721690001
ACH-000116,-0.6198812418649999
ACH-000118,-0.499035238188
ACH-000120,-0.5201210554860001
ACH-000123,-0.453653827974
ACH-000127,-0.48343525233499995
ACH-000128,-0.721642970485
ACH-000132,-0.420792586704
ACH-000133,-0.8782086433299999
ACH-000137,-0.904618362462
ACH-000138,-0.578651200234
ACH-000142,-0.507659716008
ACH-000143,-0.650902671905
ACH-000146,-0.280768617264
ACH-000148,-0.5951537386819999
ACH-000150,-0.711403364668
ACH-000152,-0.560138657911
ACH-000153,-0.484578608869
ACH-000159,-0.682992429715
ACH-000160,-0.541504799504
ACH-000163,-0.42508997107600005
ACH-000167,-0.89124020191
ACH-000168,-0.7237165914650001
ACH-000169,-0.532666456846
ACH-000178,-0.57237591922
ACH-000182,-0.5057304765649999
ACH-000183,-0.77828303366
ACH-000188,-0.511140290436
ACH-000189,-0.143016471382
ACH-000190,-0.352851407748
ACH-000198,-0.6136331374930001
ACH-000204,-0.692064962854
ACH-000206,-0.724628324491
ACH-000207,-0.758472262826
ACH-000211,-0.643843306357
ACH-000215,-0.6017828146249999
ACH-000221,-0.634873753118
ACH-000222,-0.553606877942
ACH-000223,-0.621385786096
ACH-000226,-0.6551953398070001
ACH-000227,-0.635992468231
ACH-000228,-0.690185628099
ACH-000231,-0.477829329495
ACH-000232,-0.535586189634
ACH-000233,-0.5721308178600001
ACH-000234,-0.721585164867
ACH-000235,-0.567110947038
ACH-000237,-0.720327317139
ACH-000238,-0.417086848636
ACH-000243,-0.49390230040399996
ACH-000244,-0.546599132142
ACH-000246,-0.591784725333
ACH-000248,-0.7027447350980001
ACH-000250,-0.49518647142
ACH-000251,-0.625989979416
ACH-000253,-0.422688835081
ACH-000255,-0.43391621503600003
ACH-000256,-0.7294885705130001
ACH-000257,-0.126696885805
ACH-000258,-0.39088253145999996
ACH-000259,-0.4768066323100001
