,ZFR (51663)
ACH-000004,-0.434568049129
ACH-000007,-0.452628620291
ACH-000009,-0.6786610069939999
ACH-000011,-0.624165943492
ACH-000012,-0.550699144532
ACH-000013,-0.27304776358000005
ACH-000014,-0.854786087096
ACH-000015,-0.301537396796
ACH-000017,-0.510039676532
ACH-000018,-0.287946668124
ACH-000019,-0.256824676245
ACH-000021,-0.461557682754
ACH-000022,-0.409677702448
ACH-000025,-0.46641462388599997
ACH-000028,-0.39371441857600004
ACH-000030,-0.22016860086800003
ACH-000035,-0.522816164504
ACH-000036,-0.262906949038
ACH-000037,-0.543306593259
ACH-000039,-0.614929638024
ACH-000040,-0.210040207428
ACH-000041,-0.36155235411799996
ACH-000042,-0.9968069199709999
ACH-000045,-0.199792984063
ACH-000047,-0.45936529679300003
ACH-000052,-0.6907944401330001
ACH-000053,-0.37472724791100004
ACH-000054,-0.176096936771
ACH-000055,-0.13387643267000002
ACH-000060,-0.593061614059
ACH-000067,-0.748352505804
ACH-000070,0.0197651856235
ACH-000075,-0.462433122069
ACH-000078,-0.548024571182
ACH-000082,-0.333477250913
ACH-000085,0.0111396740903
ACH-000086,-0.448219806727
ACH-000087,-0.509691420492
ACH-000092,-0.5149098040969999
ACH-000095,-0.6176990915739999
ACH-000097,-0.6722733918420001
ACH-000098,-0.44450257634999996
ACH-000099,-0.746281861435
ACH-000108,-0.7059367188269999
ACH-000113,-0.300724643572
ACH-000115,-0.822081441725
ACH-000116,-0.5509078866889999
ACH-000118,-0.794685596997
ACH-000120,-0.587060010021
ACH-000123,-0.41443166106299995
ACH-000127,-0.4771064066
ACH-000128,-0.21035462539000002
ACH-000132,-0.400784608857
ACH-000133,-0.260170037305
ACH-000137,-0.46891404562399996
ACH-000138,-0.58316002966
ACH-000142,-0.40141560516099994
ACH-000143,-0.6268984809570001
ACH-000146,-0.370422804419
ACH-000148,-0.5588098945409999
ACH-000150,-0.476898215003
ACH-000152,-0.25683733919
ACH-000153,-0.5114037948560001
ACH-000159,-0.405330480922
ACH-000160,-0.295034065285
ACH-000163,-0.470094284829
ACH-000167,-0.334523866743
ACH-000168,-0.35352272954999997
ACH-000169,-0.404939651484
ACH-000178,-0.365464272878
ACH-000182,-0.7941378284489999
ACH-000183,-0.54730609455
ACH-000188,-0.379594405816
ACH-000189,-0.377320501009
ACH-000190,-0.321013898608
ACH-000198,-0.359243351883
ACH-000204,-0.254126672484
ACH-000206,-0.316876856461
ACH-000207,-0.140891574513
ACH-000211,-0.427817724237
ACH-000215,-0.490634200219
ACH-000221,-0.319465805009
