,SON (6651)
ACH-000734,-1.1817871507100002
ACH-000735,-1.5062783211500002
ACH-000736,-1.16650650815
ACH-000738,-1.2013977927
ACH-000746,-1.12497243779
ACH-000747,-1.08692037136
ACH-000748,-1.14947466416
ACH-000753,-1.1616211291
ACH-000756,-1.4217657141799998
ACH-000757,-1.19605272204
ACH-000758,-1.1666999207200002
ACH-000760,-1.23532094586
ACH-000763,-1.03993328489
ACH-000764,-0.9990995721320001
ACH-000765,-0.5748178037780001
ACH-000766,-1.22213224953
ACH-000767,-1.37942764114
ACH-000768,-1.09100282656
ACH-000769,-1.1315880386900001
ACH-000770,-1.44471091916
ACH-000771,-1.26972619149
ACH-000773,-1.27755633323
ACH-000776,-1.13160917422
ACH-000777,-1.12973678327
ACH-000778,-1.4488439748
ACH-000781,-1.01066845322
ACH-000782,-1.0097416586299999
ACH-000783,-1.60018550256
ACH-000784,-1.02847716493
ACH-000785,-1.51084699545
ACH-000787,-1.16446991604
ACH-000788,-0.829380898258
ACH-000791,-1.12428408186
ACH-000792,-1.34301472601
ACH-000794,-1.1728104404000002
ACH-000796,-1.47188936674
ACH-000799,-0.875956012072
ACH-000800,-0.5048884057249999
ACH-000802,-1.0173802028
ACH-000804,-1.3491467250600002
ACH-000805,-1.03609766555
ACH-000809,-1.18672580452
ACH-000810,-0.509312691703
ACH-000811,-0.694903023676
ACH-000817,-0.9776499308419999
ACH-000819,-0.7496882815070001
ACH-000820,-0.7381903213009999
ACH-000821,-1.15695739171
ACH-000822,-1.35711856273
ACH-000823,-1.19960445596
ACH-000824,-0.919024834288
ACH-000827,-1.15411416844
ACH-000829,-1.02269786236
ACH-000831,-1.18896767923
ACH-000832,-0.960389700485
ACH-000833,-1.95767687018
ACH-000834,-1.13577083468
ACH-000835,-1.2527702620999999
ACH-000836,-1.5129298549899999
ACH-000837,-1.05876447412
ACH-000838,-0.973967164631
ACH-000839,-1.12703374423
ACH-000840,-0.736975066126
ACH-000841,-1.20876161739
ACH-000843,-1.33110988097
ACH-000846,-1.0
ACH-000847,-0.692674024241
ACH-000848,-1.01938763593
ACH-000849,-1.0056757071100002
ACH-000851,-1.0274847564
ACH-000855,-1.10483058311
ACH-000856,-1.0074956167
ACH-000858,-1.02679001156
ACH-000859,-1.31491265053
ACH-000861,-1.19807813065
ACH-000862,-1.10512188001
ACH-000865,-1.23846332545
ACH-000866,-1.0596764435200001
ACH-000867,-0.990779117232
ACH-000869,-1.29469317038
ACH-000872,-0.904923777866
ACH-000873,-0.972401652238
ACH-000876,-1.65333676866
ACH-000878,-1.00462532094
ACH-000880,-1.09595878744
ACH-000881,-1.10822348018
ACH-000882,-1.07979578631
ACH-000884,-1.0306041478
ACH-000885,-1.20392658624
ACH-000887,-1.28600860955
ACH-000888,-1.0341659568100001
ACH-000889,-0.946246881416
ACH-000890,-0.989511904862
ACH-000896,-0.909406737776
ACH-000898,-0.8575702832080001
ACH-000900,-1.34612491841
ACH-000901,-1.51246559629
ACH-000905,-1.21560155785
ACH-000906,-1.26953825604
ACH-000907,-1.13798125533
ACH-000910,-1.3476231331200001
ACH-000911,-1.37361070409
ACH-000912,-1.10821413471
ACH-000913,-0.881379213343
ACH-000915,-1.1258493251000001
ACH-000916,-0.849530261898
ACH-000917,-1.02005907599
ACH-000921,-0.9408492207790001
ACH-000924,-1.39249836174
ACH-000926,-1.19170053671
ACH-000928,-1.22290457997
ACH-000929,-1.21311858204
ACH-000932,-1.17553202289
ACH-000935,-0.830550711595
ACH-000936,-0.8171781309370001
ACH-000937,-1.44758474947
ACH-000938,-1.49102763352
ACH-000939,-1.35292020692
ACH-000941,-0.988440258689
ACH-000943,-0.897980249496
ACH-000946,-1.00563413451
ACH-000947,-1.30703832274
ACH-000948,-1.37525245882
ACH-000950,-0.956952947396
ACH-000953,-1.37488675902
ACH-000957,-0.9432810244320001
ACH-000958,-1.0
ACH-000960,-1.2231783292899998
ACH-000963,-1.41779410542
ACH-000968,-1.1064474040799999
ACH-000969,-1.1460785123000001
ACH-000973,-1.0519117462799998
ACH-000974,-1.1497068399200001
ACH-000975,-1.0826147522
ACH-000976,-1.1114190823
ACH-000978,-2.36386699069
ACH-000980,-0.9213219705940001
ACH-000984,-1.02678072802
ACH-000986,-0.860393116327
ACH-000988,-1.03252861115
ACH-000993,-1.16762019193
ACH-000994,-1.55871545609
ACH-000996,-0.836963451213
ACH-001001,-1.1286850019499999
ACH-001020,-1.3029529770700001
ACH-001028,-1.4410052058200002
ACH-001031,-1.19542685342
ACH-001038,-1.1339974963400001
ACH-001048,-0.6633132140770001
ACH-001050,-1.30770135069
ACH-001053,-0.7730352324809999
ACH-001054,-1.10685360223
ACH-001061,-0.950602408918
ACH-001067,-1.21163307867
ACH-001075,-0.952855703378
ACH-001096,-0.8917339612530001
ACH-001128,-1.51240839227
ACH-001134,-1.07644821596
ACH-001151,-0.9015973696359999
ACH-001163,-1.19756741458
ACH-001164,-1.36059481449
ACH-001173,-1.23053255908
ACH-001183,-1.1565486414
ACH-001184,-0.9704619269429999
ACH-001190,-1.0132598685299998
ACH-001192,-1.26808268412
ACH-001193,-1.14973983045
ACH-001196,-1.12243165323
ACH-001197,-1.31888488771
ACH-001205,-1.24231866934
ACH-001211,-1.0433264861
ACH-001212,-0.828396733048
ACH-001228,-0.9254918815719999
ACH-001232,-0.8087011176019999
ACH-001239,-1.19522932432
ACH-001274,-1.0323943919299998
ACH-001275,-1.0495327646600001
ACH-001277,-0.980092166699
ACH-001278,-1.3581536727799999
ACH-001280,-2.0462497378799998
ACH-001283,-0.8511756023810001
ACH-001289,-1.1083192407
ACH-001295,-0.997750372423
ACH-001300,-1.0755364049200002
ACH-001301,-0.938840533657
ACH-001302,-0.723705982617
ACH-001303,-0.957061807782
ACH-001306,-1.07513174234
ACH-001318,-0.7938877090270001
ACH-001322,-0.9761200519650001
ACH-001328,-1.09954364692
ACH-001332,-1.06219064748
ACH-001333,-1.27450457558
ACH-001336,-0.9196029451119999
ACH-001340,-1.20565801996
ACH-001346,-1.13995176498
ACH-001353,-1.3945815725200001
ACH-001354,-0.96853319544
ACH-001367,-1.12027974585
ACH-001368,-1.0401329018799998
ACH-001374,-0.931329194761
ACH-001375,-1.14565635043
ACH-001377,-1.02012858579
ACH-001380,-1.50488417664
ACH-001391,-1.3550748969
ACH-001407,-1.05656087285
ACH-001408,-1.34315808103
ACH-001413,-1.33816422952
ACH-001430,-0.87730125407
ACH-001431,-0.939778223356
ACH-001450,-0.864006719415
ACH-001496,-1.08541776744
ACH-001500,-0.8383650174320001
ACH-001521,-1.33364318437
ACH-001523,-1.33863993271
ACH-001532,-1.24882239655
ACH-001536,-1.4749921968200002
ACH-001550,-1.07833840662
ACH-001552,-0.807348115043
ACH-001554,-1.2118251399700002
ACH-001645,-1.3735513746099999
ACH-001654,-1.2429144961399998
ACH-001715,-1.39547033909
ACH-001735,-1.1068779220799998
ACH-001736,-1.24291502796
ACH-001737,-1.34798214286
ACH-001740,-1.12530361337
ACH-001745,-0.999097855755
ACH-001750,-1.18964931525
ACH-001765,-1.16801513903
ACH-001956,-1.0087905067799998
ACH-001957,-0.706892942747
