,RANGAP1 (5905)
ACH-000004,-1.10828285137
ACH-000007,-0.9180251509
ACH-000009,-0.9258493067720001
ACH-000011,-0.6917068626180001
ACH-000012,-1.2272276198
ACH-000013,-1.1422310362
ACH-000014,-1.13740031713
ACH-000015,-0.890598374561
ACH-000017,-1.22637289061
ACH-000018,-0.9785306169210001
ACH-000019,-1.17439656552
ACH-000021,-1.07347280434
ACH-000022,-0.854284663337
ACH-000025,-0.9372255164200001
ACH-000028,-0.973392677834
ACH-000030,-1.2646967534
ACH-000035,-1.10274483679
ACH-000036,-0.967331698645
ACH-000037,-0.46004171386200005
ACH-000039,-0.969542990726
ACH-000040,-0.840690137184
ACH-000041,-1.03073001131
ACH-000042,-0.955842849471
ACH-000045,-0.94509757293
ACH-000047,-0.853068468218
ACH-000052,-0.967058526279
ACH-000053,-1.0263164085299998
ACH-000054,-0.768423838894
ACH-000055,-0.863345777506
ACH-000060,-1.23228966766
ACH-000067,-1.1388510114100001
ACH-000070,-1.23541008957
ACH-000075,-1.1073013337200002
ACH-000078,-0.843383490745
ACH-000082,-0.957187013164
ACH-000085,-0.9974199744140001
ACH-000086,-1.0584731481799998
ACH-000087,-0.657376163146
ACH-000092,-1.04806288235
ACH-000095,-1.00439215068
ACH-000097,-1.21028666583
ACH-000098,-1.29545336814
ACH-000099,-0.841434271805
ACH-000108,-1.17723021817
ACH-000113,-0.954295586964
ACH-000115,-1.3046632524500001
ACH-000116,-0.894639850572
ACH-000118,-1.05896031299
ACH-000120,-0.796072290355
ACH-000123,-0.90673689864
ACH-000127,-0.965530965749
ACH-000128,-1.0879214726000002
ACH-000132,-1.10242406116
ACH-000133,-1.13988741084
ACH-000137,-1.17463330487
ACH-000138,-0.9721009898720001
ACH-000142,-1.05838011835
ACH-000143,-0.786574501954
ACH-000146,-1.21362944717
ACH-000148,-0.8008674884199999
ACH-000150,-0.9652591802889999
ACH-000152,-1.28573121209
ACH-000153,-1.09033721922
ACH-000159,-0.7116156552330001
ACH-000160,-1.21253518485
ACH-000163,-0.8024451669789999
ACH-000167,-1.0367081280200001
ACH-000168,-0.997124968117
ACH-000169,-1.0947337552299998
ACH-000178,-0.99033959812
ACH-000182,-1.11689810324
ACH-000183,-1.08045633399
ACH-000188,-1.12287652997
ACH-000189,-0.67190700362
ACH-000190,-1.16507245791
ACH-000198,-0.9031228898710001
ACH-000204,-1.42727509706
ACH-000206,-1.1267312337
ACH-000207,-1.00227065035
ACH-000211,-0.7992101147239999
ACH-000215,-1.00159881763
ACH-000221,-1.0118684519399999
ACH-000222,-1.04142448846
ACH-000223,-1.16202266213
ACH-000226,-1.09961334928
ACH-000227,-0.745698561724
ACH-000228,-0.8304252751090001
ACH-000231,-1.28993228061
ACH-000232,-1.1303564701200002
ACH-000233,-0.921477332572
ACH-000234,-1.17502639376
ACH-000235,-1.08311918107
ACH-000237,-0.942432737031
ACH-000238,-0.871705318345
ACH-000243,-1.0246842524200002
ACH-000244,-0.994840101893
ACH-000246,-0.811449666315
ACH-000248,-1.07000778752
ACH-000250,-1.0270344771700002
ACH-000251,-0.9747480643430001
ACH-000253,-0.9972494373549999
ACH-000255,-0.959641601323
ACH-000256,-1.03729609048
ACH-000257,-1.03207274442
ACH-000258,-1.13428878418
ACH-000259,-0.890775902704
ACH-000260,-1.18428525125
ACH-000261,-1.0694146278499999
ACH-000262,-1.07337569719
ACH-000263,-1.4802918351899998
ACH-000264,-1.15363237276
ACH-000265,-0.8678610598950001
ACH-000266,-1.05819602953
ACH-000272,-1.1157837336399998
ACH-000273,-0.924957771298
ACH-000274,-1.3669758148500002
ACH-000277,-0.9852789786630001
ACH-000278,-1.24468915066
ACH-000279,-0.9972003932200001
ACH-000280,-1.2026786679
ACH-000281,-0.989452178154
ACH-000288,-1.04527359731
ACH-000291,-0.9916008534880001
ACH-000293,-1.44260521227
ACH-000294,-1.1359781284700001
ACH-000295,-1.4043139005200003
ACH-000296,-1.3173879925299998
ACH-000302,-1.12151148494
ACH-000304,-1.1327230613500001
ACH-000307,-1.0326628233
ACH-000308,-1.21040475374
ACH-000310,-1.12483285705
ACH-000311,-1.09227192919
ACH-000312,-0.7741802895919999
ACH-000315,-0.878547132082
ACH-000316,-1.34525977881
ACH-000317,-0.70408579479
ACH-000318,-0.875917919568
ACH-000319,-0.952773233242
ACH-000320,-1.05938398185
ACH-000322,-0.975334488884
ACH-000323,-1.0993506371500001
ACH-000324,-0.745273279499
ACH-000329,-1.17145549178
ACH-000330,-1.15344952749
ACH-000331,-1.08693272822
ACH-000332,-1.18143928142
ACH-000334,-1.7661199770200002
ACH-000335,-1.05859112971
ACH-000336,-0.986089399198
ACH-000337,-0.910394450335
ACH-000339,-1.1271235806
ACH-000341,-0.941081813584
ACH-000348,-1.1800181078299998
ACH-000350,-1.5561391525200001
ACH-000352,-1.02334815612
ACH-000356,-1.35184082878
ACH-000361,-0.987168229056
ACH-000362,-1.17384916144
ACH-000363,-1.0526156774
ACH-000364,-0.959731239136
ACH-000365,-1.26932358683
ACH-000366,-0.8400756808059999
ACH-000368,-1.11690153055
ACH-000374,-0.862795329227
ACH-000375,-0.946532871054
ACH-000376,-1.00732100646
ACH-000381,-1.02538546516
ACH-000383,-1.07513025108
ACH-000387,-1.15572297527
ACH-000389,-1.01659465938
ACH-000390,-0.985213320811
ACH-000393,-1.19823085501
ACH-000395,-0.880077409618
ACH-000397,-0.946121939454
ACH-000401,-0.8931950991680001
ACH-000402,-1.0614890436700002
ACH-000403,-1.39540030263
ACH-000404,-0.5772280205870001
