,ZACN (353174)
ACH-000004,-0.207341465626
ACH-000007,-0.166738084632
ACH-000009,-0.449829045373
ACH-000011,-0.44817830900899996
ACH-000012,-0.41896468064099995
ACH-000013,-0.389326405141
ACH-000014,-0.277609923473
ACH-000015,-0.407987454894
ACH-000017,-0.31108187938000004
ACH-000018,-0.181023422744
ACH-000019,-0.256780898893
ACH-000021,-0.30670742871999995
ACH-000022,-0.531373583344
ACH-000025,-0.290131691323
ACH-000028,-0.433441290181
ACH-000030,-0.313236961536
ACH-000035,-0.514589141868
ACH-000036,-0.206029137092
ACH-000037,-0.131752552059
ACH-000039,-0.440675264495
ACH-000040,-0.570238994237
ACH-000041,-0.5270077299229999
ACH-000042,-0.48847361198
ACH-000045,-0.436852508364
ACH-000047,-0.423045650604
ACH-000052,-0.244658616694
ACH-000053,-0.364288487763
ACH-000054,-0.39616591719899996
ACH-000055,-0.51943940828
ACH-000060,-0.262956549758
ACH-000067,-0.545116297399
ACH-000070,-0.22448117308899998
ACH-000075,-0.383289466259
ACH-000078,-0.593515240704
ACH-000082,-0.33639094183300006
ACH-000085,-0.46580443918799996
ACH-000086,-0.34728954058399997
ACH-000087,-0.274792152533
ACH-000092,-0.407022977259
ACH-000095,-0.425122956926
ACH-000097,-0.481588860106
ACH-000098,-0.28276941087900004
ACH-000099,-0.45177945350000004
ACH-000108,-0.464147527837
ACH-000113,-0.318920799042
ACH-000115,-0.499368309732
ACH-000116,-0.404431509535
ACH-000118,-0.321239382307
ACH-000120,-1.01273586213
ACH-000123,-0.18361580467099997
ACH-000127,-0.431097131302
ACH-000128,-0.41200880848099997
ACH-000132,-0.257279294198
ACH-000133,-0.257903351352
ACH-000137,-0.529478038416
ACH-000138,-0.323390566382
ACH-000142,-0.548204877791
ACH-000143,-0.422943685159
ACH-000146,-0.223247940947
ACH-000148,-0.442454640368
ACH-000150,-0.658676578775
ACH-000152,-0.466003834107
ACH-000153,-0.29322696513
ACH-000159,-0.42276369093500005
ACH-000160,-0.286983064474
ACH-000163,-0.23988869099500001
ACH-000167,-0.329533882103
ACH-000168,-0.27826075105500003
ACH-000169,-0.359745977613
ACH-000178,-0.43980861856200004
ACH-000182,-0.272158513033
ACH-000183,-0.437946943024
ACH-000188,-0.369593820589
ACH-000189,-0.662851920185
ACH-000190,-0.269801559917
ACH-000198,-0.42935900812100003
ACH-000204,-0.237710906433
ACH-000206,-0.313605412722
ACH-000207,-0.598652236552
ACH-000211,-0.45991199430299995
ACH-000215,-0.49450560444799996
ACH-000221,-0.502392252848
ACH-000222,-0.32962671027
ACH-000223,-0.218581283753
ACH-000226,-0.294168745661
ACH-000227,-0.39496829028499997
ACH-000228,-0.425140797367
ACH-000231,-0.456139441697
ACH-000232,-0.251154764716
ACH-000233,-0.28556964629000003
ACH-000234,-0.360134360644
ACH-000235,-0.359037579845
ACH-000237,-0.37801557514899997
ACH-000238,-0.293648000018
ACH-000243,-0.419182167181
ACH-000244,-0.258257957724
ACH-000246,-0.358597079221
