,HSBP1L1 (440498)
ACH-000004,0.277925822291
ACH-000007,0.114168403027
ACH-000009,0.0929613470151
ACH-000011,0.12931526087300002
ACH-000012,0.110866624628
ACH-000013,0.21539586700399999
ACH-000014,0.613502481596
ACH-000015,0.390287785145
ACH-000017,0.00358080613067
ACH-000018,0.132607411034
ACH-000019,0.0736645956228
ACH-000021,0.2501843579
ACH-000022,0.175186832819
ACH-000025,0.20830511500799997
ACH-000028,0.107878617509
ACH-000030,0.12542406148
ACH-000035,0.22838715225900003
ACH-000036,0.0343408841217
ACH-000037,0.041699019299199995
ACH-000039,0.128074476886
ACH-000040,0.004443647347100001
ACH-000041,0.199456812889
ACH-000042,0.175414448254
ACH-000045,-0.0186562682906
ACH-000047,0.163759084945
ACH-000052,0.23916799286999996
ACH-000053,0.1250375022
ACH-000054,0.146768929242
ACH-000055,0.317093714116
ACH-000060,0.04149867281130001
ACH-000067,-0.0242136008195
ACH-000070,0.173120003105
ACH-000075,0.0773210371232
ACH-000078,0.019920323588
ACH-000082,0.226358920296
ACH-000085,0.178356254621
ACH-000086,0.161862024278
ACH-000087,0.232674138955
ACH-000092,0.191927343353
ACH-000095,-0.031543334865
ACH-000097,0.260360446203
ACH-000098,0.0873311300753
ACH-000099,0.06365146659530001
ACH-000108,0.17713547446199998
ACH-000113,0.286351526209
ACH-000115,-0.08503119747570001
ACH-000116,0.0766844527703
ACH-000118,0.231812109211
ACH-000120,0.282045204182
ACH-000123,0.08375615925589999
ACH-000127,0.281701590014
ACH-000128,0.109886667994
ACH-000132,-0.0405556185948
ACH-000133,0.35375512406900006
ACH-000137,0.33454196432100003
ACH-000138,0.37363626266000005
ACH-000142,0.114247446577
ACH-000143,0.39497440309799997
ACH-000146,0.251293222779
ACH-000148,0.333565621301
ACH-000150,0.2807869962
ACH-000152,0.232036440649
ACH-000153,0.278377813972
ACH-000159,0.0697782974824
ACH-000160,0.149434863335
ACH-000163,0.334421112328
ACH-000167,0.0460948997884
ACH-000168,0.32270408028700004
ACH-000169,0.272863448825
ACH-000178,0.126085697739
ACH-000182,0.164955254698
ACH-000183,0.118264910492
ACH-000188,0.40430273619199997
ACH-000189,0.62834418256
ACH-000190,0.279100802599
ACH-000198,0.053465115788
ACH-000204,0.0644073248546
ACH-000206,0.336382088838
ACH-000207,0.324351059391
ACH-000211,0.0658298102319
ACH-000215,0.07221832424380001
ACH-000221,0.14455601387
ACH-000222,0.599052332755
ACH-000223,-0.0512651089332
ACH-000226,-0.100760264056
ACH-000227,0.377465493822
ACH-000228,-0.134579502511
ACH-000231,0.271907378681
ACH-000232,0.037673267996199994
ACH-000233,-0.0381938635958
ACH-000234,0.0821782280272
ACH-000235,0.304023508097
ACH-000237,0.30794345521600003
ACH-000238,0.0552060881785
ACH-000243,0.263332923632
ACH-000244,0.061899618663
ACH-000246,0.0971663023144
ACH-000248,-0.144049687328
ACH-000250,0.181450590488
ACH-000251,0.177873583747
ACH-000253,0.048757923966
ACH-000255,0.20478241633000002
ACH-000256,0.169071491752
ACH-000257,0.161355421177
ACH-000258,0.11489280196799999
ACH-000259,0.38742224656700003
ACH-000260,0.00231010837985
ACH-000261,0.201161556212
ACH-000262,0.126494445
ACH-000263,0.10780667252800001
ACH-000264,0.139395468911
ACH-000265,0.24038332988299999
ACH-000266,0.17872212661400003
ACH-000272,0.23355313123500002
ACH-000273,0.220372043431
ACH-000274,0.088692836541
ACH-000277,-0.0072812927712500005
ACH-000278,0.0893286831463
ACH-000279,0.296517355735
ACH-000280,0.10263615611400001
ACH-000281,-0.00108491043523
ACH-000288,0.365678070299
ACH-000291,0.277159604103
ACH-000293,-0.0316910216138
ACH-000294,0.194170190139
ACH-000295,-0.0270740568128
ACH-000296,0.151714713054
ACH-000302,0.0447787916906
ACH-000304,-0.082603499378
ACH-000307,0.140477976578
ACH-000308,0.190588299626
ACH-000310,0.139477948645
ACH-000311,0.337897396401
ACH-000312,0.201249572027
ACH-000315,0.23271611905200001
ACH-000316,-0.09820859014010001
ACH-000317,0.103394176979
ACH-000318,-0.0499148327442
ACH-000319,0.21550396813099998
ACH-000320,0.7706712670300001
ACH-000322,0.206325562595
ACH-000323,0.504665017396
ACH-000324,0.18853240859
ACH-000329,0.227607240427
ACH-000330,0.00549957996299
ACH-000331,0.119423512804
ACH-000332,0.179050924329
ACH-000334,0.138864185253
ACH-000335,0.150162383273
ACH-000336,0.0034274983953
ACH-000337,-0.0528007691415
ACH-000339,0.17238013688999998
ACH-000341,0.0779798277019
ACH-000348,0.333400873728
ACH-000350,0.0686129258494
ACH-000352,0.0514634524486
ACH-000356,0.010265330340600001
ACH-000361,0.0785231824883
ACH-000362,0.186750497938
ACH-000363,0.258321011862
ACH-000364,0.00520641166906
ACH-000365,0.233874206936
ACH-000366,0.197017820768
ACH-000368,0.17363173939100002
ACH-000374,0.268421569597
ACH-000375,0.0732012438644
ACH-000376,0.079083922074
ACH-000381,0.261251200712
ACH-000383,0.19053596335499998
ACH-000387,-0.0228940338132
ACH-000389,0.271009244401
ACH-000390,0.23023787261
