,BANP (54971)
ACH-000004,-0.7428568434399999
ACH-000007,-0.715219418205
ACH-000009,-0.682992592116
ACH-000011,-0.9931983508159999
ACH-000012,-0.9150463315180001
ACH-000013,-0.9946428068880001
ACH-000014,-0.549379262558
ACH-000015,-0.8073503649179999
ACH-000017,-1.17841174293
ACH-000018,-1.26672741285
ACH-000019,-0.992910873971
ACH-000021,-1.11380441896
ACH-000022,-0.8396798746349999
ACH-000025,-0.9152637849140001
ACH-000028,-0.748672987458
ACH-000030,-0.9090969718459999
ACH-000035,-1.08088134127
ACH-000036,-0.899371133458
ACH-000037,-0.13620263994
ACH-000039,-0.982095702385
ACH-000040,-1.03036749202
ACH-000041,-0.966118762702
ACH-000042,-0.934308710579
ACH-000045,-1.21919897525
ACH-000047,-0.890488477395
ACH-000052,-1.0558760884
ACH-000053,-0.85235937127
ACH-000054,-0.920646346751
ACH-000055,-0.607152200411
ACH-000060,-0.856708436704
ACH-000067,-0.801503560555
ACH-000070,-0.936907349096
ACH-000075,-1.01289137734
ACH-000078,-0.9327977638600001
ACH-000082,-1.08426317684
ACH-000085,-1.0808654418799999
ACH-000086,-0.997980504225
ACH-000087,-1.0166630735100002
ACH-000092,-1.0866959359700001
ACH-000095,-0.761632738771
ACH-000097,-0.906951844038
ACH-000098,-1.11648167903
ACH-000099,-0.916560309815
ACH-000108,-0.905268419885
ACH-000113,-1.13532065427
ACH-000115,-1.89615682088
ACH-000116,-0.920037825878
ACH-000118,-0.862414942085
ACH-000120,-1.1029416116
ACH-000123,-0.989975600459
ACH-000127,-0.997889998077
ACH-000128,-0.8566637535670001
ACH-000132,-1.07898040911
ACH-000133,-1.0367329027299999
ACH-000137,-0.744048827577
ACH-000138,-0.931246293933
ACH-000142,-0.9326885223729999
ACH-000143,-0.768053582548
ACH-000146,-0.771617378854
ACH-000148,-0.9717336641490001
ACH-000150,-0.69575552137
ACH-000152,-0.8420443483319999
ACH-000153,-0.794739643249
ACH-000159,-0.988304818318
ACH-000160,-0.641320842676
ACH-000163,-1.0167806401200001
ACH-000167,-0.926890324197
ACH-000168,-0.8703735333920001
ACH-000169,-1.0355781978
ACH-000178,-0.7070441555589999
ACH-000182,-0.967570002261
ACH-000183,-0.755840758398
ACH-000188,-1.0252740310200001
ACH-000189,-0.598216943241
ACH-000190,-0.571313907988
ACH-000198,-0.9437991724950001
ACH-000204,-0.7572676907629999
ACH-000206,-0.926025789605
ACH-000207,-0.8542196450499999
ACH-000211,-1.1114204975
ACH-000215,-1.08282012827
ACH-000221,-1.04710272437
ACH-000222,-0.995118347974
ACH-000223,-0.862096130226
ACH-000226,-0.787323037867
ACH-000227,-0.9030006775399999
ACH-000228,-0.762557434346
ACH-000231,-0.984670823569
ACH-000232,-0.857018604483
ACH-000233,-1.05405714934
ACH-000234,-1.07988116502
ACH-000235,-0.894271435652
ACH-000237,-1.0889549078299998
ACH-000238,-0.586762720618
ACH-000243,-0.8728781216600001
ACH-000244,-0.844245286902
ACH-000246,-0.6969635654970001
ACH-000248,-1.5244234188499999
ACH-000250,-0.977569046426
ACH-000251,-0.539398496812
ACH-000253,-0.93916842731
ACH-000255,-0.744704279893
ACH-000256,-0.7393837376729999
ACH-000257,-1.1340870689799998
ACH-000258,-0.929607418537
ACH-000259,-0.9611526914749999
ACH-000260,-1.21636848665
ACH-000261,-1.02537581069
ACH-000262,-0.9634170695700001
ACH-000263,-1.00695064438
ACH-000264,-1.23670530126
ACH-000265,-0.821481026213
ACH-000266,-1.2625248854100002
ACH-000272,-0.8587210331309999
ACH-000273,-0.944932388927
ACH-000274,-1.1567285679600001
ACH-000277,-0.8182810033939999
ACH-000278,-0.877083641845
ACH-000279,-1.11687693515
ACH-000280,-0.914000355882
ACH-000281,-1.20704682579
ACH-000288,-1.16857389301
ACH-000291,-1.0193633287000001
ACH-000293,-0.883354149797
ACH-000294,-0.8954703528650001
ACH-000295,-1.24873622776
ACH-000296,-0.97924599924
ACH-000302,-0.964203138964
ACH-000304,-0.958913821622
ACH-000307,-0.824726301017
ACH-000308,-0.9222073602509999
ACH-000310,-1.29636854939
ACH-000311,-1.02615854529
ACH-000312,-1.0882952875299998
ACH-000315,-0.8526131634899999
ACH-000316,-1.2974415296700001
ACH-000317,-0.718136884531
ACH-000318,-0.669868019408
ACH-000319,-0.937363231293
ACH-000320,-1.11736501542
ACH-000322,-1.26686551871
ACH-000323,-0.861536082393
ACH-000324,-0.957885163429
ACH-000329,-0.9494940088160001
ACH-000330,-1.30717355656
ACH-000331,-0.8193141365600001
ACH-000332,-0.9538621631219999
ACH-000334,-0.500902894351
ACH-000335,-0.991764388019
