,ADAT2 (134637)
ACH-000004,-0.904564842459
ACH-000007,-0.9064862760719999
ACH-000009,-0.8718064292000001
ACH-000011,-1.0182216177299999
ACH-000012,-1.11428174519
ACH-000013,-0.904055075456
ACH-000014,-0.996288878275
ACH-000015,-0.777830649686
ACH-000017,-0.166483299987
ACH-000018,-1.15648801386
ACH-000019,-0.540182509271
ACH-000021,-0.524876790662
ACH-000022,-0.56702650263
ACH-000025,-0.9936457988959999
ACH-000028,-0.5235317801380001
ACH-000030,-1.2469025710400001
ACH-000035,-0.861842597569
ACH-000036,-0.833045446687
ACH-000037,-0.8239278186200001
ACH-000039,-0.889830755406
ACH-000040,-0.666473251769
ACH-000041,-0.863152523473
ACH-000042,-0.931101139823
ACH-000045,-0.7269823211669999
ACH-000047,-0.7064183851620001
ACH-000052,-0.9020077592810001
ACH-000053,-0.625977099526
ACH-000054,-0.5610254298349999
ACH-000055,-1.00993458139
ACH-000060,-1.00205915902
ACH-000067,-0.69641737287
ACH-000070,-0.781373848377
ACH-000075,-0.6913867224770001
ACH-000078,-0.47156588496699997
ACH-000082,-0.610075799336
ACH-000085,-1.02821157827
ACH-000086,-0.906798951009
ACH-000087,-0.6825172191590001
ACH-000092,-0.556611377677
ACH-000095,-0.428237118459
ACH-000097,-0.465877383764
ACH-000098,-1.1640972105
ACH-000099,-0.854910155651
ACH-000108,-0.673687942953
ACH-000113,-0.715101151654
ACH-000115,-0.699742923025
ACH-000116,-0.936215101079
ACH-000118,-0.770352478951
ACH-000120,-0.7916426868529999
ACH-000123,-0.652235173658
ACH-000127,-0.7330046739049999
ACH-000128,-0.863958164692
ACH-000132,-0.735248333346
ACH-000133,-0.539953942035
ACH-000137,-0.859561136049
ACH-000138,-0.894985838888
ACH-000142,-1.0998242097
ACH-000143,-0.708387790977
ACH-000146,-0.43096057626100004
ACH-000148,-0.663845361227
ACH-000150,-0.845750392122
ACH-000152,-0.390350503923
ACH-000153,-1.14810803569
ACH-000159,-0.660815059021
ACH-000160,-0.35175450499
ACH-000163,-0.808052832624
ACH-000167,-1.3505088556799998
ACH-000168,-0.616951519842
ACH-000169,-0.836082759428
ACH-000178,-1.0024330583299998
ACH-000182,-0.562219905747
ACH-000183,-0.924718974015
ACH-000188,-1.1054181204
ACH-000189,-0.945169955062
ACH-000190,-1.04840949771
ACH-000198,-0.550736983933
ACH-000204,-0.587927554911
ACH-000206,-0.6711634261020001
ACH-000207,-1.03302857461
ACH-000211,-0.810653848293
ACH-000215,-1.0326917461799998
ACH-000221,-0.691876082994
ACH-000222,-0.627446606429
ACH-000223,-0.533470526478
ACH-000226,-0.6770144892300001
ACH-000227,-0.95080635848
ACH-000228,-0.375123299731
ACH-000231,-0.876881886255
ACH-000232,-0.9026218746960001
ACH-000233,-0.673025334205
ACH-000234,-0.748110211358
ACH-000235,-0.640436640528
ACH-000237,-0.609184140972
ACH-000238,-0.935680539119
ACH-000243,-0.938760821434
ACH-000244,-0.53878199203
ACH-000246,-0.670109013889
ACH-000248,-0.574891380896
ACH-000250,-0.942726287957
ACH-000251,-1.3379267971
ACH-000253,-0.6625818736729999
ACH-000255,-1.1018211472700001
ACH-000256,-0.682562154842
ACH-000257,-0.539678622711
ACH-000258,-0.5993305268379999
ACH-000259,-0.640499862034
ACH-000260,-1.0923408749299999
ACH-000261,-0.883908440489
ACH-000262,-0.6003954176690001
ACH-000263,-0.674069170764
ACH-000264,-0.697399083483
ACH-000265,-0.628118136331
ACH-000266,-0.342265610003
ACH-000272,-0.557985509978
ACH-000273,-1.10635970378
ACH-000274,-0.513194273213
ACH-000277,-0.518734695081
ACH-000278,-0.705614046215
ACH-000279,-1.09722718911
ACH-000280,-1.08894881089
ACH-000281,-1.10827363872
ACH-000288,-0.8552154730930001
ACH-000291,-0.99360239354
ACH-000293,-0.54820670604
ACH-000294,-1.0806190377200002
ACH-000295,-0.615370293433
ACH-000296,-0.793398070514
ACH-000302,-0.286447168746
ACH-000304,-0.6346946523920001
ACH-000307,-0.997752297639
ACH-000308,-0.748903037775
ACH-000310,-0.474868793143
ACH-000311,-0.632171995196
ACH-000312,-0.548087489533
ACH-000315,-0.872630139095
ACH-000316,-1.39127062618
ACH-000317,-1.23519231025
ACH-000318,-0.983820630179
ACH-000319,-0.407571899957
ACH-000320,-0.701832146058
ACH-000322,-0.82287219985
ACH-000323,-0.736524428491
ACH-000324,-0.842781501257
ACH-000329,-0.507969968774
ACH-000330,-0.876407051885
ACH-000331,-0.989185658662
ACH-000332,-0.960013833096
ACH-000334,-0.563338975891
ACH-000335,-0.839758042179
ACH-000336,-0.5094858449549999
ACH-000337,-0.654537434243
ACH-000339,-0.8598092774959999
ACH-000341,-0.659578496235
ACH-000348,-0.9539037909200001
ACH-000350,-0.726208264959
ACH-000352,-0.37819495276799997
ACH-000356,-0.907448225097
ACH-000361,-0.526119442445
ACH-000362,-0.4238285089
ACH-000363,-0.172675149392
ACH-000364,-0.528925633474
ACH-000365,-0.556738347649
ACH-000366,-0.917169866072
ACH-000368,-1.12892893015
ACH-000374,-0.665997761788
ACH-000375,-0.863204430717
ACH-000376,-0.892543565585
ACH-000381,-0.732595967005
ACH-000383,-0.437689200208
ACH-000387,-0.637314469959
ACH-000389,-1.3317963314799999
ACH-000390,-0.664360543656
ACH-000393,-0.658873530499
ACH-000395,-0.955953745357
ACH-000397,-0.6387821840160001
ACH-000401,-0.319572385671
ACH-000402,-1.0210020111
ACH-000403,-0.268512484222
ACH-000404,-1.10619863651
ACH-000406,-0.7356847080969999
