,OR5AU1 (390445)
ACH-000004,-0.205309586829
ACH-000007,-0.0440642683247
ACH-000009,-0.35752352212800004
ACH-000011,-0.34028333536100003
ACH-000012,-0.139981914582
ACH-000013,-0.0107717706299
ACH-000014,-0.200951034846
ACH-000015,-0.0156476844124
ACH-000017,-0.34744134894699996
ACH-000018,-0.16625617615399998
ACH-000019,-0.032397919662
ACH-000021,-0.16731277641
ACH-000022,-0.11312455885099999
ACH-000025,-0.0509076553086
ACH-000028,0.00797488298218
ACH-000030,-0.243642986765
ACH-000035,-0.21090596592900002
ACH-000036,-0.154503636686
ACH-000037,-0.167227832124
ACH-000039,-0.125378903038
ACH-000040,-0.0420950761516
ACH-000041,-0.05854500315740001
ACH-000042,-0.159649519878
ACH-000045,-0.134648725144
ACH-000047,-0.26708441903499996
ACH-000052,-0.166631001832
ACH-000053,-0.386811707399
ACH-000054,-0.15812616979
ACH-000055,0.00561412446183
ACH-000060,-0.20476898975900001
ACH-000067,-0.125701451873
ACH-000070,-0.0397001985301
ACH-000075,0.0911315725233
ACH-000078,-0.08632041993110001
ACH-000082,-0.0653395134396
ACH-000085,-0.329280553246
ACH-000086,-0.0705457307257
ACH-000087,0.192494432385
ACH-000092,-0.23372598061099997
ACH-000095,-0.397373751048
ACH-000097,-0.28502901167800004
ACH-000098,-0.246245039196
ACH-000099,0.0245575910892
ACH-000108,-0.19293985775800002
ACH-000113,-0.285920229692
ACH-000115,-0.41937640878
ACH-000116,-0.109243612448
ACH-000118,-0.321952274296
ACH-000120,-0.102785248204
ACH-000123,-0.284139142681
ACH-000127,-0.148329351059
ACH-000128,0.119828015124
ACH-000132,0.006992897512770001
ACH-000133,-0.0828003570022
ACH-000137,-0.223900351327
ACH-000138,-0.132613461757
ACH-000142,-0.156010723331
ACH-000143,0.0318350702224
ACH-000146,-0.252172227158
ACH-000148,-0.26457375659000004
ACH-000150,0.17592973477
ACH-000152,-0.104727949385
ACH-000153,-0.155505462018
ACH-000159,-0.159656873441
ACH-000160,-0.43602801398
ACH-000163,-0.193928676093
ACH-000167,-0.5305805908919999
ACH-000168,-0.04878062808999999
ACH-000169,-0.15762253089199998
ACH-000178,-0.10370328340099999
ACH-000182,-0.0559481434792
ACH-000183,-0.317463306787
ACH-000188,-0.116224818314
ACH-000189,-0.288752027255
ACH-000190,-0.04205064169390001
ACH-000198,-0.205911081492
ACH-000204,-0.13670620953600002
ACH-000206,-0.380570692167
ACH-000207,-0.208709125356
ACH-000211,-0.18465465663699998
ACH-000215,-0.174738796225
ACH-000221,-0.274306554767
ACH-000222,-0.48053293307899997
ACH-000223,-0.0579012676886
ACH-000226,-0.308980569859
ACH-000227,-0.0268886626134
ACH-000228,-0.494013448561
ACH-000231,-0.163589119664
ACH-000232,-0.17684583948199997
ACH-000233,-0.20241913404800002
ACH-000234,-0.0825625780682
ACH-000235,-0.142967818991
ACH-000237,0.07540891919439999
ACH-000238,-0.110194954653
ACH-000243,-0.25463749437399996
ACH-000244,0.165184879859
ACH-000246,-0.241173904377
ACH-000248,-0.201341310874
ACH-000250,-0.197645871484
ACH-000251,0.22456315235899998
ACH-000253,-0.0276309192656
ACH-000255,0.0241568578456
ACH-000256,-0.28210579292599997
ACH-000257,-0.43379113173999995
ACH-000258,-0.15925098833100002
ACH-000259,-0.131535013384
ACH-000260,-0.229975195458
ACH-000261,-0.210311546226
ACH-000262,-0.098398130064
ACH-000263,-0.20234145890500002
ACH-000264,-0.20882427563
ACH-000265,-0.266823545881
ACH-000266,-0.0736523986399
ACH-000272,-0.16884203887899998
ACH-000273,-0.00129478373212
ACH-000274,-0.134948146173
ACH-000277,0.0048487687340400005
ACH-000278,-0.20778278125900002
ACH-000279,-0.052271663771900005
ACH-000280,-0.232455542205
ACH-000281,0.040585729935900004
ACH-000288,-0.24479778176300002
ACH-000291,-0.049066153128500004
ACH-000293,-0.162306011901
ACH-000294,-0.45048078886299997
