,RPH3A (22895)
ACH-000004,-0.266750651901
ACH-000007,-0.10853691420499999
ACH-000009,-0.325468941305
ACH-000011,0.05758099631849999
ACH-000012,-0.124008458662
ACH-000013,-0.18264098341899998
ACH-000014,-0.23507839183
ACH-000015,-0.0887907418287
ACH-000017,-0.157078461029
ACH-000018,-0.413790239155
ACH-000019,-0.283855231618
ACH-000021,-0.333673455974
ACH-000022,-0.12302965134600001
ACH-000025,-0.245599619989
ACH-000028,-0.0567076533584
ACH-000030,-0.105287936873
ACH-000035,-0.112479722203
ACH-000036,-0.11048324924200001
ACH-000037,-0.16147667529999998
ACH-000039,-0.299435909342
ACH-000040,-0.22643998009
ACH-000041,-0.36614593760700004
ACH-000042,-0.198357984694
ACH-000045,-0.10467110902999999
ACH-000047,-0.109698963269
ACH-000052,-0.152909106597
ACH-000053,-0.194850032044
ACH-000054,-0.12332201812000002
ACH-000055,0.0660664232613
ACH-000060,0.006056556807510001
ACH-000067,-0.179476520968
ACH-000070,-0.279841929404
ACH-000075,-0.09754392313549999
ACH-000078,-0.152581900634
ACH-000082,-0.114395117105
ACH-000085,-0.0917044958364
ACH-000086,-0.138568973471
ACH-000087,-0.39653570846600006
ACH-000092,-0.132913568876
ACH-000095,-0.0394984832674
ACH-000097,-0.123807118008
ACH-000098,-0.0456863604073
ACH-000099,-0.0958978182807
ACH-000108,-0.265261759058
ACH-000113,-0.0132626602409
ACH-000115,-0.262452717091
ACH-000116,-0.0580668238447
ACH-000118,-0.28168421326299997
ACH-000120,-0.134871599779
ACH-000123,-0.240410672766
ACH-000127,-0.0341207846276
ACH-000128,-0.147523110744
ACH-000132,-0.122004751006
ACH-000133,-0.20625378525600002
ACH-000137,-0.157022331883
ACH-000138,-0.107801415781
ACH-000142,-0.19168980074
ACH-000143,-0.0887952214067
ACH-000146,-0.184307257018
ACH-000148,-0.0586278576393
ACH-000150,-0.05273458599999999
ACH-000152,-0.287710913462
ACH-000153,-0.00620645605993
ACH-000159,-0.145048436873
ACH-000160,-0.184250715187
ACH-000163,-0.0899487283096
ACH-000167,-0.128155740974
ACH-000168,0.0977513582075
ACH-000169,-0.204551808253
ACH-000178,-0.145404392412
ACH-000182,-0.022531071702900002
ACH-000183,-0.101150110711
ACH-000188,-0.012571477462700001
ACH-000189,0.120526205262
ACH-000190,-0.37332304632700003
ACH-000198,-0.142501381822
ACH-000204,0.0825781594391
ACH-000206,-0.21209542636
ACH-000207,-0.055548299282
ACH-000211,-0.11038608773499999
ACH-000215,-0.171833680288
ACH-000221,-0.0918842406346
ACH-000222,-0.18455523266899998
ACH-000223,-0.121325347251
ACH-000226,-0.159533291358
ACH-000227,-0.368793210453
ACH-000228,-0.0612863358023
ACH-000231,-0.24814109646899998
ACH-000232,-0.213759908094
ACH-000233,-0.197184060935
ACH-000234,0.0666529372597
ACH-000235,-0.171918007755
ACH-000237,-0.308552685913
ACH-000238,-0.276735784223
ACH-000243,-0.125792984861
ACH-000244,-0.305398823547
ACH-000246,-0.129248618218
ACH-000248,-0.13148244567
ACH-000250,-0.179257655623
ACH-000251,-0.324523930984
ACH-000253,-0.19948161547600002
ACH-000255,0.0581631236821
ACH-000256,-0.06765640287359999
ACH-000257,-0.156883555662
ACH-000258,-0.0321757563697
ACH-000259,-0.23524361377300002
ACH-000260,-0.125435550507
ACH-000261,-0.0317932361922
ACH-000262,0.130277072084
ACH-000263,-0.393350137074
ACH-000264,-0.163371633072
ACH-000265,-0.041528877136900004
ACH-000266,-0.221466294824
ACH-000272,-0.231078454622
ACH-000273,-0.167167792129
ACH-000274,-0.199581940185
ACH-000277,-0.130527949295
ACH-000278,-0.344084032271
ACH-000279,-0.155294928416
ACH-000280,-0.0864667654851
ACH-000281,-0.352796557271
ACH-000288,-0.155182260357
ACH-000291,-0.20834171255800002
ACH-000293,-0.17269408866500002
ACH-000294,-0.230458327553
ACH-000295,-0.160038963191
ACH-000296,-0.0330635325654
ACH-000302,-0.160098472693
ACH-000304,-0.126364558344
ACH-000307,-0.0632819391945
ACH-000308,-0.0916034489658
ACH-000310,-0.281124584329
ACH-000311,-0.19273727939899998
ACH-000312,-0.127233642054
ACH-000315,-0.13110100089
ACH-000316,-0.19298950106899998
ACH-000317,-0.0798549716597
ACH-000318,-0.0300767963137
ACH-000319,-0.0162612188713
ACH-000320,-0.222314674293
ACH-000322,-0.119420399805
ACH-000323,-0.165068589035
ACH-000324,-0.200100417883
ACH-000329,-0.316548485637
ACH-000330,-0.240741364133
ACH-000331,-0.299993779261
ACH-000332,-0.17877007854000002
ACH-000334,-0.13848015033
ACH-000335,-0.0858358379711
ACH-000336,-0.0991585584639
ACH-000337,-0.255437500517
ACH-000339,-0.152827755657
ACH-000341,-0.107796869606
ACH-000348,-0.320479370672
ACH-000350,-0.034782810242199994
ACH-000352,-0.14237774186899999
ACH-000356,-0.0583122331279
ACH-000361,-0.10719009943
ACH-000362,-0.06851943493290001
ACH-000363,-0.252312373655
ACH-000364,-0.142297394356
ACH-000365,-0.240794165885
ACH-000366,-0.0627195968221
ACH-000368,-0.29044679405699997
ACH-000374,-0.29823576064199997
ACH-000375,0.0337805265895
ACH-000376,-0.19144405954
ACH-000381,-0.197865400784
ACH-000383,-0.19346144916900002
ACH-000387,-0.17838601975
ACH-000389,-0.0476435746997
ACH-000390,-0.0583625151319
ACH-000393,-0.0282001273048
ACH-000395,-0.138439685698
ACH-000397,-0.0812936929429
ACH-000401,-0.18852367211100002
ACH-000402,-0.380443697789
ACH-000403,-0.217608525257
ACH-000404,-0.243843592932
ACH-000406,-0.0441059364139
ACH-000407,-0.030098184309799998
ACH-000408,-0.040084437499
ACH-000410,-0.36815927083000005
ACH-000411,-0.09879036057460001
ACH-000414,-0.266528046394
ACH-000415,-0.104989259477
ACH-000416,-0.261243713431
ACH-000420,-0.00456290696718
ACH-000421,-0.21376600238899998
ACH-000424,-0.379806347935
ACH-000425,-0.198513280789
