,TPM3 (7170)
ACH-000004,-0.144977749696
ACH-000007,-0.350740881148
ACH-000009,-0.351740707228
ACH-000011,-0.12454024943900001
ACH-000012,-0.46844718359399995
ACH-000013,-0.32081643007399996
ACH-000014,-0.47489376763499996
ACH-000015,-0.26926982578
ACH-000017,-0.326612691134
ACH-000018,-0.27997820794100003
ACH-000019,-0.113279882693
ACH-000021,-0.370918844207
ACH-000022,-0.24263008239300002
ACH-000025,-0.33635973350599996
ACH-000028,-0.292577338783
ACH-000030,-0.059133600646099994
ACH-000035,-0.288235926397
ACH-000036,-0.305225816679
ACH-000037,-0.016455558682
ACH-000039,-0.386795926996
ACH-000040,-0.270755879267
ACH-000041,-0.326483466218
ACH-000042,-0.19240439692400002
ACH-000045,-0.233102492052
ACH-000047,-0.257002266902
ACH-000052,-0.250655676926
ACH-000053,-0.234637841
ACH-000054,-0.198494651576
ACH-000055,-0.205376827924
ACH-000060,-0.139595951255
ACH-000067,-0.236707384418
ACH-000070,-0.404301058875
ACH-000075,-0.163112519191
ACH-000078,-0.443629552278
ACH-000082,-0.09248957929940001
ACH-000085,-0.157690124376
ACH-000086,-0.361051110907
ACH-000087,-0.0183305125823
ACH-000092,-0.22628333715399998
ACH-000095,-0.181090485084
ACH-000097,-0.290844492811
ACH-000098,-0.281139467446
ACH-000099,-0.23808835364199998
ACH-000108,-0.46367554109700004
ACH-000113,-0.537748356443
ACH-000115,-0.533353676458
ACH-000116,-0.197215190865
ACH-000118,-0.199136746925
ACH-000120,-0.44240735378
ACH-000123,-0.294198103911
ACH-000127,-0.39810446869499994
ACH-000128,-0.231067421165
ACH-000132,-0.40248319585299996
ACH-000133,-0.38320009785899994
ACH-000137,-0.123529018746
ACH-000138,-0.256611267251
ACH-000142,-0.389942741575
ACH-000143,-0.359598154458
ACH-000146,-0.301912578517
ACH-000148,-0.258323642661
ACH-000150,-0.29196506563499997
ACH-000152,-0.35310042680200004
ACH-000153,-0.748373091269
ACH-000159,-0.136081524202
ACH-000160,-0.268430424297
ACH-000163,-0.208431351077
ACH-000167,-0.378569495957
ACH-000168,-0.172577564331
ACH-000169,0.019942135395
ACH-000178,-0.273012891781
ACH-000182,0.133082271096
ACH-000183,-0.1929973771
ACH-000188,-0.39757631196000004
ACH-000189,-0.139050600454
ACH-000190,-0.173454191436
ACH-000198,-0.276326622989
ACH-000204,-0.478738013867
ACH-000206,-0.116132764884
ACH-000207,-0.112216074781
ACH-000211,0.00788277237579
ACH-000215,-0.329081979875
ACH-000221,-0.181225225982
ACH-000222,-0.264994594762
ACH-000223,-0.22331023411999998
ACH-000226,-0.38420662907200004
ACH-000227,-0.26876792003100003
ACH-000228,-0.22650399410900002
ACH-000231,-0.274599538332
ACH-000232,-0.33786991452
ACH-000233,-0.30172103013
ACH-000234,-0.36193098728399997
ACH-000235,-0.439129929064
ACH-000237,-0.36492174227799995
ACH-000238,-0.244797281442
ACH-000243,-0.20980849147300001
ACH-000244,-0.321369838426
ACH-000246,-0.313880841752
ACH-000248,0.0351427956075
ACH-000250,-0.262086955756
ACH-000251,-0.231440416962
ACH-000253,-0.138781342034
ACH-000255,-0.265121901008
ACH-000256,-0.239259517153
ACH-000257,0.143959466577
ACH-000258,-0.120376256824
ACH-000259,-0.296653637277
ACH-000260,-0.259752051252
ACH-000261,-0.158914341512
ACH-000262,-0.43886854737
ACH-000263,-0.290346624015
ACH-000264,-0.498495807462
ACH-000265,-0.0894006387283
ACH-000266,-0.220572243316
ACH-000272,-0.21881195997900002
ACH-000273,-0.147042560688
ACH-000274,-0.12308198069199999
ACH-000277,-0.129810437932
ACH-000278,-0.46826164956200006
ACH-000279,-0.23476337746
ACH-000280,-0.36936478435599995
ACH-000281,-0.434543819306
ACH-000288,-0.27802832513500003
ACH-000291,-0.0497343402604
ACH-000293,-0.356493226196
