,FGFR1OP2 (26127)
ACH-000004,-0.127743130852
ACH-000007,-0.24530610753600002
ACH-000009,-0.392796761611
ACH-000011,-0.11679139447100001
ACH-000012,-0.259900099508
ACH-000013,-0.297941946093
ACH-000014,-0.159921948038
ACH-000015,-0.334977897353
ACH-000017,-0.438040695374
ACH-000018,-0.557667066378
ACH-000019,-0.435443076825
ACH-000021,-0.208920349415
ACH-000022,-0.294392136956
ACH-000025,-0.27188630306
ACH-000028,-0.303571526008
ACH-000030,-0.463170049302
ACH-000035,-0.537834351106
ACH-000036,-0.502177318798
ACH-000037,0.0422861102393
ACH-000039,-0.0923701986716
ACH-000040,-0.18156467396899997
ACH-000041,-0.20900033672200002
ACH-000042,-0.358385395935
ACH-000045,-0.41421322436999997
ACH-000047,-0.286548542206
ACH-000052,-0.256074616183
ACH-000053,-0.34282240498899996
ACH-000054,-0.197324158101
ACH-000055,-0.234433168644
ACH-000060,-0.602014385866
ACH-000067,-0.154219974235
ACH-000070,-0.367928095494
ACH-000075,-0.47727019501400003
ACH-000078,-0.300552489333
ACH-000082,-0.517311552106
ACH-000085,-0.372523252874
ACH-000086,-0.468867898745
ACH-000087,-0.24349941533799999
ACH-000092,-0.39003664931800003
ACH-000095,-0.21672906278499998
ACH-000097,-0.21048395957600002
ACH-000098,-0.494118255943
ACH-000099,-0.085080466061
ACH-000108,-0.530845440154
ACH-000113,-0.342630588961
ACH-000115,-0.118001776126
ACH-000116,-0.397968711716
ACH-000118,-0.322880068335
ACH-000120,-0.37407498073299994
ACH-000123,-0.36795552140199994
ACH-000127,-0.328438317769
ACH-000128,-0.496275050524
ACH-000132,-0.651700514261
ACH-000133,-0.591427029156
ACH-000137,-0.329085719793
ACH-000138,-0.555375188093
ACH-000142,-0.37242517820200005
ACH-000143,-0.315562360529
ACH-000146,-0.394311486021
ACH-000148,-0.36758270384400005
ACH-000150,-0.260875300886
ACH-000152,-0.68313007191
ACH-000153,-0.38051626291999996
ACH-000159,-0.405390024698
ACH-000160,-0.362439582801
ACH-000163,-0.425626481215
ACH-000167,-0.31512569856999995
