,HAP1 (9001)
ACH-000004,0.115457638848
ACH-000007,-0.10779887679099999
ACH-000009,-0.41406683359800006
ACH-000011,-0.440704506778
ACH-000012,-0.55872988138
ACH-000013,-0.210741667135
ACH-000014,-0.0883816936692
ACH-000015,-0.287301132197
ACH-000017,-0.601058252269
ACH-000018,-0.036422801043400004
ACH-000019,-0.43145869003
ACH-000021,-0.28577371555500003
ACH-000022,-0.297481750043
ACH-000025,-0.361820492298
ACH-000028,-0.457503645242
ACH-000030,-0.23584319637200002
ACH-000035,-0.281976454614
ACH-000036,-0.325715938031
ACH-000037,-0.0899155835813
ACH-000039,-0.31173018357500004
ACH-000040,-0.316075771475
ACH-000041,-0.204764299461
ACH-000042,-0.31137760682
ACH-000045,-0.180634324039
ACH-000047,-0.350750065206
ACH-000052,-0.24029166816999997
ACH-000053,-0.23693562027800003
ACH-000054,-0.231362251034
ACH-000055,-0.24412452447799998
ACH-000060,-0.146767041222
ACH-000067,-0.420342814208
ACH-000070,-0.422904846413
ACH-000075,-0.245665347122
ACH-000078,-0.114562141521
ACH-000082,-0.196815737938
ACH-000085,0.023050968473799997
ACH-000086,-0.278599370624
ACH-000087,0.0428908370175
ACH-000092,-0.6417004538859999
ACH-000095,-0.32993949636
ACH-000097,-0.46073450633599994
ACH-000098,-0.236444905014
ACH-000099,-0.354913779925
ACH-000108,-0.350849499674
ACH-000113,-0.20060844088500002
ACH-000115,-0.0631938336099
ACH-000116,-0.294803037729
ACH-000118,-0.31548490931699996
ACH-000120,-0.516121566013
ACH-000123,-0.263319408463
ACH-000127,-0.195759000135
ACH-000128,-0.279912481954
ACH-000132,-0.405996084485
ACH-000133,-0.311167259032
ACH-000137,-0.37225812718199996
ACH-000138,-0.742890376502
ACH-000142,-0.489494263715
ACH-000143,-0.0834106734387
ACH-000146,-0.11848457693499999
ACH-000148,-0.38807032187299995
ACH-000150,-0.250251652247
ACH-000152,-0.22592662280900003
ACH-000153,-0.279438950511
ACH-000159,-0.180397343235
ACH-000160,-0.218335977575
ACH-000163,-0.533399648233
ACH-000167,0.07994187259430001
ACH-000168,-0.19274375168400001
ACH-000169,-0.320326171021
ACH-000178,-0.0651933531225
ACH-000182,-0.33070640113899996
ACH-000183,-0.208847588792
ACH-000188,-0.221861600409
ACH-000189,-0.453056837486
ACH-000190,-0.132610718454
