,CHMP2A (27243)
ACH-000004,-1.95582555692
ACH-000007,-1.65670684144
ACH-000009,-1.27009371317
ACH-000011,-1.24584378121
ACH-000012,-1.4975881120200003
ACH-000013,-1.60724540908
ACH-000014,-1.3966187674000001
ACH-000015,-1.50208869558
ACH-000017,-1.11675887
ACH-000018,-1.29587733255
ACH-000019,-1.7694982916599997
ACH-000021,-1.2818128225
ACH-000022,-1.29951680894
ACH-000025,-1.2531679490899998
ACH-000028,-1.33076205927
ACH-000030,-1.46751815435
ACH-000035,-1.3931490429799998
ACH-000036,-1.5536837960799998
ACH-000037,-1.7102028280300001
ACH-000039,-1.57215996176
ACH-000040,-1.2844264511399999
ACH-000041,-1.57592797623
ACH-000042,-1.1195131227200001
ACH-000045,-1.5679222157600001
ACH-000047,-1.07365864431
ACH-000052,-1.34859432871
ACH-000053,-1.68236845333
ACH-000054,-1.48816283109
ACH-000055,-1.2681316848
ACH-000060,-1.41279549479
ACH-000067,-1.7430616272
ACH-000070,-1.2471745842200002
ACH-000075,-0.9894370134110001
ACH-000078,-1.86093169132
ACH-000082,-1.9408808926499999
ACH-000085,-0.876996779614
ACH-000086,-1.2010020739899998
ACH-000087,-1.22784073275
ACH-000092,-1.56987505995
ACH-000095,-1.52582955619
ACH-000097,-1.41757732909
ACH-000098,-1.27545883044
ACH-000099,-1.57628199496
ACH-000108,-1.54673148685
ACH-000113,-1.5425310923700002
ACH-000115,-1.5887544754700003
ACH-000116,-1.50992299799
ACH-000118,-1.30652699129
ACH-000120,-1.38521563514
ACH-000123,-1.40592633277
ACH-000127,-1.35232038805
ACH-000128,-1.19789018418
ACH-000132,-1.1981173945299999
ACH-000133,-1.70753666206
ACH-000137,-1.7712979962400002
ACH-000138,-1.58160134342
ACH-000142,-1.36676236657
ACH-000143,-1.15887714879
ACH-000146,-2.03490562903
ACH-000148,-1.3206730926299999
ACH-000150,-1.41887039444
ACH-000152,-1.49361658097
ACH-000153,-1.05492714381
ACH-000159,-1.3259909617899999
ACH-000160,-1.2419751917
ACH-000163,-1.58313905338
ACH-000167,-1.6278438886700002
ACH-000168,-1.3909601229
ACH-000169,-1.48211837264
ACH-000178,-1.60554087579
ACH-000182,-1.60004584494
ACH-000183,-1.5164571257799997
ACH-000188,-1.5075972363799999
ACH-000189,-1.41582305625
ACH-000190,-1.4706439556400002
ACH-000198,-1.38426101575
ACH-000204,-1.61266724826
ACH-000206,-1.05659585437
ACH-000207,-1.99867381317
ACH-000211,-1.4385012891799998
ACH-000215,-1.69496326676
ACH-000221,-1.6567751537900002
ACH-000222,-1.01926234736
ACH-000223,-1.50909636225
ACH-000226,-1.4132328437000001
ACH-000227,-1.30721328231
ACH-000228,-1.24568237076
ACH-000231,-1.3940153724700002
ACH-000232,-1.42233219613
ACH-000233,-1.79823260521
ACH-000234,-0.77887314969
ACH-000235,-1.4515777427899998
ACH-000237,-1.2708835799299998
ACH-000238,-1.57020185751
ACH-000243,-1.43489758619
ACH-000244,-1.4417843475299998
ACH-000246,-1.28604797762
ACH-000248,-1.19556328341
ACH-000250,-1.31343345423
ACH-000251,-1.41940961555
ACH-000253,-1.56582845602
ACH-000255,-1.47850215563
ACH-000256,-1.55422803515
ACH-000257,-1.0314860393
ACH-000258,-0.992703720152
ACH-000259,-1.3939451735100001
ACH-000260,-1.6914209031799998
ACH-000261,-1.30548315904
ACH-000262,-1.2819582077399998
ACH-000263,-1.4552720807799997
ACH-000264,-1.30187950081
ACH-000265,-1.33366429763
ACH-000266,-1.5924585224399999
ACH-000272,-1.37976893776
ACH-000273,-1.52013939464
ACH-000274,-1.34292577051
ACH-000277,-1.6462439278799998
ACH-000278,-1.3262808036700002
ACH-000279,-1.27938010891
ACH-000280,-1.18534633516
ACH-000281,-1.67138842377
ACH-000288,-1.3700726739500002
ACH-000291,-1.23196686919
ACH-000293,-1.7840392898400004
ACH-000294,-2.04413747875
ACH-000295,-1.4421229033200003
ACH-000296,-1.05652405418
ACH-000302,-1.63655780435
ACH-000304,-0.9977078708149999
ACH-000307,-1.2211872455
ACH-000308,-1.5169483616
ACH-000310,-1.54123658025
ACH-000311,-1.2454126195100002
ACH-000312,-1.24742903228
ACH-000315,-1.71647667314
ACH-000316,-1.13127555013
ACH-000317,-0.960661872305
ACH-000318,-1.3498586618000001
ACH-000319,-1.3926104411000002
ACH-000320,-1.06530161759
ACH-000322,-1.6620091417899998
ACH-000323,-1.39230774712
ACH-000324,-1.30299808027
ACH-000329,-1.3941614928400001
ACH-000330,-1.3773860401
ACH-000331,-1.20347415906
ACH-000332,-1.58947942095
ACH-000334,-1.0920998288
ACH-000335,-1.41825579074
ACH-000336,-1.71365816378
ACH-000337,-1.5546167825400001
ACH-000339,-1.4589142205
ACH-000341,-2.12315099539
ACH-000348,-1.51227045722
ACH-000350,-1.54260595496
ACH-000352,-1.28771884039
ACH-000356,-1.1873816645
ACH-000361,-1.2380251476100002
ACH-000362,-1.34719387488
ACH-000363,-1.33236493817
ACH-000364,-1.5964100610799998
ACH-000365,-1.52581134484
ACH-000366,-1.65448811292
ACH-000368,-1.24528539829
ACH-000374,-1.42455688398
ACH-000375,-1.7211644389099998
ACH-000376,-1.57809320619
ACH-000381,-1.09134642582
ACH-000383,-1.3463725367800001
ACH-000387,-1.3761096666100001
ACH-000389,-1.13161178171
ACH-000390,-1.3452522535
ACH-000393,-1.52114657181
ACH-000395,-1.32171962776
ACH-000397,-1.26902470079
ACH-000401,-1.48236236771
ACH-000402,-1.56481575818
ACH-000403,-1.9531501205400001
ACH-000404,-1.22322501065
ACH-000406,-1.2362945226
ACH-000407,-1.5115925130899999
ACH-000408,-1.0349027318100001
ACH-000410,-1.5614861281
ACH-000411,-1.18037074142
ACH-000414,-1.11113610347
ACH-000415,-1.37646369299
ACH-000416,-1.2220368536200001
ACH-000420,-1.74649434697
ACH-000421,-1.42288033287
ACH-000424,-1.2728184548600001
ACH-000425,-1.3576017615399998
ACH-000426,-1.6025575089
ACH-000427,-1.44276434148
ACH-000433,-1.29743651996
ACH-000436,-1.4124818914100001
ACH-000444,-1.1413409290799998
ACH-000445,-1.4733564721999999
ACH-000448,-1.2507429132799999
ACH-000450,-1.24056344096
ACH-000452,-0.9851086570029999
ACH-000454,-1.004390594
ACH-000458,-1.40472391818
ACH-000459,-2.22226948234
ACH-000460,-1.29269734054
ACH-000461,-1.46844627787
ACH-000463,-1.54250512343
ACH-000464,-1.703776879
ACH-000466,-1.26222528673
ACH-000467,-1.5004071799
ACH-000468,-1.75563016366
ACH-000469,-1.4448720109900002
ACH-000470,-1.9479932278099998
ACH-000471,-1.2520077278
ACH-000472,-1.4497365621599998
ACH-000473,-1.3596590066
ACH-000475,-1.27997547916
ACH-000476,-1.39771507528
ACH-000477,-1.44647208405
ACH-000480,-1.1296830647
ACH-000481,-0.8059644609100001
ACH-000483,-0.9552752289569999
ACH-000484,-1.82320088039
ACH-000485,-1.24815050256
ACH-000486,-1.12351577979
