,AQR (9716)
ACH-000004,-1.41524046106
ACH-000007,-1.00277719601
ACH-000009,-1.3920298664300002
ACH-000011,-0.7780450277959999
ACH-000012,-1.0568306136799999
ACH-000013,-1.0131147851
ACH-000014,-1.25815805766
ACH-000015,-1.26037070401
ACH-000017,-0.8944891365629999
ACH-000018,-0.738537853317
ACH-000019,-1.11513659899
ACH-000021,-1.02902789957
ACH-000022,-1.22204759154
ACH-000025,-1.26091582008
ACH-000028,-1.0542429965200002
ACH-000030,-0.9332447020769999
ACH-000035,-0.789101291478
ACH-000036,-1.11646535565
ACH-000037,-1.00214635251
ACH-000039,-1.07851898191
ACH-000040,-0.9652709328489999
ACH-000041,-1.47292539757
ACH-000042,-0.931086424355
ACH-000045,-1.14002576994
ACH-000047,-0.852183134769
ACH-000052,-0.982701780533
ACH-000053,-1.08853833641
ACH-000054,-1.06116575574
ACH-000055,-0.8631027556630001
ACH-000060,-0.85571332737
ACH-000067,-0.986145567438
ACH-000070,-1.1805640919
ACH-000075,-0.582830933179
ACH-000078,-1.3145989089
ACH-000082,-1.19370801888
ACH-000085,-1.02947912832
ACH-000086,-0.852534154874
ACH-000087,-0.649730479021
ACH-000092,-0.835252125627
ACH-000095,-1.41652118264
ACH-000097,-0.9987074993189999
ACH-000098,-0.961646892884
ACH-000099,-1.19935209214
ACH-000108,-1.2175104914200001
ACH-000113,-1.0525878605299999
ACH-000115,-1.32272194051
ACH-000116,-1.1655242529799998
ACH-000118,-1.08536491748
ACH-000120,-0.819536070376
ACH-000123,-1.19572797237
ACH-000127,-1.1513648817
ACH-000128,-1.32507081621
ACH-000132,-0.898598836597
ACH-000133,-1.1971513947299999
ACH-000137,-1.09655581539
ACH-000138,-0.872425710175
ACH-000142,-0.8676081534540001
ACH-000143,-0.8594798779530001
ACH-000146,-1.06754619677
ACH-000148,-1.30080513619
ACH-000150,-0.8964810591529999
ACH-000152,-0.9756783938760001
ACH-000153,-1.4310483668
ACH-000159,-0.772197142416
ACH-000160,-1.4608911885799998
ACH-000163,-0.819969558922
ACH-000167,-1.4639084641999998
ACH-000168,-0.844910959562
ACH-000169,-1.10616384589
ACH-000178,-0.869289538227
ACH-000182,-0.9608245739069999
ACH-000183,-1.2205148346999999
ACH-000188,-1.1765369857799999
ACH-000189,-0.958353210091
ACH-000190,-0.9660546358490001
ACH-000198,-1.19456032127
ACH-000204,-1.08827528319
ACH-000206,-0.7822703421349999
ACH-000207,-1.07635560709
ACH-000211,-0.9783988128309999
ACH-000215,-0.9788032815559999
ACH-000221,-0.875272129039
ACH-000222,-0.885632480366
ACH-000223,-1.1114594391700001
ACH-000226,-1.11894600678
ACH-000227,-1.4083577073299998
ACH-000228,-1.2427779996
ACH-000231,-0.802175928967
ACH-000232,-0.9475529267030001
ACH-000233,-1.36864597204
ACH-000234,-1.116900715
ACH-000235,-1.07415689336
ACH-000237,-1.00454748785
ACH-000238,-0.837149805176
ACH-000243,-1.23103022452
ACH-000244,-1.19899672679
ACH-000246,-1.11382311724
ACH-000248,-0.93005762346
ACH-000250,-0.8621969127399999
ACH-000251,-1.2163467531999999
ACH-000253,-1.19399753156
ACH-000255,-0.757544496429
ACH-000256,-1.05540874349
ACH-000257,-1.2610059089299999
ACH-000258,-1.31567439334
ACH-000259,-1.18706246789
ACH-000260,-1.11658783968
ACH-000261,-1.14360672254
ACH-000262,-0.709073818005
ACH-000263,-2.00326216716
ACH-000264,-1.04379950581
ACH-000265,-1.25799361307
ACH-000266,-1.19454888563
ACH-000272,-0.945825619444
ACH-000273,-0.739391874646
ACH-000274,-1.14761391451
ACH-000277,-1.44251932175
ACH-000278,-0.8298974809499999
ACH-000279,-1.3378391793200002
ACH-000280,-1.2134983029200002
ACH-000281,-1.25024707341
ACH-000288,-0.946857741908
ACH-000291,-1.2052701156299999
ACH-000293,-1.0195272810200002
ACH-000294,-1.6691038037600001
ACH-000295,-1.01539900826
ACH-000296,-1.0558955379000001
ACH-000302,-1.55300131664
ACH-000304,-0.7553226368420001
ACH-000307,-0.7372641253579999
ACH-000308,-0.9616952813580001
ACH-000310,-1.2820694765
ACH-000311,-0.961360421823
ACH-000312,-1.1462069996200002
ACH-000315,-1.10006987232
ACH-000316,-0.972712753565
ACH-000317,-1.15213591037
ACH-000318,-1.03663392187
ACH-000319,-0.7881599596860001
ACH-000320,-1.09946135289
ACH-000322,-0.992926925719
ACH-000323,-0.831040466264
ACH-000324,-1.33790802916
ACH-000329,-1.1428597411299999
ACH-000330,-0.831615841903
ACH-000331,-0.756303469904
ACH-000332,-1.0184625298999999
ACH-000334,-1.49213236817
ACH-000335,-1.1043423752600001
ACH-000336,-0.88055568449
ACH-000337,-1.03305919293
ACH-000339,-0.919001915809
ACH-000341,-1.09835775588
ACH-000348,-1.06563312367
ACH-000350,-1.04894607302
ACH-000352,-1.03448176543
ACH-000356,-1.11022590515
ACH-000361,-0.575096341707
ACH-000362,-1.19657093092
ACH-000363,-0.967757256835
ACH-000364,-1.01668487336
ACH-000365,-1.27921131267
ACH-000366,-1.1278841324
ACH-000368,-0.913922145257
ACH-000374,-0.894580639487
ACH-000375,-1.13278263125
ACH-000376,-1.009323822
ACH-000381,-1.03304989572
ACH-000383,-1.34752166803
ACH-000387,-1.3998219383000001
ACH-000389,-0.8654219892749999
ACH-000390,-0.904350688027
ACH-000393,-1.16593311114
ACH-000395,-0.818291280958
ACH-000397,-1.00861171111
ACH-000401,-0.6990465366899999
ACH-000402,-0.886973757022
ACH-000403,-1.35052327995
ACH-000404,-0.761315245767
ACH-000406,-1.3740932742299998
ACH-000407,-1.22856948571
ACH-000408,-0.997532057789
ACH-000410,-1.24637835578
ACH-000411,-1.11253126934
ACH-000414,-1.28268621353
ACH-000415,-1.1262225924299998
ACH-000416,-1.10288185869
ACH-000420,-1.08791342327
ACH-000421,-0.811455506527
ACH-000424,-0.8940105501710001
ACH-000425,-1.28899244374
ACH-000426,-0.48350806116800005
ACH-000427,-1.30158082014
ACH-000433,-0.9796682329269999
ACH-000436,-0.664775998759
ACH-000444,-0.877900479725
ACH-000445,-0.9522863781309999
ACH-000448,-1.0619650383600001
ACH-000450,-1.14949716098
ACH-000452,-1.07005696403
ACH-000454,-0.8884476979620001
ACH-000458,-0.671543600543
ACH-000459,-1.566427774
ACH-000460,-1.21451432513
ACH-000461,-0.9928148893179999
ACH-000463,-0.8550716862919999
ACH-000464,-1.13640202001
ACH-000466,-1.3425665543799998
ACH-000467,-0.976568263194
ACH-000468,-1.08007277169
ACH-000469,-1.11385224065
ACH-000470,-1.3238913238299999
ACH-000471,-0.9903312267659999
ACH-000472,-1.1682003856
ACH-000473,-1.03277628551
ACH-000475,-1.01232571183
ACH-000476,-0.867921176383
ACH-000477,-1.1516664540000001
ACH-000480,-1.0196204761399998
ACH-000481,-1.1428595149
ACH-000483,-1.4556846310499998
ACH-000484,-1.35304147379
ACH-000485,-1.053334853
ACH-000486,-0.9188454290279999
ACH-000487,-1.25354705151
ACH-000488,-1.03382840355
ACH-000490,-0.589087309795
ACH-000491,-1.23683452553
ACH-000495,-1.08452973895
ACH-000496,-0.9170930050830001
ACH-000499,-0.741218616706
ACH-000500,-1.4374252953100002
ACH-000502,-1.04600768764
ACH-000503,-0.9781045963130001
ACH-000505,-1.09244464184
ACH-000507,-1.1725894007700002
ACH-000510,-1.15933209463
ACH-000511,-0.896339133448
ACH-000512,-1.3506440132700002
ACH-000516,-1.16925300955
ACH-000517,-1.25567335552
ACH-000518,-0.989971862491
ACH-000520,-1.12023277205
ACH-000521,-0.636067055111
ACH-000522,-0.9735529741299999
ACH-000524,-1.66733651306
ACH-000527,-1.0750405035700001
ACH-000528,-1.00329703823
