,CSRP2BP (57325)
ACH-000004,-0.266158770561
ACH-000007,-0.419440817622
ACH-000009,-0.07765238388739999
ACH-000011,-0.194021460196
ACH-000012,-0.224832984398
ACH-000013,-0.213516163319
ACH-000014,-0.390583560372
ACH-000015,-0.190915968945
ACH-000017,0.0533400970371
ACH-000018,-0.313005339355
ACH-000019,-0.172384560552
ACH-000021,-0.08898019979430001
ACH-000022,-0.10341722362400001
ACH-000025,-0.409488521905
ACH-000028,-0.391328037601
ACH-000030,-0.006103512697300001
ACH-000035,-0.279227937695
ACH-000036,-0.383536116141
ACH-000037,-0.00511567525949
ACH-000039,-0.0715671929941
ACH-000040,-0.245489190856
ACH-000041,-0.38602473703699997
ACH-000042,-0.309233291797
ACH-000045,-0.275402328413
ACH-000047,-0.28644647187399996
ACH-000052,-0.549460869808
ACH-000053,0.0060484021476400005
ACH-000054,-0.17995847614500002
ACH-000055,-0.12788942345999998
ACH-000060,-0.254419558768
ACH-000067,-0.222427221585
ACH-000070,-0.36359487848800004
ACH-000075,-0.39982640551799997
ACH-000078,-0.14815444749099999
ACH-000082,-0.31178833365499997
ACH-000085,-0.316993521332
ACH-000086,-0.08400174492529999
ACH-000087,-0.418009987659
ACH-000092,-0.0774202224455
ACH-000095,-0.195112756916
ACH-000097,-0.37845181668000005
ACH-000098,-0.114475838882
ACH-000099,-0.155471735858
ACH-000108,-0.35825943325900006
ACH-000113,-0.308686562359
ACH-000115,-0.16858848914400001
ACH-000116,-0.279273199772
ACH-000118,-0.192481939854
ACH-000120,-0.41042572742600003
ACH-000123,-0.39323245600900003
ACH-000127,0.0226493556866
ACH-000128,-0.430724805481
ACH-000132,-0.207986492473
ACH-000133,-0.39730731859499996
ACH-000137,-0.493759246545
ACH-000138,-0.18916630394099998
ACH-000142,-0.105131813982
ACH-000143,-0.30495594710499996
ACH-000146,-0.268727102494
ACH-000148,-0.263619830034
ACH-000150,-0.174078906651
ACH-000152,-0.541758733461
ACH-000153,0.121637726505
ACH-000159,-0.160332668965
ACH-000160,0.199157985093
ACH-000163,-0.375021563066
ACH-000167,0.240605889346
ACH-000168,-0.270579643211
ACH-000169,-0.342260932941
ACH-000178,-0.14107255282199999
ACH-000182,-0.297541990652
ACH-000183,-0.152857759115
ACH-000188,-0.05632712301059999
ACH-000189,-0.197779667975
ACH-000190,0.12564300892000002
ACH-000198,-0.42044905310999997
ACH-000204,-0.00433104920484
ACH-000206,-0.12315417812200001
ACH-000207,-0.449724849137
ACH-000211,-0.267859071781
ACH-000215,-0.08693255148839998
ACH-000221,-0.015401152261399998
ACH-000222,-0.05398317134240001
ACH-000223,-0.156677369842
ACH-000226,-0.20452951212099998
ACH-000227,-0.141294918673
ACH-000228,-0.42627202452299995
ACH-000231,-0.40462273633900003
ACH-000232,-0.140588695448
ACH-000233,-0.05394600458380001
ACH-000234,-0.131954174608
ACH-000235,-0.27107799690400003
ACH-000237,-0.222369529484
ACH-000238,-0.409478134676
ACH-000243,-0.435811609283
ACH-000244,-0.14334044252699998
ACH-000246,-0.284692802411
ACH-000248,-0.049541988055699995
ACH-000250,-0.0169357616678
ACH-000251,-0.561991377737
ACH-000253,-0.212864912767
ACH-000255,-0.636432656581
ACH-000256,-0.298492703229
ACH-000257,-0.5203784057249999
ACH-000258,-0.36883245735
ACH-000259,-0.23494834791900002
ACH-000260,-0.224768895869
ACH-000261,-0.09970430520889999
ACH-000262,0.13858500583799999
ACH-000263,-0.18426104408100002
ACH-000264,-0.145303668163
ACH-000265,-0.648530344769
ACH-000266,-0.21145104278299998
ACH-000272,-0.395668975269
ACH-000273,-0.18725397697
ACH-000274,-0.198108688739
ACH-000277,-0.502386475605
ACH-000278,-0.279393300725
ACH-000279,-0.24896908077100002
ACH-000280,-0.340756418813
ACH-000281,-0.331914485431
ACH-000288,-0.276356944755
