,SMTN (6525)
ACH-000004,-0.685498386321
ACH-000007,-0.47639060974299996
ACH-000009,-0.257605289866
ACH-000011,-0.427829981112
ACH-000012,-0.29899282034
ACH-000013,-0.22517449844700002
ACH-000014,-0.303748673828
ACH-000015,-0.388402198666
ACH-000017,-0.164151890884
ACH-000018,-0.0333582461831
ACH-000019,-0.3287063231
ACH-000021,-0.131643121495
ACH-000022,-0.151937207005
ACH-000025,-0.26547297752300003
ACH-000028,-0.333634117222
ACH-000030,-0.44719774866000006
ACH-000035,-0.246698456367
ACH-000036,-0.216799509562
ACH-000037,0.129308972583
ACH-000039,-0.33686102709700005
ACH-000040,-0.139546662682
ACH-000041,-0.28060626873100003
ACH-000042,-0.293272501126
ACH-000045,-0.018763073982400003
ACH-000047,-0.385436528368
ACH-000052,-0.458344007492
ACH-000053,-0.19387777833099998
ACH-000054,-0.13639616505899999
ACH-000055,-0.526259429208
ACH-000060,-0.343767616781
ACH-000067,-0.214108020491
ACH-000070,-0.140584264838
ACH-000075,-0.158493044762
ACH-000078,-0.304170171464
ACH-000082,-0.039968173453900004
ACH-000085,-0.7138320907979999
ACH-000086,-0.140284090362
ACH-000087,-0.267464733823
ACH-000092,-0.422235742844
ACH-000095,-0.0924785488932
ACH-000097,-0.254499192295
ACH-000098,-0.330398141367
ACH-000099,-0.257819012467
ACH-000108,-0.0864530194675
ACH-000113,-0.14545984824799998
ACH-000115,-0.023541268661000002
ACH-000116,-0.333064952111
ACH-000118,-0.100373234048
ACH-000120,-0.120192040358
ACH-000123,-0.262808273325
ACH-000127,-0.0682224249516
ACH-000128,0.0301811252384
ACH-000132,-0.120854017314
ACH-000133,-0.233003159484
ACH-000137,-0.08986932705910002
ACH-000138,-0.09257356268639999
ACH-000142,-0.111707171149
ACH-000143,-0.17565450993700002
ACH-000146,-0.201823828995
ACH-000148,-0.160503147169
ACH-000150,-0.504741800366
ACH-000152,-0.23286174912500002
ACH-000153,-0.109071651478
ACH-000159,-0.144185762113
