,VTI1A (143187)
ACH-000004,-0.058512232612199996
ACH-000007,0.0485514996525
ACH-000009,-0.24247701511300002
ACH-000011,-0.08564885634479999
ACH-000012,-0.195785206211
ACH-000013,-0.273504768339
ACH-000014,-0.145291815215
ACH-000015,-0.300003391595
ACH-000017,0.016994061329399998
ACH-000018,-0.0154816073339
ACH-000019,-0.31763763032
ACH-000021,-0.038838001724300006
ACH-000022,-0.224383324864
ACH-000025,-0.269009798174
ACH-000028,-0.105971209192
ACH-000030,-0.205843191656
ACH-000035,-0.24020839079
ACH-000036,-0.431189904136
ACH-000037,-0.0975747675685
ACH-000039,-0.182663171327
ACH-000040,-0.34863131618500004
ACH-000041,-0.129874469477
ACH-000042,-0.298213740352
ACH-000045,-0.159362249947
ACH-000047,-0.0539108289806
ACH-000052,-0.243903564361
ACH-000053,-0.238394782593
ACH-000054,-0.310625000529
ACH-000055,-0.154727324654
ACH-000060,-0.23539835148000002
ACH-000067,-0.275499537216
ACH-000070,-0.28215263366099996
ACH-000075,-0.186937864474
ACH-000078,-0.182634051343
ACH-000082,-0.208425309824
ACH-000085,-0.100388646358
ACH-000086,-0.159861709375
ACH-000087,-0.0135494663735
ACH-000092,-0.138052394249
ACH-000095,-0.203760455988
ACH-000097,-0.031008618205499997
ACH-000098,-0.0894130568963
ACH-000099,-0.650087515797
ACH-000108,-0.18046723166499998
ACH-000113,-0.06894587989569999
ACH-000115,-0.476448685868
ACH-000116,-0.0650170244178
ACH-000118,-0.0789395985327
ACH-000120,-0.20434954576099998
ACH-000123,-0.108850186525
ACH-000127,-0.051923550280300004
ACH-000128,-0.207630697184
ACH-000132,-0.207770559219
ACH-000133,-0.365298552926
ACH-000137,-0.16019217675699998
ACH-000138,-0.215965282293
ACH-000142,-0.582068469756
ACH-000143,-0.0646100383638
ACH-000146,-0.09991581213749999
ACH-000148,-0.260826995907
ACH-000150,0.0197952481851
ACH-000152,-0.238085668994
ACH-000153,-0.0506871454758
ACH-000159,-0.19924756660999998
ACH-000160,-0.257442145352
ACH-000163,-0.0477566514158
