,HIST1H2BI (8346)
ACH-000004,-0.426054292218
ACH-000007,-0.271737045185
ACH-000009,-0.639403704733
ACH-000011,-0.5766788680380001
ACH-000012,-0.426267504032
ACH-000013,-0.351540593768
ACH-000014,-0.706084231981
ACH-000015,-0.355142081612
ACH-000017,-0.713812592947
ACH-000018,-0.453961370829
ACH-000019,-0.581730263229
ACH-000021,-0.24473910655499997
ACH-000022,-0.255156795506
ACH-000025,-0.453970340841
ACH-000028,-0.45919970577
ACH-000030,-0.452981449674
ACH-000035,-0.6542860613629999
ACH-000036,-0.554390169698
ACH-000037,-0.38146756486
ACH-000039,-0.307990465379
ACH-000040,-0.505119883703
ACH-000041,-0.647520037626
ACH-000042,-0.273549601997
ACH-000045,-0.578630411823
ACH-000047,-0.35140958230499997
ACH-000052,-0.560234058989
ACH-000053,-0.525136636303
ACH-000054,-0.427942611588
ACH-000055,-0.155025421466
ACH-000060,-0.423690991732
ACH-000067,-0.393884707016
ACH-000070,-0.5144695657989999
ACH-000075,-0.361040029749
ACH-000078,-0.646861357548
ACH-000082,-0.5430512346999999
ACH-000085,-0.160269201045
ACH-000086,-0.71005954756
ACH-000087,-0.696128531886
ACH-000092,-0.487347236724
ACH-000095,-0.61334086422
ACH-000097,-0.531547345925
ACH-000098,-0.487130656249
ACH-000099,-0.715103471144
ACH-000108,-0.341751938908
ACH-000113,-0.371228023759
ACH-000115,-0.7807261347229999
ACH-000116,-0.35671976449000004
ACH-000118,-0.56111444149
ACH-000120,-0.431425823587
ACH-000123,-0.602114139763
ACH-000127,-0.369307084605
ACH-000128,-0.374728058482
ACH-000132,-0.216825723213
ACH-000133,-0.57788658348
ACH-000137,-0.393302550834
ACH-000138,-0.535644964192
ACH-000142,-0.536257753956
ACH-000143,-0.649098494333
ACH-000146,-0.532815835418
ACH-000148,-0.481889460248
ACH-000150,-0.500673978693
ACH-000152,-0.425093157699
ACH-000153,-0.295408396779
ACH-000159,-0.576415911248
ACH-000160,-0.0741850118377
ACH-000163,-0.506517326386
ACH-000167,0.0471015176905
ACH-000168,-0.586733603482
ACH-000169,-0.777299302923
ACH-000178,-0.571631129382
ACH-000182,-0.43192114373199997
ACH-000183,-0.6144759848610001
ACH-000188,-0.631908380564
ACH-000189,-0.19051877175999998
ACH-000190,0.171531025131
ACH-000198,-0.696942683785
ACH-000204,-0.6111504061949999
ACH-000206,-1.28060216271
ACH-000207,-0.620059163899
ACH-000211,-0.284905941055
ACH-000215,-0.507377306746
ACH-000221,-0.282921227858
ACH-000222,-0.245997862978
ACH-000223,-0.638561252575
ACH-000226,-0.533785027846
ACH-000227,-0.463800862189
ACH-000228,-0.44373371875
ACH-000231,-0.6761371808580001
ACH-000232,-0.406549325743
ACH-000233,-0.614243358872
ACH-000234,-0.39158604246
ACH-000235,-0.475695138155
ACH-000237,-0.45396598902199997
ACH-000238,-0.6213959553639999
ACH-000243,-0.29884558271
ACH-000244,-0.509440353643
ACH-000246,-0.423019824077
ACH-000248,-0.744198149016
ACH-000250,-0.57518688581
ACH-000251,-1.13635766528
ACH-000253,-0.623336659522
ACH-000255,-0.47684335288900004
ACH-000256,-0.428909473675
ACH-000257,0.06214946787
ACH-000258,-0.278770393938
ACH-000259,-0.307958562388
ACH-000260,-0.469140431079
ACH-000261,-0.359994319354
ACH-000262,-0.230081417941
ACH-000263,-0.936186617535
ACH-000264,-0.546011109681
ACH-000265,-0.439889024393
ACH-000266,-0.293643745193
ACH-000272,-0.472043035711
ACH-000273,-0.65123155453
ACH-000274,-0.37395123911300004
ACH-000277,-0.528440078341
ACH-000278,-0.492741189292
ACH-000279,-0.540160121386
ACH-000280,-0.568568947846
ACH-000281,-0.5358519323709999
ACH-000288,-0.300531293499
ACH-000291,-0.282347416576
ACH-000293,-0.35118978221999997
ACH-000294,-0.298725325966
