,PRKCSH (5589)
ACH-000004,-0.730208046857
ACH-000007,-0.411107899851
ACH-000009,-0.44388764818899995
ACH-000011,-0.21059572049400002
ACH-000012,-0.308187890797
ACH-000013,-0.466629005215
ACH-000014,-0.16606998808700002
ACH-000015,-0.36049461002800004
ACH-000017,-0.2087781104
ACH-000018,-0.344868054156
ACH-000019,-0.374866050924
ACH-000021,-0.412793919544
ACH-000022,-0.5408267241100001
ACH-000025,-0.357457096423
ACH-000028,-0.369245358301
ACH-000030,-0.324114714782
ACH-000035,-0.443429237157
ACH-000036,-0.103034909844
ACH-000037,-0.134917292715
ACH-000039,-0.11390350408
ACH-000040,-0.26890800158100003
ACH-000041,-0.252551596611
ACH-000042,-0.17321696881999998
ACH-000045,-0.0749179958548
ACH-000047,-0.28404070734700004
ACH-000052,-0.28340698217
ACH-000053,-0.255070808169
ACH-000054,-0.17755777440499998
ACH-000055,-0.356545534814
ACH-000060,-0.266601772372
ACH-000067,-0.146306144877
ACH-000070,-0.314644153965
ACH-000075,-0.0584488024328
ACH-000078,-0.548160519313
ACH-000082,-0.507698477204
ACH-000085,-0.20439457285100002
ACH-000086,-0.44893048240199995
ACH-000087,-0.0662154757965
ACH-000092,-0.45938113642899997
ACH-000095,-0.309599843927
ACH-000097,-0.34247316361599994
ACH-000098,-0.352375817478
ACH-000099,-0.485569160357
ACH-000108,-0.44116446043000007
ACH-000113,-0.47362447971
ACH-000115,-0.41573412302900004
ACH-000116,-0.319808452173
ACH-000118,-0.411721097486
ACH-000120,-0.307005245619
ACH-000123,-0.454210450642
ACH-000127,-0.434099095739
ACH-000128,-0.469607621664
ACH-000132,-0.628657388746
ACH-000133,-0.424161271139
ACH-000137,-0.482207256254
ACH-000138,-0.287015948398
ACH-000142,-0.268610238813
ACH-000143,-0.250843037658
ACH-000146,-0.283398215918
ACH-000148,-0.201294931822
ACH-000150,-0.46694190702699995
ACH-000152,-0.283759436648
ACH-000153,-0.0638571238227
ACH-000159,-0.281575535147
ACH-000160,-0.20380925690499999
ACH-000163,-0.457629723223
ACH-000167,-0.253173625613
ACH-000168,-0.420814779952
ACH-000169,-0.191062432188
ACH-000178,-0.551369635273
ACH-000182,-0.183963324671
ACH-000183,-0.37936818137500006
ACH-000188,-0.518707736269
ACH-000189,-0.7397719616349999
ACH-000190,-0.16708922010299998
ACH-000198,-0.264259889692
ACH-000204,-0.0794243747681
ACH-000206,-0.44068747381000006
ACH-000207,-0.13359224266699998
ACH-000211,-0.248573989017
ACH-000215,-0.258400075165
ACH-000221,-0.190890792694
ACH-000222,-0.41245024425099996
ACH-000223,-0.330313075708
ACH-000226,-0.278470195301
