,CPT1A (1374)
ACH-000004,-0.285786070141
ACH-000007,-0.15039012325999998
ACH-000009,-0.277693606719
ACH-000011,-0.14587860308599998
ACH-000012,-0.232082312485
ACH-000013,-0.19347554006099998
ACH-000014,-0.166713455999
ACH-000015,-0.19433761502900002
ACH-000017,-0.300590907496
ACH-000018,-0.262530056333
ACH-000019,-0.169745579733
ACH-000021,-0.276418842653
ACH-000022,-0.283100658523
ACH-000025,-0.247529350633
ACH-000028,-0.172580121624
ACH-000030,-0.273660027493
ACH-000035,-0.163369157733
ACH-000036,-0.21452128892499997
ACH-000037,-0.25572524618500003
ACH-000039,-0.300423536608
ACH-000040,-0.335470044614
ACH-000041,-0.289345468105
ACH-000042,-0.374540030784
ACH-000045,-0.213987177232
ACH-000047,-0.13185188416899998
ACH-000052,-0.37282461600199995
ACH-000053,-0.30776925034
ACH-000054,-0.24168666983000003
ACH-000055,-0.106896615852
ACH-000060,-0.168368762434
ACH-000067,-0.014373744816100001
ACH-000070,-0.27352602048
ACH-000075,-0.579355127338
ACH-000078,-0.244442869946
ACH-000082,-0.330271379237
ACH-000085,-0.157145778555
ACH-000086,-0.406997708989
ACH-000087,-0.22019677763300002
ACH-000092,-0.29466233183400004
ACH-000095,-0.120180023617
ACH-000097,-0.534240719328
ACH-000098,-0.126248349102
ACH-000099,-0.117336963676
ACH-000108,-0.271136870691
ACH-000113,-0.17986403105
ACH-000115,-0.16222476795600002
ACH-000116,-0.445544520812
ACH-000118,-0.374017386695
ACH-000120,-0.321967443638
ACH-000123,-0.259597545518
ACH-000127,-0.291792210677
ACH-000128,-0.244125575317
ACH-000132,-0.306152273611
ACH-000133,-0.18088532531800003
ACH-000137,-0.263596643597
ACH-000138,-0.42429801817900004
ACH-000142,-0.41683121992100003
ACH-000143,-0.21007620561999998
ACH-000146,-0.262326081067
ACH-000148,-0.16028020604499998
ACH-000150,-0.31775596256099997
ACH-000152,-0.191014074487
ACH-000153,-0.590008337153
ACH-000159,-0.119946749454
ACH-000160,-0.726818873289
ACH-000163,-0.214303333061
ACH-000167,-0.366655260706
ACH-000168,-0.034675197771600004
ACH-000169,-0.201638095672
ACH-000178,-0.23421908567699998
ACH-000182,-0.259725726925
ACH-000183,-0.138755815399
ACH-000188,-0.535681656924
ACH-000189,-0.15604702112
ACH-000190,-0.380952549275
ACH-000198,-0.220953035369
ACH-000204,-0.290371582114
ACH-000206,-0.280175567311
ACH-000207,-0.601961454727
ACH-000211,-0.20345036122699997
ACH-000215,-0.258959391527
ACH-000221,-0.101843798108
ACH-000222,-0.341877798085
ACH-000223,-0.315297919789
ACH-000226,-0.140875234634
ACH-000227,-0.635531634705
ACH-000228,-0.252361253091
ACH-000231,-0.23209475446800001
ACH-000232,-0.17874647221200002
ACH-000233,-0.18177935837200002
ACH-000234,-0.058640181773399996
ACH-000235,-0.243515004932
ACH-000237,-0.361681050106
ACH-000238,-0.14302488377800002
ACH-000243,-0.229450305418
ACH-000244,-0.135389945932
ACH-000246,-0.257822516358
ACH-000248,-0.13174306518200002
ACH-000250,-0.154359583441
ACH-000251,-0.43753446205700003
ACH-000253,-0.231895573307
ACH-000255,-0.289759230626
ACH-000256,-0.30095604856999997
ACH-000257,-0.0829248683985
ACH-000258,-0.240227627414
ACH-000259,-0.274628636988
ACH-000260,-0.32793536931899997
ACH-000261,-0.287067145209
ACH-000262,-0.324774499445
ACH-000263,-0.33142745253899997
ACH-000264,-0.224947064747
ACH-000265,-0.295220793872
ACH-000266,-0.41387745391999997
ACH-000272,-0.23188229089600002
ACH-000273,-0.232725862231
ACH-000274,-0.32867461606
ACH-000277,-0.330461173386
ACH-000278,-0.20329359200199998
ACH-000279,-0.262808997446
ACH-000280,-0.141801205367
ACH-000281,-0.34621175188500003
ACH-000288,-0.238569558877
ACH-000291,-0.288546798671
ACH-000293,-0.150366709533
ACH-000294,-0.303665901651
ACH-000295,-0.331873505539
ACH-000296,-0.07867464867360001
ACH-000302,-0.166028128762
ACH-000304,-0.378014423716
ACH-000307,-0.09794370319620001
ACH-000308,-0.33114809318599997
ACH-000310,-0.314518668221
ACH-000311,-0.174942310371
ACH-000312,-0.42127465325
ACH-000315,-0.533769066304
ACH-000316,-0.599452955035
ACH-000317,-0.236052764408
ACH-000318,-0.431219177839
ACH-000319,-0.23666893593199997
ACH-000320,-0.214202566472
ACH-000322,-0.323281691935
ACH-000323,-0.260892667886
ACH-000324,-0.181568820412
ACH-000329,0.010236490811399998
ACH-000330,-0.155682267203
ACH-000331,-0.219967016072
ACH-000332,-0.42185146994
ACH-000334,-0.321441973254
ACH-000335,-0.256152110258
ACH-000336,-0.299575748324
ACH-000337,-0.426456545742
ACH-000339,-0.298692709477
ACH-000341,-0.21950061768000004
ACH-000348,-0.12315987551100001
ACH-000350,0.00264537045705
ACH-000352,-0.340467680908
ACH-000356,-0.597715982939
ACH-000361,-0.178341553871
ACH-000362,-0.261908844136
ACH-000363,-0.15993729106
ACH-000364,-0.463668000634
ACH-000365,-0.154405596159
ACH-000366,-0.44663149922
ACH-000368,-0.11497883305199999
ACH-000374,-0.430873367111
ACH-000375,-0.189872179822
ACH-000376,-0.257835593873
ACH-000381,-0.206785006013
ACH-000383,-0.338867019015
ACH-000387,-0.145372915091
ACH-000389,-0.383757969438
ACH-000390,-0.184564247254
ACH-000393,-0.36230160445200005
ACH-000395,-0.0330692833872
ACH-000397,-0.349586576973
ACH-000401,-0.156722869491
ACH-000402,-0.0973309466777
ACH-000403,-0.36142075458899997
ACH-000404,-0.0309672006966
ACH-000406,-0.158023339045
ACH-000407,-0.46974185468900004
ACH-000408,-0.378303045769
ACH-000410,-0.06769704404400001
ACH-000411,-0.14063143889000002
ACH-000414,-0.39851978948600003
ACH-000415,-0.033127172075900005
ACH-000416,-0.193194793163
ACH-000420,-0.266024586965
ACH-000421,-0.24930165790199998
ACH-000424,-0.49680848697999996
ACH-000425,-0.238506025721
ACH-000426,-0.0905340567523
ACH-000427,-0.0661247962294
ACH-000433,-0.479526675168
ACH-000436,-0.09796616218769999
ACH-000444,-0.0816340640933
ACH-000445,-0.242459476701
ACH-000448,-0.305546837953
ACH-000450,-0.494337945682
ACH-000452,-0.43723552357699996
ACH-000454,-0.202425891162
ACH-000458,-0.45357854408500003
ACH-000459,0.0800526182058
ACH-000460,-0.18791842751200002
ACH-000461,-0.467145128525
ACH-000463,-0.302930227449
ACH-000464,-0.355938065405
ACH-000466,-0.34824219136
ACH-000467,-0.27493193705200003
ACH-000468,-0.295938223185
ACH-000469,-0.15974938652
ACH-000470,-0.36910122852
ACH-000471,-0.13093800017100002
ACH-000472,-0.23899606847600002
ACH-000473,-0.213915448223
ACH-000475,-0.20207206868299998
ACH-000476,-0.271496938877
ACH-000477,-0.24333280985199998
ACH-000480,-0.379795551209
ACH-000481,-0.19011437093199998
