,CR1L (1379)
ACH-000004,-0.5418803702130001
ACH-000007,-0.778821346891
ACH-000009,-0.529941603675
ACH-000011,-0.339168533243
ACH-000012,-0.686439702595
ACH-000013,-0.33221964766
ACH-000014,-0.201971393834
ACH-000015,-0.20048770975900002
ACH-000017,-0.5789072431210001
ACH-000018,-0.38143549022
ACH-000019,-0.39270335621200003
ACH-000021,-0.34809195445200003
ACH-000022,-0.546468262264
ACH-000025,-0.521228109225
ACH-000028,-0.41562568895499996
ACH-000030,-0.328417053814
ACH-000035,-0.236350896018
ACH-000036,-0.5944356517189999
ACH-000037,-0.330030907305
ACH-000039,-0.464742844736
ACH-000040,-0.30363360567200004
ACH-000041,-0.127962914147
ACH-000042,-0.5146570073610001
ACH-000045,-0.217822030033
ACH-000047,-0.39658625446199997
ACH-000052,-0.426927756305
ACH-000053,-0.29723958322
ACH-000054,-0.458458832002
ACH-000055,-0.220175208717
ACH-000060,-0.29361371260499997
ACH-000067,-0.0933987796012
ACH-000070,-0.466270920186
ACH-000075,-0.40758309865099995
ACH-000078,-0.442400482196
ACH-000082,-0.48512053226499996
ACH-000085,-0.632484879204
ACH-000086,-0.5945026614
ACH-000087,-0.261142894434
ACH-000092,-0.540681206447
ACH-000095,-0.802217333958
ACH-000097,-0.516386397729
ACH-000098,-0.334288197058
ACH-000099,-0.499095276427
ACH-000108,-0.269481477206
ACH-000113,-0.442864994149
ACH-000115,-0.458290236325
ACH-000116,-0.39837896847099996
ACH-000118,-0.25474284253400004
ACH-000120,-0.262515658719
ACH-000123,-0.48157939015199996
ACH-000127,-0.341132190959
ACH-000128,-0.430515732119
ACH-000132,-0.570539921343
ACH-000133,-0.32686071786299997
ACH-000137,-0.055999755199100006
ACH-000138,-0.33917394312
ACH-000142,-0.280149042938
ACH-000143,-0.0656055410429
ACH-000146,-0.47756608860399996
ACH-000148,-0.541203352784
ACH-000150,-0.497304493629
ACH-000152,-0.322117248085
ACH-000153,-0.6111458597789999
ACH-000159,-0.34660768413599996
ACH-000160,-0.444992571821
ACH-000163,-0.28526944169
ACH-000167,-0.754542465519
ACH-000168,-0.26844878857
ACH-000169,-0.18298109997099998
ACH-000178,-0.414134441673
ACH-000182,-0.256538962995
ACH-000183,-0.177307749509
ACH-000188,-0.27663407747200003
ACH-000189,-0.520828244293
ACH-000190,-0.034537968649199995
ACH-000198,-0.236984823672
ACH-000204,-0.375812529448
ACH-000206,-0.291131961411
ACH-000207,-0.0974596615915
ACH-000211,-0.324396309525
ACH-000215,-0.553877733098
ACH-000221,-0.180872291558
ACH-000222,-0.30301879057
ACH-000223,-0.357692142787
ACH-000226,-0.789985251792
ACH-000227,-0.7307047634199999
ACH-000228,-0.316827562596
ACH-000231,-0.24421208642499997
ACH-000232,-0.254634218247
ACH-000233,-0.5324276323489999
ACH-000234,-0.5648711919080001
ACH-000235,-0.583118699087
ACH-000237,-0.40671841714
ACH-000238,-0.265282128147
ACH-000243,-0.301153842095
ACH-000244,-0.5581133937039999
ACH-000246,-0.467217175367
ACH-000248,-0.219013209747
ACH-000250,-0.26381096322299996
ACH-000251,-0.25605819033000005
ACH-000253,-0.587482167854
ACH-000255,-0.290642722091
ACH-000256,-0.362843892156
ACH-000257,-0.190236394715
ACH-000258,-0.66238281561
ACH-000259,-0.29703430927700003
ACH-000260,-0.296952544554
ACH-000261,-0.291575339835
ACH-000262,-0.503805086581
ACH-000263,-0.456061897574
ACH-000264,-0.464428400925
ACH-000265,-0.148706157041
ACH-000266,-0.469877315314
ACH-000272,-0.494798615424
ACH-000273,-0.45071810619499997
ACH-000274,-0.35483357793000003
ACH-000277,-0.29507003043
ACH-000278,-0.332543242285
ACH-000279,-0.259764485752
ACH-000280,-0.392633049659
ACH-000281,-0.293367644878
ACH-000288,-0.29100277182100004
ACH-000291,-0.356301719565
ACH-000293,-0.374254315465
ACH-000294,-0.190251793211
ACH-000295,-0.14921922227499998
ACH-000296,-0.42010527736599995
ACH-000302,-0.29984116522599996
ACH-000304,0.11410451811200001
ACH-000307,-0.445467984388
ACH-000308,-0.223548358258
ACH-000310,-0.721467279577
ACH-000311,-0.43104935354999996
ACH-000312,-0.36643133469000005
ACH-000315,-0.137865164437
ACH-000316,-0.28637909903000003
ACH-000317,-0.21554293828
ACH-000318,-0.42719186456200003
ACH-000319,-0.310383805442
ACH-000320,-0.393891664049
ACH-000322,-0.279612124342
ACH-000323,-0.33582898795999994
ACH-000324,-0.816995773418
ACH-000329,-0.41936726224299997
ACH-000330,-0.24479502781100002
ACH-000331,-0.261960093956
ACH-000332,-0.314336837413
ACH-000334,-0.20367153173
ACH-000335,-0.0816045124668
ACH-000336,-0.736845683487
ACH-000337,-0.335975563145
ACH-000339,-0.421227412091
ACH-000341,-0.626721985772
ACH-000348,-0.535157957529
ACH-000350,-0.619798065571
ACH-000352,-0.35957248400700004
