,ROPN1L (83853)
ACH-000004,-0.20071849629000002
ACH-000007,-0.256172812704
ACH-000009,-0.346420058195
ACH-000011,-0.122212740419
ACH-000012,-0.187693573684
ACH-000013,-0.145484699233
ACH-000014,-0.248646385233
ACH-000015,-0.17599264133
ACH-000017,-0.407033601765
ACH-000018,-0.297191205267
ACH-000019,0.0566112329612
ACH-000021,-0.0927586389432
ACH-000022,-0.09147527777429999
ACH-000025,0.0871330739518
ACH-000028,-0.220799793269
ACH-000030,-0.157583170418
ACH-000035,-0.42226294427100003
ACH-000036,-0.29529738821199997
ACH-000037,-0.388248574148
ACH-000039,-0.31212884766800003
ACH-000040,-0.188664506571
ACH-000041,-0.21717737754500002
ACH-000042,-0.236882128258
ACH-000045,-0.221376755042
ACH-000047,-0.383014024429
ACH-000052,-0.122686752555
ACH-000053,-0.09835171401119999
ACH-000054,-0.229088987909
ACH-000055,-0.0312223247541
ACH-000060,-0.300687408024
ACH-000067,-0.150811623424
ACH-000070,-0.06141257268130001
ACH-000075,-0.0143064752877
ACH-000078,-0.17334497161600002
ACH-000082,-0.47037703835199995
ACH-000085,-0.00208599529882
ACH-000086,-0.052530125393400004
ACH-000087,-0.352325100962
ACH-000092,-0.25199634161400003
ACH-000095,-0.292539533719
ACH-000097,-0.30017131783100004
ACH-000098,-0.240127366452
ACH-000099,-0.294539406749
ACH-000108,-0.412148858445
ACH-000113,-0.191752751209
ACH-000115,-0.240794844759
ACH-000116,-0.25189909641999997
ACH-000118,-0.07597959817710001
ACH-000120,-0.29906436446400003
ACH-000123,-0.333482620268
ACH-000127,-0.206701502973
ACH-000128,-0.18225936270100002
ACH-000132,-0.465699577571
ACH-000133,0.0169789991168
ACH-000137,-0.0855096581222
ACH-000138,-0.275610917324
ACH-000142,-0.28757543621
ACH-000143,-0.0895689395215
ACH-000146,-0.266933737062
ACH-000148,-0.40343121264799997
ACH-000150,-0.126257025603
ACH-000152,-0.254448662748
ACH-000153,-0.0475585564346
ACH-000159,-0.45672005977499996
ACH-000160,-0.24019394564399998
ACH-000163,-0.023226946190299996
ACH-000167,-0.12957400286100001
ACH-000168,-0.730591350968
ACH-000169,-0.045514643503300006
ACH-000178,-0.460003259147
ACH-000182,-0.11924646753399999
ACH-000183,-0.36746464444300003
ACH-000188,0.0588021017532
ACH-000189,-0.26975163068
ACH-000190,-0.0590791273981
ACH-000198,-0.37694605164399997
ACH-000204,-0.261094079084
ACH-000206,-0.178565311135
ACH-000207,-0.280808337546
ACH-000211,-0.374709536149
ACH-000215,-0.18199312596099998
ACH-000221,-0.24329120726599998
ACH-000222,0.169805746639
ACH-000223,-0.427655800808
ACH-000226,-0.132728320714
ACH-000227,-0.511340932082
ACH-000228,-0.28100742338199997
ACH-000231,-0.0729809419025
ACH-000232,-0.427459333336
ACH-000233,-0.191283865929
ACH-000234,-0.531203570282
ACH-000235,-0.35261748288500006
ACH-000237,-0.248865490986
ACH-000238,-0.488074196468
ACH-000243,-0.120539114513
ACH-000244,-0.5084236376969999
ACH-000246,-0.316585550836
ACH-000248,-0.129566395863
ACH-000250,-0.256536877104
ACH-000251,-0.287156546841
ACH-000253,-0.24115208539799998
ACH-000255,-0.07546330647760001
ACH-000256,-0.32302280180799997
ACH-000257,-0.324274682435
ACH-000258,-0.24355178284600001
ACH-000259,-0.314197400206
ACH-000260,-0.311160046066
ACH-000261,-0.279023347698
ACH-000262,-0.058704178112
ACH-000263,-0.28364219767
ACH-000264,-0.188519817372
ACH-000265,-0.113160982729
ACH-000266,-0.357591635952
ACH-000272,-0.477103381914
ACH-000273,-0.179948280197
ACH-000274,-0.087203329286
ACH-000277,-0.428699864393
ACH-000278,-0.45163892995399996
ACH-000279,-0.167149167334
ACH-000280,-0.101679709101
ACH-000281,-0.260508491188
ACH-000288,-0.223654855187
ACH-000291,-0.131586754221
ACH-000293,-0.201198087115
ACH-000294,-0.23989735172600002
ACH-000295,-0.022799202639200003
ACH-000296,-0.268890927196
ACH-000302,-0.234232804394
ACH-000304,-0.23851765771699998
ACH-000307,-0.14661448366399998
ACH-000308,-0.254130480228
ACH-000310,-0.46059259241000006
ACH-000311,-0.395049697819
ACH-000312,-0.23009707603399998
ACH-000315,-0.0832006888681
ACH-000316,-0.268795266243
ACH-000317,-0.332863982033
ACH-000318,-0.195994389405
ACH-000319,-0.304342272704
ACH-000320,-0.08866183037139999
ACH-000322,-0.251944828878
ACH-000323,-0.297387967579
ACH-000324,-0.427500534106
ACH-000329,-0.363424028793
ACH-000330,-0.00655271762124
ACH-000331,-0.009429297720299998
ACH-000332,-0.308159574022
ACH-000334,-0.361029598995
ACH-000335,-0.278498420751
ACH-000336,-0.56314221071
ACH-000337,-0.163083091287
ACH-000339,-0.35846528380000003
ACH-000341,-0.162982602635
ACH-000348,-0.16897297490899998
ACH-000350,-0.429386993729
ACH-000352,-0.317395946598
ACH-000356,-0.362775162552
ACH-000361,-0.33233467994000004
ACH-000362,-0.245807035338
ACH-000363,-0.365212227138
ACH-000364,0.0215002103383
ACH-000365,-0.132119386004
ACH-000366,-0.16284413326
ACH-000368,0.0909866030071
ACH-000374,0.052654553292100004
ACH-000375,-0.123707485868
ACH-000376,-0.271877401829
ACH-000381,-0.30467417815000003
ACH-000383,-0.237165628552
ACH-000387,-0.277247805901
ACH-000389,-0.205529754604
ACH-000390,-0.215566734267
ACH-000393,-0.475916746682
ACH-000395,-0.569205847473
ACH-000397,-0.409198405572
ACH-000401,-0.052816728855300005
ACH-000402,-0.21869144707199997
ACH-000403,-0.38580242270099996
ACH-000404,0.0177873473468
ACH-000406,-0.136131714241
ACH-000407,-0.149795931251
ACH-000408,-0.48865030897399997
ACH-000410,-0.129771189331
ACH-000411,-0.334720581315
ACH-000414,-0.413052156514
ACH-000415,-0.019505889269599997
ACH-000416,-0.162290458681
ACH-000420,-0.183045104784
ACH-000421,-0.229451809858
ACH-000424,-0.115416822672
