,VPS37A (137492)
ACH-000004,-0.561559436619
ACH-000007,-0.41826841197
ACH-000009,-0.339560519357
ACH-000011,-0.722924262214
ACH-000012,-0.772725958071
ACH-000013,-0.364168099893
ACH-000014,-0.480475715384
ACH-000015,-0.562803636051
ACH-000017,-0.951396760542
ACH-000018,-0.517098578587
ACH-000019,-0.10119122393300001
ACH-000021,-0.20229285055399998
ACH-000022,-0.389377595814
ACH-000025,-0.7159335778839999
ACH-000028,-0.32620988132
ACH-000030,-0.747316827984
ACH-000035,-0.29655002090599997
ACH-000036,-0.506329357061
ACH-000037,-0.111270394494
ACH-000039,-0.33798882730700003
ACH-000040,-0.471191116995
ACH-000041,-0.096485094036
ACH-000042,-0.514705227852
ACH-000045,-0.707433997756
ACH-000047,-0.653614604223
ACH-000052,-0.37254565077600005
ACH-000053,-0.617896399454
ACH-000054,-0.959445822551
ACH-000055,-0.230623984245
ACH-000060,-0.0876449975262
ACH-000067,-0.631169392337
ACH-000070,-0.7819123911229999
ACH-000075,-0.441894122368
ACH-000078,-0.511489576337
ACH-000082,-0.23480667679699999
ACH-000085,-0.629557986761
ACH-000086,-0.33778240807099996
ACH-000087,-0.375873744651
ACH-000092,-0.6599046297110001
ACH-000095,-0.38115116818800004
ACH-000097,-0.404394301024
ACH-000098,0.29055073027399997
ACH-000099,-0.24280515970600003
ACH-000108,-0.0523736294377
ACH-000113,-0.807852468019
ACH-000115,-0.618933453838
ACH-000116,-1.16592676802
ACH-000118,-0.843523851532
ACH-000120,-0.33819161041100004
ACH-000123,-0.706261317542
ACH-000127,-1.0004302145200001
ACH-000128,-0.531871080444
ACH-000132,-0.464649151672
ACH-000133,-0.641463178693
ACH-000137,-0.705799354915
ACH-000138,-0.68638737921
ACH-000142,-0.465356864107
ACH-000143,-0.745294286437
ACH-000146,-0.534584875825
ACH-000148,-0.380749938697
ACH-000150,-0.739732230239
ACH-000152,-0.495593732559
ACH-000153,-0.787650579594
ACH-000159,-0.44579787404700005
ACH-000160,-0.8047847661030001
ACH-000163,-0.6730886923549999
ACH-000167,-1.06540920863
ACH-000168,-0.424378421916
ACH-000169,-0.733832214833
ACH-000178,-0.667978950924
ACH-000182,-0.426152043022
ACH-000183,-0.479861227397
ACH-000188,-0.787064318633
ACH-000189,-0.369425366888
ACH-000190,-0.368164637189
ACH-000198,-0.5935025451
ACH-000204,-0.34343314383
ACH-000206,-0.574497988229
ACH-000207,-1.05723929494
ACH-000211,-1.04884302045
ACH-000215,-0.476568517126
ACH-000221,-0.301865619375
ACH-000222,-0.5331041737860001
ACH-000223,-0.905963887226
ACH-000226,-0.463464686942
ACH-000227,-0.602150834155
ACH-000228,-0.46878673558999995
ACH-000231,-0.436942274671
ACH-000232,-0.48633339057999997
ACH-000233,-0.7487092950220001
ACH-000234,-0.509658188543
ACH-000235,-0.21397048758099999
ACH-000237,-0.8021730033580001
ACH-000238,-0.724946213041
ACH-000243,-0.999730773218
ACH-000244,-0.6633938991489999
ACH-000246,-0.322801871746
ACH-000248,-1.0373812365000001
ACH-000250,-0.48375311976400004
ACH-000251,-1.4412682571000002
ACH-000253,-0.22055347495299998
ACH-000255,-0.467998776012
ACH-000256,-0.773819410908
ACH-000257,-0.451239127786
ACH-000258,-0.615735773909
ACH-000259,-0.6666111500859999
ACH-000260,-0.35248113888599997
ACH-000261,-0.87905015014
ACH-000262,-0.720574489794
ACH-000263,-0.244483349151
ACH-000264,-0.818042608757
ACH-000265,-0.38123406853299996
ACH-000266,-0.325810119475
ACH-000272,-0.5044556861789999
ACH-000273,-0.278749002272
ACH-000274,-0.193801232879
ACH-000277,-1.0360180294299999
ACH-000278,-1.06639360659
ACH-000279,-0.329259237399
ACH-000280,-0.205049502131
ACH-000281,-0.244711833053
ACH-000288,-0.40962555521
ACH-000291,-0.703182306021
ACH-000293,-0.815044796152
ACH-000294,-0.7352626155900001
ACH-000295,-0.347570040558
ACH-000296,-0.685412244292
ACH-000302,-0.19404239215900002
ACH-000304,-0.45477406852499996
ACH-000307,-0.35653552441200004
ACH-000308,-0.9621100670460001
ACH-000310,-0.412695893007
ACH-000311,-0.607785730081
ACH-000312,-0.410517782808
ACH-000315,-0.427799113309
ACH-000316,-0.248922550356
ACH-000317,-0.8265044851710001
ACH-000318,-0.829095780837
ACH-000319,-0.44373788321
ACH-000320,-0.514324442212
ACH-000322,-0.566530984548
ACH-000323,-0.71514864309
ACH-000324,-0.748381988326
ACH-000329,-0.2515643226
ACH-000330,-0.583972954343
ACH-000331,-0.412874641328
ACH-000332,-0.58237498687
ACH-000334,-0.443609631796
ACH-000335,-0.6738481276649999
ACH-000336,-0.826004201349
ACH-000337,-0.551756948074
ACH-000339,-0.637604723394
ACH-000341,-0.20626474122299998
ACH-000348,-0.5149456017899999
ACH-000350,-0.507153933799
ACH-000352,-1.30750921206
ACH-000356,-0.9777003418870001
ACH-000361,-0.761000870487
ACH-000362,-0.6675783236949999
ACH-000363,-0.688002165309
ACH-000364,-0.487889306232
ACH-000365,-0.738387378701
ACH-000366,-0.318278730418
ACH-000368,-0.539241144792
ACH-000374,-0.881249425257
ACH-000375,-0.760108243319
ACH-000376,-0.26406635731899997
ACH-000381,-0.56740714779
ACH-000383,-0.201387011433
ACH-000387,-0.605890871111
ACH-000389,-0.4381261319
ACH-000390,-0.52088585105
ACH-000393,-0.568109898605
ACH-000395,-0.828904295836
ACH-000397,-0.6770406860189999
ACH-000401,-0.612212831838
ACH-000402,-0.667791821591
ACH-000403,-0.178714122523
ACH-000404,-0.649071331858
ACH-000406,-0.6958556971500001
ACH-000407,-0.30708295738200003
ACH-000408,-0.761326590893
ACH-000410,-0.4665233423
ACH-000411,-0.446781154483
ACH-000414,-0.700146148083
ACH-000415,-0.120824773948
ACH-000416,-0.7270938752330001
ACH-000420,-0.422357780674
ACH-000421,-0.23732169849399998
ACH-000424,0.164886809321
ACH-000425,-0.400821498269
ACH-000426,-0.209878349767
ACH-000427,-0.400523532736
ACH-000433,-0.465252797213
ACH-000436,-0.756730830942
ACH-000444,-0.372722901171
ACH-000445,-0.17146262670600002
ACH-000448,-0.758885591672
ACH-000450,-1.20641909637
ACH-000452,-0.458477749101
ACH-000454,-0.910846190614
ACH-000458,-0.34217124735699994
ACH-000459,-0.46407920715000006
ACH-000460,-0.849708094648
ACH-000461,-0.19496171119800002
ACH-000463,-0.603945610155
ACH-000464,-0.394165970931
ACH-000466,-0.55573110532
ACH-000467,-0.548852787673
ACH-000468,-0.33740637209700003
ACH-000469,-0.5068976673009999
ACH-000470,-1.0820424204899999
ACH-000471,-0.605139408975
ACH-000472,-1.02267742784
ACH-000473,-0.822475155158
ACH-000475,-0.779038136937
ACH-000476,-1.05159193378
ACH-000477,-0.858644633319
ACH-000480,-0.606065311129
ACH-000481,-0.595355858116
ACH-000483,-0.696524724851
ACH-000484,-1.6100997845700002
ACH-000485,-0.170934001096
ACH-000486,-0.36752007765100003
ACH-000487,-0.25806176147599996
ACH-000488,-0.5263127342130001
ACH-000490,-0.696066967775
ACH-000491,-0.6820844236470001
ACH-000495,-0.511661345654
ACH-000496,-0.6966719580609999
ACH-000499,-0.770830849894
ACH-000500,-0.918893101633
ACH-000502,-0.745336858097
ACH-000503,-0.926104098118
ACH-000505,-0.533690373113
ACH-000507,-0.39623406372299996
ACH-000510,-0.436343969688
ACH-000511,-0.661273249902
ACH-000512,-0.48003366784699997
ACH-000516,-0.426446999965
ACH-000517,-0.621521489213
ACH-000518,-1.13188089411
ACH-000520,-0.268062802903
ACH-000521,-0.610950493959
ACH-000522,-0.34299375567100004
ACH-000524,-1.41788132785
ACH-000527,-0.956557450564
ACH-000528,-0.8648869697689999
ACH-000537,-0.77295643079
ACH-000541,-0.59451776438
ACH-000542,-0.6653822844039999
ACH-000544,-0.8366817209909999
ACH-000545,-0.5547498514670001
ACH-000547,-0.26001979822099996
ACH-000548,-0.7518255502879999
ACH-000549,-0.5925046437229999
ACH-000550,-0.210394573955
ACH-000552,-0.139307048849
ACH-000556,-0.38027378349200003
ACH-000557,-0.652531072122
ACH-000570,-0.102881127247
ACH-000571,-0.47994775659199995
ACH-000573,-0.52750913202
ACH-000576,-0.546372879137
ACH-000580,-1.01839092896
ACH-000584,-1.27960264636
ACH-000585,-0.663303812054
ACH-000588,-0.29400395578099997
ACH-000589,-0.391238368082
ACH-000591,-0.409363873037
ACH-000593,-0.6907923965780001
ACH-000600,-0.7583845089769999
ACH-000601,-0.8183912073109999
ACH-000604,-0.552350718864
ACH-000605,-0.628393194348
ACH-000606,-0.679689036746
ACH-000608,-0.253674313444
ACH-000614,-0.868186209375
ACH-000616,-0.931365796545
ACH-000618,-0.37709811771799995
ACH-000619,-1.22567554818
ACH-000620,-0.504075599104
ACH-000621,-0.738580774152
ACH-000622,-0.534578135087
ACH-000623,-0.05622245604230001
ACH-000624,-0.571341039759
ACH-000627,-0.39308811446999997
ACH-000630,-0.637214326193
ACH-000632,-0.722938724642
ACH-000633,-0.737705753862
ACH-000637,-0.26633677371500003
ACH-000638,-0.574097973728
ACH-000646,-1.49004994046
ACH-000647,-0.480534875333
ACH-000648,-0.625137992306
ACH-000649,-1.09794230486
ACH-000651,-0.286256310891
ACH-000652,-1.10854107723
ACH-000653,-0.7260334512350001
ACH-000657,-0.611021430175
ACH-000658,-0.814298041983
ACH-000661,-0.52815410134
ACH-000662,-0.192685236695
ACH-000663,-0.550730623269
ACH-000665,-0.411926938401
ACH-000671,-0.543953917799
ACH-000673,-0.252082053508
ACH-000676,-0.58265828429
ACH-000677,-0.197892092764
ACH-000681,-0.550870754766
ACH-000682,-0.881679509382
ACH-000683,-0.817898656066
ACH-000684,-0.459386818142
ACH-000688,-0.883540855145
ACH-000693,-0.9022842244939999
