,MGAT4A (11320)
ACH-000004,-0.104142525935
ACH-000007,0.046006092445
ACH-000009,-0.315171472202
ACH-000011,0.0463359954488
ACH-000012,-0.22821636804
ACH-000013,-0.06935607277660001
ACH-000014,-0.210188580496
ACH-000015,-0.263105625454
ACH-000017,0.0474357699414
ACH-000018,-0.36687055750200004
ACH-000019,-0.142664945681
ACH-000021,-0.0905774802209
ACH-000022,-0.12745973036900002
ACH-000025,-0.145096089093
ACH-000028,-0.32868370046900003
ACH-000030,-0.232578244184
ACH-000035,-0.178604236353
ACH-000036,-0.0659599215294
ACH-000037,-0.026763837576
ACH-000039,-0.00944710248629
ACH-000040,0.021197073528299998
ACH-000041,-0.110139685142
ACH-000042,-0.060632287898500004
ACH-000045,-0.19760367251400002
ACH-000047,-0.0321090337014
ACH-000052,-0.0405666424959
ACH-000053,-0.125696736964
ACH-000054,-0.291444391212
ACH-000055,-0.0647485975557
ACH-000060,-0.000726902668614
ACH-000067,-0.00035337088272500007
ACH-000070,-0.0860841752531
ACH-000075,-0.22335519031999998
ACH-000078,-0.252546689143
ACH-000082,-0.16018704164699998
ACH-000085,0.113593792925
ACH-000086,-0.20069960013500002
ACH-000087,0.080993913047
ACH-000092,-0.479732904458
ACH-000095,-0.21606320456099998
ACH-000097,-0.07528607902939999
ACH-000098,-0.337833072431
ACH-000099,-0.188022584792
ACH-000108,-0.16921256452
ACH-000113,-0.297473444378
ACH-000115,-0.0294765008378
ACH-000116,-0.09885894309019999
ACH-000118,-0.253514399504
ACH-000120,-0.241784873158
ACH-000123,-0.340837791893
ACH-000127,-0.117018341524
ACH-000128,-0.20411796092099999
ACH-000132,-0.17420003049199997
ACH-000133,-0.40460997217600003
ACH-000137,-0.0775714666204
ACH-000138,-0.152043985818
ACH-000142,-0.0729720405325
ACH-000143,-0.30304470244000004
ACH-000146,-0.0676739002505
ACH-000148,-0.162005272918
ACH-000150,0.0028475527695799997
ACH-000152,-0.272770712361
ACH-000153,-0.020527455498400002
ACH-000159,-0.34462295148100003
ACH-000160,-0.317372240781
ACH-000163,-0.0939956158264
ACH-000167,-0.323932178374
ACH-000168,-0.11715587058499999
ACH-000169,-0.11900786210400001
ACH-000178,0.0112510113855
ACH-000182,-0.373943710725
ACH-000183,-0.100954052725
ACH-000188,-0.050263176142999993
ACH-000189,-0.0147187470616
ACH-000190,-0.204346832392
ACH-000198,-0.07000806432310001
ACH-000204,-0.23140721825399999
ACH-000206,-0.255256334497
ACH-000207,-0.210406185869
ACH-000211,-0.329435801606
ACH-000215,-0.160387967203
ACH-000221,-0.166461486072
ACH-000222,-0.196916751146
ACH-000223,-0.40190022123
ACH-000226,-0.17357223793499998
ACH-000227,-0.29723607044399997
ACH-000228,-0.383178756799
ACH-000231,-0.0921186794297
ACH-000232,-0.172072280914
ACH-000233,-0.318371425244
ACH-000234,-0.09330324753810001
ACH-000235,-0.21619739917199998
ACH-000237,-0.0901072757199
ACH-000238,0.0187851057873
ACH-000243,-0.33310959196600004
ACH-000244,-0.234928146206
ACH-000246,-0.18767935630399998
ACH-000248,-0.059208728213
ACH-000250,-0.107349951646
ACH-000251,-0.39093891132200004
ACH-000253,-0.121666481665
ACH-000255,-0.256912026972
ACH-000256,-0.10809713648199999
ACH-000257,-0.164356683205
ACH-000258,0.00043990949007199995
ACH-000259,-0.113528669316
ACH-000260,-0.178342419853
ACH-000261,-0.208132672966
ACH-000262,-0.0844175282945
ACH-000263,0.0982361489576
ACH-000264,-0.051090432114199995
ACH-000265,-0.317356166975
ACH-000266,-0.0751695593085
ACH-000272,-0.222878235215
ACH-000273,-0.197301233869
ACH-000274,-0.214119983268
