,TRABD2B (388630)
ACH-000004,-0.289369932914
ACH-000007,-0.25485727507
ACH-000009,-0.29276303601799997
ACH-000011,-0.105400184995
ACH-000012,-0.271905578906
ACH-000013,-0.253893340955
ACH-000014,-0.32589017256999997
ACH-000015,-0.0451022787649
ACH-000017,-0.140915119134
ACH-000018,-0.221161683497
ACH-000019,-0.0909194794645
ACH-000021,-0.280206727034
ACH-000022,-0.22324963678399998
ACH-000025,-0.22796425515299998
ACH-000028,-0.177656589993
ACH-000030,-0.249434334714
ACH-000035,-0.356515440806
ACH-000036,-0.0896176586474
ACH-000037,-0.125129785603
ACH-000039,-0.0793057515342
ACH-000040,-0.0698556305183
ACH-000041,-0.30350943203
ACH-000042,-0.0570371031693
ACH-000045,-0.12325788974099999
ACH-000047,-0.07933649473339999
ACH-000052,-0.166550012532
ACH-000053,-0.180291509677
ACH-000054,-0.202096027907
ACH-000055,-0.239748312675
ACH-000060,-0.147785790107
ACH-000067,-0.13458320460999998
ACH-000070,-0.102339446865
ACH-000075,-0.24257320130100002
ACH-000078,0.0284644829771
ACH-000082,-0.0821577266744
ACH-000085,-0.230796209041
ACH-000086,-0.29516994575800004
ACH-000087,-0.31380553655
ACH-000092,-0.171256964784
ACH-000095,-0.171613557533
ACH-000097,-0.016605934939399998
ACH-000098,-0.174012408443
ACH-000099,-0.296059145543
ACH-000108,-0.11822891462099999
ACH-000113,-0.0614573353019
ACH-000115,0.0557162342505
ACH-000116,-0.144960276172
ACH-000118,-0.158929484501
ACH-000120,-0.226562461745
ACH-000123,-0.10279732069900001
ACH-000127,-0.24736956642900002
ACH-000128,-0.439609590711
ACH-000132,-0.315634289384
ACH-000133,-0.16237286739600001
ACH-000137,-0.444362741774
ACH-000138,-0.354914826141
ACH-000142,-0.2927417109
ACH-000143,-0.16588378788799998
ACH-000146,-0.161839071669
ACH-000148,-0.0143125069399
ACH-000150,-0.31273668674800004
ACH-000152,-0.130876970876
ACH-000153,-0.5193245448430001
ACH-000159,-0.120882773414
ACH-000160,-0.127894621142
ACH-000163,-0.106320316266
ACH-000167,-0.2981461741
ACH-000168,-0.035388870137999996
ACH-000169,-0.17727455777399997
ACH-000178,-0.194864887436
ACH-000182,-0.0246979483966
ACH-000183,-0.303608757533
ACH-000188,-0.171523265058
ACH-000189,-0.00551453762453
ACH-000190,-0.031765996024700004
ACH-000198,-0.227564857503
ACH-000204,-0.46881245734099997
ACH-000206,0.0124060972128
ACH-000207,-0.546947131636
ACH-000211,0.035403649473
ACH-000215,-0.144750479764
ACH-000221,-0.34533888034500004
ACH-000222,-0.205606385959
ACH-000223,-0.0908049720123
ACH-000226,-0.191379666622
ACH-000227,-0.131924811041
ACH-000228,-0.242407790037
ACH-000231,-0.220525040526
ACH-000232,-0.175169930919
ACH-000233,-0.0850256906624
ACH-000234,-0.290524865317
ACH-000235,-0.194986925881
ACH-000237,-0.00903665145113
ACH-000238,-0.17476422241599998
ACH-000243,-0.187950834095
ACH-000244,-0.06983796956289999
ACH-000246,-0.18532914813499998
ACH-000248,-0.0894792796257
ACH-000250,-0.159557979214
ACH-000251,-0.0684244759272
ACH-000253,-0.279266497144
ACH-000255,-0.248286322395
ACH-000256,-0.16040938681199998
ACH-000257,-0.00310099217826
ACH-000258,-0.266251216157
ACH-000259,-0.304017351333
ACH-000260,-0.229226937872
ACH-000261,-0.202644304445
ACH-000262,-0.31219577945300003
ACH-000263,-0.270280806127
ACH-000264,-0.122477808579
ACH-000265,-0.285021960413
ACH-000266,-0.143681343993
ACH-000272,-0.24625641157900002
ACH-000273,-0.186745495667
ACH-000274,-0.158108241156
ACH-000277,-0.127255351715
ACH-000278,-0.110909262432
ACH-000279,-0.21199356077
ACH-000280,-0.164588411448
ACH-000281,-0.12621989656500002
ACH-000288,-0.248428157741
ACH-000291,-0.271294449031
ACH-000293,-0.263033164611
ACH-000294,-0.15879633377900002
ACH-000295,-0.23338328678800002
ACH-000296,-0.510977972716
ACH-000302,-0.161102795382
ACH-000304,0.157100114551
ACH-000307,-0.14290041207100002
ACH-000308,0.0015736209622899998
ACH-000310,-0.16670544547
ACH-000311,-0.116157854339
ACH-000312,-0.37613317434199994
ACH-000315,-0.294716823315
ACH-000316,-0.28408793025199996
ACH-000317,-0.40206933344400003
ACH-000318,-0.279221117811
ACH-000319,-0.144664613625
ACH-000320,-0.237881171707
ACH-000322,-0.15800813563899999
ACH-000323,-0.273190455291
ACH-000324,-0.186508182029
ACH-000329,-0.203496325052
ACH-000330,-0.224083274064
ACH-000331,-0.27810631115400003
ACH-000332,-0.22370530639400002
ACH-000334,-0.227378536312
ACH-000335,-0.23941240902199998
ACH-000336,0.246838632962
ACH-000337,-0.0697936136646
ACH-000339,-0.112247472381
ACH-000341,-0.303016454701
ACH-000348,-0.163733765761
ACH-000350,-0.10910409309800001
ACH-000352,-0.11679121682600001
ACH-000356,-0.259742072659
ACH-000361,0.07428002623369999
