,AHNAK (79026)
ACH-000004,-0.268202848138
ACH-000007,0.168378957613
ACH-000009,-0.172973318748
ACH-000011,-0.193894777835
ACH-000012,-0.233269600918
ACH-000013,-0.244455400503
ACH-000014,0.0561231259982
ACH-000015,-0.232242686955
ACH-000017,-0.17544131952300002
ACH-000018,-0.320964152223
ACH-000019,-0.32808385943
ACH-000021,-0.335002484641
ACH-000022,-0.24602317889199998
ACH-000025,-0.08571791081329999
ACH-000028,-0.496414457211
ACH-000030,-0.15163349185
ACH-000035,-0.00215983837829
ACH-000036,-0.0736723329065
ACH-000037,-0.273357945778
ACH-000039,-0.233302306272
ACH-000040,-0.265184414113
ACH-000041,-0.249707343385
ACH-000042,-0.17595960283
ACH-000045,-0.288107981124
ACH-000047,-0.128163648726
ACH-000052,-0.0942036127626
ACH-000053,-0.23705752879900002
ACH-000054,0.0025163292183
ACH-000055,0.015420664074
ACH-000060,-0.187020214417
ACH-000067,0.16186601026699998
ACH-000070,-0.32680792386
ACH-000075,-0.34476914014399995
ACH-000078,-0.421798418172
ACH-000082,-0.34359697933899996
ACH-000085,-0.26498337230700003
ACH-000086,-0.41425756685099996
ACH-000087,-0.162301436852
ACH-000092,0.0033109821395500005
ACH-000095,-0.0937016196122
ACH-000097,-0.46856172708800004
ACH-000098,-0.13173225775699998
ACH-000099,-0.205929001706
ACH-000108,-0.44812459175499997
ACH-000113,-0.207849423963
ACH-000115,-0.194658237225
ACH-000116,-0.427106993305
ACH-000118,-0.477578717723
ACH-000120,-0.21386735796
ACH-000123,-0.171639409145
ACH-000127,-0.161130392749
ACH-000128,-0.0385380963256
ACH-000132,-0.39718335469899996
ACH-000133,-0.282278406745
ACH-000137,-0.341867972609
ACH-000138,-0.306989038293
ACH-000142,-0.154328707418
ACH-000143,-0.078105620391
ACH-000146,-0.18106612873599998
ACH-000148,-0.258110927718
ACH-000150,-0.545203948089
ACH-000152,-0.20152692516100001
ACH-000153,-0.38984821381800006
ACH-000159,-0.12902742485899998
ACH-000160,-0.249903993467
ACH-000163,-0.208923796797
ACH-000167,-0.0631167813437
ACH-000168,-0.281224693137
ACH-000169,-0.14495384002699999
ACH-000178,-0.0952781901991
ACH-000182,-0.107278687166
ACH-000183,-0.36586347164000005
ACH-000188,-0.266511574099
ACH-000189,-0.454448422444
ACH-000190,-0.0582070179701
ACH-000198,-0.163148786606
ACH-000204,-0.445784821501
ACH-000206,-0.108203936985
ACH-000207,-0.28642395494899997
ACH-000211,-0.18086884918499999
ACH-000215,-0.146083523871
ACH-000221,-0.33369492969000003
ACH-000222,-0.23970285758499998
ACH-000223,-0.211997526653
ACH-000226,-0.133677693898
ACH-000227,-0.12399153870999999
ACH-000228,-0.44397213642800004
ACH-000231,-0.0561046508143
ACH-000232,-0.139659972679
ACH-000233,-0.119683287797
ACH-000234,-0.10078848821599999
ACH-000235,-0.290986482665
ACH-000237,-0.17353638820199999
ACH-000238,-0.0927673655036
ACH-000243,-0.112907910011
ACH-000244,-0.32670122136199997
ACH-000246,-0.17712108862999998
ACH-000248,-0.08985196935730001
ACH-000250,-0.327652274217
ACH-000251,-0.17677096136599998
ACH-000253,-0.27198180284
ACH-000255,-0.134809344765
ACH-000256,-0.323581261709
ACH-000257,-0.588373420878
ACH-000258,-0.29781605671100003
