,HIBCH (26275)
ACH-000004,-0.00136654617819
ACH-000007,-0.0992954736014
ACH-000009,-0.143932768894
ACH-000011,-0.158300776594
ACH-000012,-0.09344938507060001
ACH-000013,-0.128337052297
ACH-000014,-0.0582336980504
ACH-000015,-0.17478110800799998
ACH-000017,-0.0182981137528
ACH-000018,-0.112342254718
ACH-000019,0.0827865248073
ACH-000021,-0.0768141414547
ACH-000022,-0.162456306687
ACH-000025,-0.0475621248109
ACH-000028,-0.209823173461
ACH-000030,-0.0265476425936
ACH-000035,0.0421094765202
ACH-000036,0.161992453242
ACH-000037,-0.163078065728
ACH-000039,-0.18118501309
ACH-000040,-0.19818631343600002
ACH-000041,0.006706909439470001
ACH-000042,-0.118054546151
ACH-000045,-0.13521161348400002
ACH-000047,0.00457240866825
ACH-000052,-0.22488307042599998
ACH-000053,-0.055686404554300004
ACH-000054,-0.254469654043
ACH-000055,0.0623338744168
ACH-000060,0.12554194566
ACH-000067,-0.0563483402915
ACH-000070,0.18039125122900002
ACH-000075,-0.269010206654
ACH-000078,-0.128893438123
ACH-000082,-0.10309367432600001
ACH-000085,-0.208838670224
ACH-000086,-0.12887794110300002
ACH-000087,-0.17233010712299998
ACH-000092,-0.22143576690699998
ACH-000095,-0.11844913278899999
ACH-000097,-0.136561376729
ACH-000098,-0.15754174248400002
ACH-000099,-0.166648634917
ACH-000108,-0.0791630797742
ACH-000113,-0.166899548769
ACH-000115,-0.0544238002441
ACH-000116,-0.102317870959
ACH-000118,-0.11035102441099999
ACH-000120,-0.0432379199598
ACH-000123,-0.132928571766
ACH-000127,0.050410128883600004
ACH-000128,-0.0732979687745
ACH-000132,-0.173428365163
ACH-000133,-0.278762826317
ACH-000137,-0.190000272419
ACH-000138,-0.166511516571
ACH-000142,-0.06477680813009999
ACH-000143,-0.018807181768400003
ACH-000146,-0.0350949824637
ACH-000148,-0.201811886953
ACH-000150,-0.0072284955001300005
ACH-000152,-0.09557399376710002
ACH-000153,-0.341848348898
ACH-000159,-0.0712833234079
ACH-000160,-0.15228511990399998
ACH-000163,-0.12776786909
ACH-000167,-0.149863002842
ACH-000168,-0.023483049141899998
ACH-000169,-0.331891705523
ACH-000178,-0.113032629884
ACH-000182,-0.20351859688
ACH-000183,-0.23920393609
ACH-000188,-0.0173771235802
ACH-000189,0.0513252233782
ACH-000190,-0.35938762889200004
ACH-000198,-0.160909775638
ACH-000204,-0.252764725312
ACH-000206,-0.0020808578341900003
ACH-000207,0.06587638412209999
ACH-000211,-0.202023161191
ACH-000215,-0.0390235242865
ACH-000221,-0.226929057405
ACH-000222,-0.150881030423
ACH-000223,-0.112426249374
ACH-000226,-0.0951660883404
ACH-000227,-0.28438384232700004
ACH-000228,-0.126940137931
ACH-000231,-0.0383603662579
ACH-000232,-0.0317465503085
ACH-000233,-0.111078221039
ACH-000234,0.026264838834500003
ACH-000235,-0.0765656615242
ACH-000237,-0.24777745786999997
ACH-000238,-0.0643722135058
ACH-000243,-0.08958311561389999
ACH-000244,0.0449059573913
ACH-000246,-0.139961271502
ACH-000248,-0.13270105936899998
ACH-000250,-0.131546088872
ACH-000251,0.135528501031
ACH-000253,-0.0792106521453
ACH-000255,0.0171056811354
ACH-000256,-0.07679516271430001
ACH-000257,0.246255028661
ACH-000258,0.0572017480753
ACH-000259,0.00183078133054
ACH-000260,-0.183841301275
ACH-000261,-0.11127646702999999
ACH-000262,-0.0658534981304
ACH-000263,-0.0188023514312
ACH-000264,-0.157042178123
ACH-000265,-0.131536503696
ACH-000266,-0.078352446468
ACH-000272,-0.18755244352800002
ACH-000273,-0.199771364379
ACH-000274,-0.213023442339
ACH-000277,-0.168848171417
ACH-000278,-0.312025818131
ACH-000279,-0.140122456612
ACH-000280,-0.0890891738291
ACH-000281,-0.131455002583
ACH-000288,-0.175939085636
ACH-000291,-0.150270892796
ACH-000293,-0.132301599805
ACH-000294,0.0045236020985
ACH-000295,-0.149830439545
ACH-000296,-0.22335209907200002
ACH-000302,-0.0519259132051
ACH-000304,-0.13636072627
ACH-000307,-0.173974718031
ACH-000308,-0.174289334593
ACH-000310,-0.0479779497264
ACH-000311,0.061368575781300005
ACH-000312,-0.0533850895939
ACH-000315,0.0035795865734000003
ACH-000316,-0.027116113303400004
ACH-000317,-0.050586720120099994
ACH-000318,-0.206841060535
ACH-000319,-0.07871841262939999
ACH-000320,-0.0394251778074
ACH-000322,0.0894853673895
ACH-000323,-0.0842310473093
ACH-000324,-0.0481501805457
ACH-000329,-0.0687448826571
ACH-000330,0.0706399941671
ACH-000331,-0.10952604040899999
ACH-000332,-0.0955714285317
ACH-000334,-0.16463148615700002
ACH-000335,-0.46723682471100003
ACH-000336,-0.233306361939
ACH-000337,-0.46798487586099996
ACH-000339,-0.0509306546669
ACH-000341,-0.117486963485
ACH-000348,-0.0926259682805
ACH-000350,0.054763509011399994
ACH-000352,-0.0824837124834
ACH-000356,0.059089826655900006
ACH-000361,-0.10965673079800001
ACH-000362,-0.0023548669771599998
ACH-000363,0.0029434068953999998
ACH-000364,-0.20106438035399998
ACH-000365,-0.212582959291
ACH-000366,-0.06716572362819999
ACH-000368,-0.17039465482500002
ACH-000374,-0.0285799905032
ACH-000375,-0.18014899103100002
ACH-000376,-0.029991433924500002
ACH-000381,-0.0720941571541
ACH-000383,-0.239952009375
ACH-000387,-0.21741435017900002
ACH-000389,-0.0892107149911
ACH-000390,-0.08461400455849999
