,ETF1 (2107)
ACH-000004,-2.21446620644
ACH-000007,-1.74894590495
ACH-000009,-1.70660007479
ACH-000011,-1.63090011101
ACH-000012,-1.8681122794999998
ACH-000013,-1.90906960259
ACH-000014,-1.93461546219
ACH-000015,-1.91703547945
ACH-000017,-2.2390055033099996
ACH-000018,-1.86246190289
ACH-000019,-1.8172984958200002
ACH-000021,-1.6341146606799999
ACH-000022,-1.87640612496
ACH-000025,-1.51094022177
ACH-000028,-1.65126185477
ACH-000030,-1.94966793818
ACH-000035,-1.40440121761
ACH-000036,-1.70354537915
ACH-000037,-2.59707237141
ACH-000039,-1.65063602033
ACH-000040,-1.81765356458
ACH-000041,-1.70513845939
ACH-000042,-1.62288238557
ACH-000045,-2.21055545107
ACH-000047,-1.7340042118799999
ACH-000052,-1.77609049043
ACH-000053,-1.82738753538
ACH-000054,-1.92483825532
ACH-000055,-2.10166559283
ACH-000060,-1.78145287974
ACH-000067,-1.6284848647
ACH-000070,-2.05412970748
ACH-000075,-1.67368756068
ACH-000078,-2.01363715504
ACH-000082,-2.05328327683
ACH-000085,-1.59282973536
ACH-000086,-1.66394101302
ACH-000087,-1.8592173218599999
ACH-000092,-1.78274209241
ACH-000095,-1.88436899587
ACH-000097,-1.9902106939099997
ACH-000098,-1.67241025602
ACH-000099,-1.92341210085
ACH-000108,-1.8983649043400002
ACH-000113,-2.1647631724700003
ACH-000115,-2.3664411386
ACH-000116,-1.90823201998
ACH-000118,-1.5916867776299999
ACH-000120,-1.79841258292
ACH-000123,-1.8367582078799998
ACH-000127,-1.81716050478
ACH-000128,-1.7621227448199999
ACH-000132,-1.8610946158700001
ACH-000133,-1.80317948697
ACH-000137,-1.5612494828299999
ACH-000138,-1.79911647395
ACH-000142,-1.85212906975
ACH-000143,-1.6539196092
ACH-000146,-2.0615737970700003
ACH-000148,-1.9153641113900002
ACH-000150,-1.45988112407
ACH-000152,-1.6855082186500001
ACH-000153,-1.68763559011
ACH-000159,-1.9961718743
ACH-000160,-1.8238816704499998
ACH-000163,-1.7474881369400002
ACH-000167,-1.9580288309
ACH-000168,-1.6771060493799999
ACH-000169,-1.70648872451
ACH-000178,-1.7420719989500002
ACH-000182,-1.72499330593
ACH-000183,-2.0322940774
ACH-000188,-1.95208980229
ACH-000189,-1.4870971378600002
ACH-000190,-1.99508172905
ACH-000198,-2.08004735592
ACH-000204,-1.9555682733200002
ACH-000206,-1.73057169883
ACH-000207,-2.04490788398
ACH-000211,-1.7930959378799998
ACH-000215,-1.9856765934799998
ACH-000221,-2.0764784495599997
ACH-000222,-1.94783543271
ACH-000223,-2.06818492989
ACH-000226,-1.60931505849
ACH-000227,-2.09345547752
ACH-000228,-1.84662737223
ACH-000231,-1.70185490725
ACH-000232,-1.7539616431799998
ACH-000233,-1.74922552588
ACH-000234,-1.9247070763599998
ACH-000235,-1.9401614279900004
ACH-000237,-1.5917875363799998
ACH-000238,-2.06014124058
ACH-000243,-1.70726644841
ACH-000244,-1.8968580498199998
ACH-000246,-1.7651343671900002
ACH-000248,-1.63622490464
ACH-000250,-1.78870126384
ACH-000251,-1.4515296964
ACH-000253,-1.9575211952400002
ACH-000255,-1.64478215038
ACH-000256,-1.9596867604799997
ACH-000257,-2.00734869854
ACH-000258,-1.5988169214399999
ACH-000259,-1.94002240281
ACH-000260,-1.7554782567900002
ACH-000261,-1.67362177722
ACH-000262,-1.6862615004100001
ACH-000263,-1.9878838911599999
ACH-000264,-2.00137857773
ACH-000265,-1.7726333511
ACH-000266,-1.72991209815
ACH-000272,-1.7126326061000001
ACH-000273,-1.9273108238900003
ACH-000274,-2.20026061242
ACH-000277,-1.87822477178
ACH-000278,-1.3121828984000001
