,DOHH (83475)
ACH-000004,-0.7763094732510001
ACH-000007,-0.9669830124619999
ACH-000009,-0.873422544244
ACH-000011,-0.787186169728
ACH-000012,-0.807262644516
ACH-000013,-0.996943258404
ACH-000014,-0.76057475424
ACH-000015,-0.959532076839
ACH-000017,-0.80952622442
ACH-000018,-1.2042239041299998
ACH-000019,-0.21535203575800002
ACH-000021,-0.7071962350319999
ACH-000022,-1.0358942974299998
ACH-000025,-0.924152696203
ACH-000028,-0.753549268735
ACH-000030,-0.9711095232729999
ACH-000035,-1.06073324323
ACH-000036,-0.86264645073
ACH-000037,-0.8410830617399999
ACH-000039,-0.367807772514
ACH-000040,-0.889328709145
ACH-000041,-0.9307075870200001
ACH-000042,-0.550763255473
ACH-000045,-0.646308716927
ACH-000047,-0.713706548953
ACH-000052,-0.896410231163
ACH-000053,-0.791063553949
ACH-000054,-0.874886527622
ACH-000055,-0.7497216998890001
ACH-000060,-0.908955784986
ACH-000067,-0.641496032031
ACH-000070,-0.994636703037
ACH-000075,-0.793579708468
ACH-000078,-0.673892567645
ACH-000082,-0.528800670348
ACH-000085,-1.13293172767
ACH-000086,-1.0566936982600001
ACH-000087,-0.5315825066359999
ACH-000092,-1.02776282123
ACH-000095,-0.7652850863699999
ACH-000097,-0.585334106258
ACH-000098,-1.1670287189
ACH-000099,-0.7848739973469999
ACH-000108,-0.715690781198
ACH-000113,-0.6981999562160001
ACH-000115,-1.6034114154299999
ACH-000116,-0.66124359327
ACH-000118,-0.697153795371
ACH-000120,-0.852825278899
ACH-000123,-0.836656705888
ACH-000127,-0.983865957326
ACH-000128,-1.26955976442
ACH-000132,-0.9608188244429999
ACH-000133,-0.635986101474
ACH-000137,-0.9727216665649999
ACH-000138,-0.7869358662710001
ACH-000142,-1.08238236921
ACH-000143,-0.928810760728
ACH-000146,-0.383773946076
ACH-000148,-0.799678721389
ACH-000150,-1.08190438214
ACH-000152,-0.470566195422
ACH-000153,-1.2092829751799998
ACH-000159,-0.502651986262
ACH-000160,-0.640149031202
ACH-000163,-0.934328104182
ACH-000167,-0.767901175166
ACH-000168,-0.7510375462890001
ACH-000169,-0.843981544361
ACH-000178,-0.9148459468469999
ACH-000182,-0.994122928822
ACH-000183,-0.663604110506
ACH-000188,-1.00647169497
ACH-000189,-0.814308924561
ACH-000190,-0.9913580340979999
ACH-000198,-0.774360806356
ACH-000204,-1.08662032101
ACH-000206,-0.267403485537
ACH-000207,-0.9829382677099999
ACH-000211,-0.9734353031999999
ACH-000215,-1.06151936373
ACH-000221,-1.0495436712000001
ACH-000222,-0.500261294077
ACH-000223,-0.614633069622
ACH-000226,-0.724250956954
ACH-000227,-1.01620917079
ACH-000228,-0.450705561311
ACH-000231,-0.7052310331559999
ACH-000232,-0.929411500808
ACH-000233,-0.9243506541299998
ACH-000234,-0.810640581823
ACH-000235,-0.753202596323
ACH-000237,-0.859345073055
ACH-000238,-0.597412041259
ACH-000243,-0.702592253746
ACH-000244,-0.60847162265
ACH-000246,-0.606153682316
ACH-000248,-1.09650305689
ACH-000250,-0.942789738736
ACH-000251,-1.16022920295
ACH-000253,-0.540151911063
ACH-000255,-1.0270977075499998
ACH-000256,-0.831028200397
ACH-000257,-0.9480360255320001
ACH-000258,-0.653309991874
ACH-000259,-0.79684242656
ACH-000260,-0.943561444327
ACH-000261,-0.48271386000200006
ACH-000262,-0.978758749744
ACH-000263,-0.8991102473200001
ACH-000264,-0.40512894708
ACH-000265,-0.862354781382
ACH-000266,-0.690482088741
ACH-000272,-0.7531069796100001
ACH-000273,-0.6789951342380001
ACH-000274,-0.276242302046
ACH-000277,-0.7766753996920001
ACH-000278,-1.09949425091
ACH-000279,-1.0808166719499999
ACH-000280,-0.763200222544
ACH-000281,-0.854807721611
ACH-000288,-1.0057788968
ACH-000291,-0.862075241502
ACH-000293,-0.72502919211
ACH-000294,-1.0584590256200002
ACH-000295,-0.628408878759
ACH-000296,-0.9299458643940001
ACH-000302,-1.0269738859
ACH-000304,-0.738928826626
ACH-000307,-1.0256270710600002
ACH-000308,-0.547525866948
