,POLR3B (55703)
ACH-000004,-1.0144033464700002
ACH-000007,-1.4464957999099999
ACH-000009,-1.69569881514
ACH-000011,-1.35437665662
ACH-000012,-1.6340353129299998
ACH-000013,-1.58572529468
ACH-000014,-1.11535399763
ACH-000015,-1.3945203960299999
ACH-000017,-1.42778662815
ACH-000018,-1.46147325505
ACH-000019,-1.49284513001
ACH-000021,-1.5419307115799998
ACH-000022,-1.4392514502200002
ACH-000025,-1.4442034539300002
ACH-000028,-1.44850190293
ACH-000030,-1.66460474697
ACH-000035,-1.63759419253
ACH-000036,-1.6479101542899999
ACH-000037,-1.88340181383
ACH-000039,-1.47413125759
ACH-000040,-1.2362248330299999
ACH-000041,-1.15132938199
ACH-000042,-1.7025501602700002
ACH-000045,-1.6130866391999998
ACH-000047,-1.42042619785
ACH-000052,-1.2934941426
ACH-000053,-1.24806822498
ACH-000054,-1.6724822941100002
ACH-000055,-1.3701513605000002
ACH-000060,-1.50265788771
ACH-000067,-1.62562815139
ACH-000070,-1.71413346083
ACH-000075,-2.1620992111
ACH-000078,-1.64580573917
ACH-000082,-1.77196555379
ACH-000085,-1.58290817822
ACH-000086,-1.33860519076
ACH-000087,-1.25488045845
ACH-000092,-1.63807619789
ACH-000095,-1.77337418344
ACH-000097,-1.46344000708
ACH-000098,-1.51324410166
ACH-000099,-1.5336357513299999
ACH-000108,-1.3489500523
ACH-000113,-1.63327925758
ACH-000115,-1.2954612567100001
ACH-000116,-1.66654969634
ACH-000118,-1.2791799173
ACH-000120,-1.2225487312
ACH-000123,-1.6245113857700002
ACH-000127,-1.6239477617500002
ACH-000128,-1.42557007247
ACH-000132,-1.68688880982
ACH-000133,-1.7165942047299998
ACH-000137,-1.32554220589
ACH-000138,-1.54042462248
ACH-000142,-1.5164271621599998
ACH-000143,-1.42953801817
ACH-000146,-1.1205946635600001
ACH-000148,-1.2947574445
ACH-000150,-1.62175412628
ACH-000152,-1.52146477606
ACH-000153,-1.4876030877200002
ACH-000159,-1.55481585398
ACH-000160,-1.34190711971
ACH-000163,-1.4117097061500001
ACH-000167,-1.55198622146
ACH-000168,-1.3023500405500001
ACH-000169,-1.34194562949
ACH-000178,-1.4346201353299999
ACH-000182,-1.5820577996599998
ACH-000183,-1.29623772567
ACH-000188,-1.5443335286000002
ACH-000189,-1.31390673101
ACH-000190,-1.31173964983
ACH-000198,-1.58545796943
ACH-000204,-1.72641748442
ACH-000206,-1.51548053833
ACH-000207,-1.9569733614099998
ACH-000211,-1.56480957914
ACH-000215,-1.62753745744
ACH-000221,-1.30510074264
ACH-000222,-1.6346872299500002
ACH-000223,-1.82859440569
