,TBC1D10A (83874)
ACH-000004,-0.334092760995
ACH-000007,0.031189851654099997
ACH-000009,-0.320689103719
ACH-000011,-0.25941875227899996
ACH-000012,-0.0369167683223
ACH-000013,-0.49401023665
ACH-000014,-0.051503959217300006
ACH-000015,-0.320323117875
ACH-000017,-0.0930229733291
ACH-000018,-0.371055304978
ACH-000019,-0.543995195335
ACH-000021,-0.361243389811
ACH-000022,-0.205832258165
ACH-000025,-0.196340299726
ACH-000028,-0.268251617386
ACH-000030,-0.261920473502
ACH-000035,-0.091218453473
ACH-000036,-0.22084533814100002
ACH-000037,-0.14724702848500001
ACH-000039,-0.148527392044
ACH-000040,-0.0720990127254
ACH-000041,-0.363012316835
ACH-000042,-0.424362129605
ACH-000045,-0.14365901569599998
ACH-000047,-0.134186457715
ACH-000052,-0.00975809124171
ACH-000053,-0.25976712736900004
ACH-000054,-0.128026810778
ACH-000055,-0.15209975467700002
ACH-000060,-0.264251552536
ACH-000067,-0.0139977172912
ACH-000070,-0.155196437495
ACH-000075,-0.115592239331
ACH-000078,-0.289499248649
ACH-000082,-0.125855021554
ACH-000085,0.0389875551795
ACH-000086,0.0624806607748
ACH-000087,-0.209198082011
ACH-000092,-0.22373383342300002
ACH-000095,-0.28912185188
ACH-000097,-0.339819844164
ACH-000098,-0.15961950682499998
ACH-000099,-0.233099777359
ACH-000108,-0.168829497922
ACH-000113,-0.0896383836343
ACH-000115,-0.173852628966
ACH-000116,-0.22221502893199999
ACH-000118,-0.181750650714
ACH-000120,-0.139571976262
ACH-000123,-0.08294312559460001
ACH-000127,-0.0448351220302
ACH-000128,-0.0627653189697
ACH-000132,-0.195466067664
ACH-000133,-0.244994727709
ACH-000137,-0.14909460646199998
ACH-000138,0.0591356968558
ACH-000142,-0.0401644728285
ACH-000143,-0.212993947784
ACH-000146,-0.256880615745
ACH-000148,-0.0679066196574
ACH-000150,-0.0210024416825
ACH-000152,-0.128531048229
ACH-000153,-0.18931633467
ACH-000159,0.00757588543575
ACH-000160,-0.377812128032
ACH-000163,-0.07908850707710001
ACH-000167,-0.27682896618
ACH-000168,-0.163234405657
ACH-000169,-0.17127796331300002
ACH-000178,-0.14893529126900001
ACH-000182,-0.0120416458647
ACH-000183,-0.265040918265
ACH-000188,-0.12316416648800001
ACH-000189,-0.153347072656
ACH-000190,-0.229757412117
ACH-000198,-0.138792896061
ACH-000204,0.07362559672730001
ACH-000206,-0.223534380431
ACH-000207,0.147335062583
ACH-000211,-0.277972123211
ACH-000215,-0.129523307349
ACH-000221,-0.11801907855999999
ACH-000222,-0.142909120302
ACH-000223,-0.311812693391
