,ZFP36L2 (678)
ACH-000004,-0.586669124691
ACH-000007,-0.278180578466
ACH-000009,-0.142286612883
ACH-000011,-0.479893296365
ACH-000012,-0.21424876808499999
ACH-000013,-0.223528794702
ACH-000014,-0.28717063595
ACH-000015,-0.01414286371
ACH-000017,-0.5143318956180001
ACH-000018,-0.165460468323
ACH-000019,-0.280829726387
ACH-000021,-0.08871601751019999
ACH-000022,0.11646000762700001
ACH-000025,-0.232210562714
ACH-000028,-0.0052129112760900004
ACH-000030,-0.228828642248
ACH-000035,-0.31867500039
ACH-000036,-0.138659592692
ACH-000037,-0.144633567202
ACH-000039,-0.408430371061
ACH-000040,-0.366222889371
ACH-000041,-0.143076938685
ACH-000042,-0.20755184119399997
ACH-000045,-0.924226633281
ACH-000047,-0.0658608172345
ACH-000052,-0.099775680965
ACH-000053,-0.19851100837000002
ACH-000054,-0.194498782789
ACH-000055,-0.28439184265
ACH-000060,-0.134668318145
ACH-000067,-0.328429661076
ACH-000070,-0.119057753073
ACH-000075,-0.0782066673498
ACH-000078,-0.128253031266
ACH-000082,-0.185637616099
ACH-000085,-0.6055686907869999
ACH-000086,-0.194136765627
ACH-000087,-0.23620650770399998
ACH-000092,-0.258932616109
ACH-000095,0.383693645999
ACH-000097,-0.297395404616
ACH-000098,-0.0065055989408200005
ACH-000099,-0.542066215037
ACH-000108,-0.409824493051
ACH-000113,-0.748401523176
ACH-000115,0.6774324443809999
ACH-000116,-0.180899039784
ACH-000118,-0.14697132813
ACH-000120,-0.060052537758
ACH-000123,-0.0475760134824
ACH-000127,-0.299277659554
ACH-000128,-0.07759481224999999
ACH-000132,-0.6407307488930001
ACH-000133,-0.256670768481
ACH-000137,-0.37215240172799996
ACH-000138,-0.210100075047
ACH-000142,-0.280116293792
ACH-000143,0.0473024703978
ACH-000146,-0.6883935806460001
ACH-000148,-0.334235857656
ACH-000150,0.0151150993845
ACH-000152,-0.154875848107
ACH-000153,-0.624257960279
ACH-000159,-0.149879660463
