,ASPM (259266)
ACH-000004,-0.387549424063
ACH-000007,-0.310570421329
ACH-000009,-0.495756375713
ACH-000011,-0.48042469981799996
ACH-000012,-0.5302222599499999
ACH-000013,-0.863044268617
ACH-000014,-0.298977959583
ACH-000015,-0.544873671295
ACH-000017,-0.687880451153
ACH-000018,-0.32534026279
ACH-000019,-0.505270844194
ACH-000021,-0.46119146915700004
ACH-000022,-0.580349942122
ACH-000025,-0.576651802791
ACH-000028,-0.7712290310950001
ACH-000030,-0.5370381928869999
ACH-000035,-0.409097946493
ACH-000036,-0.33740397054399995
ACH-000037,-0.297887885032
ACH-000039,-0.44725704702299995
ACH-000040,-0.34190335844
ACH-000041,-0.368537994868
ACH-000042,-0.994670024566
ACH-000045,-0.217218892779
ACH-000047,-0.537149420833
ACH-000052,-0.525208700423
ACH-000053,-1.0632267994600002
ACH-000054,-0.423664307957
ACH-000055,-0.220127074505
ACH-000060,-0.536849908631
ACH-000067,-0.413435195222
ACH-000070,-0.18656080086500001
ACH-000075,-0.23302714780900002
ACH-000078,-0.41097183092699996
ACH-000082,-0.512426098631
ACH-000085,-0.6987890088850001
ACH-000086,-0.45186658336900004
ACH-000087,-0.185195581164
ACH-000092,-0.353354933807
ACH-000095,-0.41683238202699996
ACH-000097,-0.44608710487899994
ACH-000098,-0.22137189230999998
ACH-000099,-0.39979419191200005
ACH-000108,-0.264432146618
ACH-000113,-0.24866578178800003
ACH-000115,-0.256814406448
ACH-000116,-0.475315627808
ACH-000118,-0.24041438493099998
ACH-000120,-0.149134970497
ACH-000123,-0.550118645572
ACH-000127,-0.333479859824
ACH-000128,-0.637260480206
ACH-000132,-0.379779416739
ACH-000133,-0.464157890449
ACH-000137,-0.172238286498
ACH-000138,-0.48717614512400004
ACH-000142,-0.396255194073
ACH-000143,-0.508008509406
ACH-000146,-0.7019029160250001
ACH-000148,-0.380064850962
ACH-000150,-1.3212976651700001
ACH-000152,-0.29536955686099997
ACH-000153,-0.0929044331988
ACH-000159,-0.268571576291
ACH-000160,-0.474005790172
ACH-000163,-0.295687394694
ACH-000167,-0.36712626813500004
ACH-000168,-0.06730367909469999
ACH-000169,-0.463106671351
ACH-000178,-0.0964060965073
ACH-000182,-0.376453313421
ACH-000183,-0.129935591507
ACH-000188,-0.547197921365
ACH-000189,-0.0452466943827
ACH-000190,-0.400077050453
ACH-000198,-0.22266637673700002
ACH-000204,-0.884617149548
ACH-000206,-0.517615341014
ACH-000207,-0.876862487674
ACH-000211,-0.448992978183
ACH-000215,-0.268383906461
ACH-000221,-0.41649338820299997
ACH-000222,-0.290961996021
ACH-000223,-0.514471083499
ACH-000226,-0.57145510382
ACH-000227,-0.440317812417
ACH-000228,-0.526639729327
ACH-000231,-0.38550606365699996
ACH-000232,-0.417918217181
ACH-000233,-0.393796029667
ACH-000234,-0.22630185701799999
ACH-000235,-0.482743695137
ACH-000237,-0.6980428288860001
ACH-000238,-0.660522084439
ACH-000243,-0.429552139083
ACH-000244,-0.48310359669799996
ACH-000246,-0.50631791376
ACH-000248,-0.352885425463
ACH-000250,-0.547007957356
ACH-000251,-0.331600647767
ACH-000253,-0.264049337992
ACH-000255,-0.45997984298100003
ACH-000256,-0.37689630079400005
ACH-000257,-0.731695637719
ACH-000258,-0.10254288778899999
ACH-000259,-0.219092140584
ACH-000260,-0.580233808248
ACH-000261,-0.39844975422
ACH-000262,-0.264070976227
ACH-000263,-0.8381654217479999
ACH-000264,-0.467860061853
ACH-000265,-0.33337425042
ACH-000266,-0.5128952700020001
ACH-000272,-0.283846155212
ACH-000273,-0.434992914569
ACH-000274,-0.587325339
ACH-000277,-0.20939178412099999
ACH-000278,-0.326973167385
ACH-000279,-0.60573333765
ACH-000280,-0.496266444247
ACH-000281,-0.56359755877
ACH-000288,-0.29442460839
ACH-000291,-0.45064993826899996
ACH-000293,-0.6337928201609999
ACH-000294,-0.904039578764
ACH-000295,-0.302184270662
ACH-000296,-0.33613844498
ACH-000302,-0.669173339465
ACH-000304,-0.280867085988
ACH-000307,-0.5899958016100001
ACH-000308,-0.39163015890600006
ACH-000310,-0.520011519094
ACH-000311,-0.422770569746
ACH-000312,-0.697203908023
ACH-000315,-0.0796287699757
ACH-000316,-0.6801575804960001
ACH-000317,-0.232473904083
ACH-000318,-0.6968044307950001
ACH-000319,-0.297461023224
ACH-000320,-0.7659811715000001
ACH-000322,-0.51738037834
ACH-000323,-0.299316671221
ACH-000324,-0.43182026429700004
ACH-000329,-0.748115603611
ACH-000330,-0.245034227735
ACH-000331,-0.336834517094
ACH-000332,-0.386075805645
ACH-000334,-0.510130504926
ACH-000335,-0.689679708317
ACH-000336,-0.41389551160300003
ACH-000337,-0.395420618229
ACH-000339,-0.439942171505
ACH-000341,-0.689641035201
ACH-000348,-0.8559782881119999
ACH-000350,-0.36616838767800003
ACH-000352,-0.596463226759
ACH-000356,-0.278419467154
ACH-000361,-0.46280809129100003
ACH-000362,-0.195552247686
ACH-000363,-0.32167429776
ACH-000364,-0.491950854136
ACH-000365,-0.368834873005
ACH-000366,-0.224821769129
ACH-000368,-0.336760986506
ACH-000374,-0.577542575646
ACH-000375,-0.169104028405
ACH-000376,-0.129877296127
ACH-000381,-0.160066856985
ACH-000383,-0.439079270076
ACH-000387,-0.680946601568
ACH-000389,-0.49908481651299996
ACH-000390,-0.457007976782
ACH-000393,-1.03979279151
