,BLCAP (10904)
ACH-000004,0.188396468628
ACH-000007,0.00654124221148
ACH-000009,-0.211004680134
ACH-000011,-0.10507941331800001
ACH-000012,-0.0194057714003
ACH-000013,-0.0161287020648
ACH-000014,-0.0901216054324
ACH-000015,-0.0902514865302
ACH-000017,-0.453394004918
ACH-000018,-0.00779524631424
ACH-000019,-0.10491758815400001
ACH-000021,-0.117962741207
ACH-000022,-0.0953732646569
ACH-000025,-0.06884184988610001
ACH-000028,-0.104058120162
ACH-000030,-0.024049417015299997
ACH-000035,-0.0110287836519
ACH-000036,-0.224936682065
ACH-000037,-0.141499487909
ACH-000039,-0.33312340598400003
ACH-000040,-0.215591761886
ACH-000041,-0.196286364687
ACH-000042,-0.10506825239800001
ACH-000045,-0.145403303822
ACH-000047,-0.1820986964
ACH-000052,-0.0695610761142
ACH-000053,-0.0899867593014
ACH-000054,-0.16818405198
ACH-000055,-0.13948651490800001
ACH-000060,-0.114279256801
ACH-000067,-0.19130606162900002
ACH-000070,-0.101720305157
ACH-000075,-0.156483967074
ACH-000078,-0.29131440508900003
ACH-000082,-0.240055901634
ACH-000085,-0.280308404294
ACH-000086,-0.23417083009
ACH-000087,-0.346380289665
ACH-000092,-0.235166277904
ACH-000095,-0.310149185274
ACH-000097,-0.190018047777
ACH-000098,0.0390466698214
ACH-000099,-0.271446589334
ACH-000108,-0.07949665851689999
ACH-000113,-0.191780015856
ACH-000115,-0.360416317846
ACH-000116,-0.207568329551
ACH-000118,0.0347894196903
ACH-000120,-0.13076477817600002
ACH-000123,-0.103514078021
ACH-000127,0.119140613311
ACH-000128,-0.21192294565699998
ACH-000132,-0.123294829168
ACH-000133,-0.255118453431
ACH-000137,-0.128245403213
ACH-000138,-0.0652733761682
ACH-000142,-0.033814263453900005
ACH-000143,-0.269086829709
ACH-000146,-0.213925499795
ACH-000148,-0.19511925172800001
ACH-000150,-0.102077569011
ACH-000152,-0.059697949527099996
ACH-000153,-0.0503347943348
ACH-000159,-0.17028866579799998
ACH-000160,-0.09899916770600001
ACH-000163,-0.199111425219
ACH-000167,-0.08028647171350001
ACH-000168,-0.277888098039
ACH-000169,-0.0298533281328
ACH-000178,-0.0391529013746
ACH-000182,-0.135002619729
ACH-000183,-0.09700602546319999
ACH-000188,-0.0264103199205
ACH-000189,-0.0167461250977
ACH-000190,-0.264769017765
ACH-000198,-0.232778122363
ACH-000204,-0.180310807553
ACH-000206,0.159228156339
ACH-000207,-0.34499977084399996
ACH-000211,-0.149481832283
ACH-000215,-0.070156064364
ACH-000221,-0.14638797879899998
