,BCL2A1 (597)
ACH-000004,-0.06758976517649999
ACH-000007,0.042615937583599994
ACH-000009,-0.290607851418
ACH-000011,-0.010183933021200001
ACH-000012,-0.22738720336100002
ACH-000013,-0.147670776444
ACH-000014,-0.24277392495499997
ACH-000015,-0.0739211987363
ACH-000017,-0.17483207087000002
ACH-000018,0.17885679716400002
ACH-000019,-0.151136061592
ACH-000021,-0.06116854108130001
ACH-000022,0.025206194522000003
ACH-000025,-0.33872115735799996
ACH-000028,-0.0326868777344
ACH-000030,-0.12009889162799998
ACH-000035,-0.11104005105999999
ACH-000036,-0.22095999330899999
ACH-000037,-0.134398958051
ACH-000039,-0.0740769283487
ACH-000040,-0.136511787516
ACH-000041,-0.018354998242900003
ACH-000042,-0.10434728502900001
ACH-000045,-0.0914085231528
ACH-000047,-0.0638313497507
ACH-000052,-0.0462858432644
ACH-000053,-0.00462915361665
ACH-000054,-0.11255193203700001
ACH-000055,-0.174597610269
ACH-000060,-0.0026926504846799997
ACH-000067,0.0784924465593
ACH-000070,-0.162102347622
ACH-000075,-0.258677049158
ACH-000078,-0.10807055418299999
ACH-000082,-0.028402036896000002
ACH-000085,-0.0471904794613
ACH-000086,-0.012448276897599999
ACH-000087,-0.24553342766800001
ACH-000092,-0.12846647805199998
ACH-000095,-0.0878211556406
ACH-000097,-0.125750250691
ACH-000098,-0.224712694524
ACH-000099,-0.111374478104
ACH-000108,-0.241831378741
ACH-000113,-0.373406040313
ACH-000115,-0.268103521788
ACH-000116,-0.0670303617662
ACH-000118,-0.0107622381357
ACH-000120,0.138550605203
ACH-000123,-0.11991203818499999
ACH-000127,-0.0835823768632
ACH-000128,-0.1341293797
ACH-000132,-0.320341517313
ACH-000133,-0.2737014865
ACH-000137,-0.156106599383
ACH-000138,-0.106731404431
ACH-000142,-0.158138982263
ACH-000143,-0.052941540215499995
ACH-000146,-0.209625684053
ACH-000148,-0.136456557182
ACH-000150,-0.10934184691400001
ACH-000152,-0.13755613729900001
ACH-000153,0.026884817839900002
ACH-000159,-0.125551693162
ACH-000160,-0.136913748074
ACH-000163,-0.256642464568
ACH-000167,-0.232329036793
ACH-000168,-0.153237429455
ACH-000169,-0.021026658643799996
ACH-000178,-0.16915650118099998
ACH-000182,-0.0850680825835
ACH-000183,-0.261928214709
ACH-000188,0.120226755661
ACH-000189,-0.040847336342199995
ACH-000190,-0.188478798748
ACH-000198,-0.144449985431
ACH-000204,-0.26448473963799995
ACH-000206,-0.418797915199
ACH-000207,-0.14201047763
ACH-000211,-0.113675617065
ACH-000215,0.0457298151968
ACH-000221,-0.0170374129691
ACH-000222,-0.19960969229000003
ACH-000223,-0.170985583605
ACH-000226,-0.17961694344
ACH-000227,-0.32042695084
ACH-000228,-0.112917074179
ACH-000231,-0.0857507829473
ACH-000232,-0.017085691902100002
ACH-000233,-0.37377047995499996
ACH-000234,-0.0563539539007
ACH-000235,-0.193625826644
ACH-000237,-0.0702896371181
ACH-000238,-0.10794508984500001
ACH-000243,-0.18174696722300002
ACH-000244,-0.0132692873918
ACH-000246,-0.0268695820866
ACH-000248,-0.329703153085
ACH-000250,-0.178672349777
ACH-000251,-0.0829838416708
ACH-000253,-0.114170737576
ACH-000255,-0.10410158703500001
ACH-000256,-0.25837029559999997
ACH-000257,0.203174363854
ACH-000258,-1.00875820677
ACH-000259,-0.24259719151599998
ACH-000260,-0.152897931204
ACH-000261,-0.164320157215
