,PAM (5066)
ACH-000004,-0.102802708249
ACH-000007,0.12147798060000001
ACH-000009,0.129403340203
ACH-000011,0.072013413027
ACH-000012,0.0972786256773
ACH-000013,0.144786152289
ACH-000014,0.07114864826989999
ACH-000015,0.0234440119421
ACH-000017,0.08317300506469999
ACH-000018,0.221550988057
ACH-000019,0.09866605739560001
ACH-000021,0.014167250724599999
ACH-000022,0.144725093252
ACH-000025,0.19065982349399999
ACH-000028,0.183542016624
ACH-000030,0.129340560965
ACH-000035,0.0010703738586199999
ACH-000036,0.17299840043499998
ACH-000037,0.0274414542471
ACH-000039,0.022806195836099996
ACH-000040,0.19375847351599998
ACH-000041,0.0972610595314
ACH-000042,-0.011378921847999999
ACH-000045,0.28733666475
ACH-000047,0.14598367826300002
ACH-000052,0.0070931208099200005
ACH-000053,0.0653033622693
ACH-000054,0.11472990516899999
ACH-000055,0.252700079603
ACH-000060,0.130293966207
ACH-000067,0.145171964402
ACH-000070,0.292238383683
ACH-000075,0.14442142774
ACH-000078,0.0532300984621
ACH-000082,0.0662522531503
ACH-000085,-0.11196517024000001
ACH-000086,0.0655626400634
ACH-000087,0.136352312975
ACH-000092,0.0379221737855
ACH-000095,0.0924199276748
ACH-000097,0.189337719729
ACH-000098,0.153216737347
ACH-000099,0.0462729063417
ACH-000108,0.09629557896169999
ACH-000113,0.126683256086
ACH-000115,0.16404856880000002
ACH-000116,0.13487568100800001
ACH-000118,0.0316826683737
ACH-000120,0.18745588898600002
ACH-000123,0.134287909447
ACH-000127,0.11872932324999999
ACH-000128,0.0298461577935
ACH-000132,0.240486046425
ACH-000133,0.0970585238885
ACH-000137,0.100809360657
ACH-000138,0.0611974550178
ACH-000142,0.10048676651699999
ACH-000143,0.0920663721896
ACH-000146,0.140212977439
ACH-000148,0.0456099601353
ACH-000150,0.155259082401
ACH-000152,0.0672515069338
ACH-000153,0.10730007053
ACH-000159,0.161543928313
ACH-000160,0.12184636932600001
ACH-000163,0.0158310666473
ACH-000167,-0.177753499181
ACH-000168,0.0285780586168
ACH-000169,0.0630538871737
ACH-000178,0.132911563523
ACH-000182,0.045241116589800005
ACH-000183,-0.00505205581949
ACH-000188,0.13085149369000001
ACH-000189,0.060982929512
ACH-000190,0.041858722484699996
ACH-000198,0.07163448386730001
ACH-000204,-0.0347419770172
ACH-000206,0.034496295690800004
ACH-000207,0.228211272172
ACH-000211,0.0511493442746
ACH-000215,0.0838355411152
ACH-000221,0.0774939414666
ACH-000222,0.08419985013760001
ACH-000223,0.132078182296
ACH-000226,0.0964197008034
ACH-000227,0.00415459239727
ACH-000228,-0.009625138392719999
